[Header]	
System	TOCL-Saline	
S/W Version	1.00	
User		
Date/Time	1/2/2025 11:59:54 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Excluded	Inj. Vol.	
Unknown	NPOC	5.2_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 5:57:34 PM	1	1	NPOC	125.4	125.3	36.69	36.65	NPOC:36.65mg/L	NPOC:36.65mg/L	0	50	
Unknown	NPOC	5.2_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:01:06 PM	1	2	NPOC	125.1	125.3	36.60	36.65	NPOC:36.65mg/L	NPOC:36.65mg/L	0	50	
Unknown	NPOC	9.Sam_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:11:47 PM	1	1	NPOC	136.0	134.7	39.77	39.40	NPOC:39.40mg/L	NPOC:39.40mg/L	0	50	
Unknown	NPOC	9.Sam_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:15:18 PM	1	2	NPOC	133.4	134.7	39.02	39.40	NPOC:39.40mg/L	NPOC:39.40mg/L	0	50	
Unknown	NPOC	5.6_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:25:46 PM	1	1	NPOC	192.2	193.3	56.13	56.45	NPOC:56.45mg/L	NPOC:56.45mg/L	0	50	
Unknown	NPOC	5.6_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:29:11 PM	1	2	NPOC	194.4	193.3	56.77	56.45	NPOC:56.45mg/L	NPOC:56.45mg/L	0	50	
Unknown	NPOC	6.1_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:39:46 PM	1	1	NPOC	231.9	232.6	67.69	67.89	NPOC:67.89mg/L	NPOC:67.89mg/L	0	50	
Unknown	NPOC	6.1_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:43:19 PM	1	2	NPOC	233.3	232.6	68.09	67.89	NPOC:67.89mg/L	NPOC:67.89mg/L	0	50	
Unknown	NPOC	9.4_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:54:02 PM	1	1	NPOC	313.8	314.1	91.52	91.63	NPOC:91.63mg/L	NPOC:91.63mg/L	0	50	
Unknown	NPOC	9.4_12122024	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.cal	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_11_11_57_39.cal	1.00		12/12/2024 6:57:34 PM	1	2	NPOC	314.5	314.1	91.73	91.63	NPOC:91.63mg/L	NPOC:91.63mg/L	0	50	
