Date,,,,CO2
11/1/2023 13:37,562,12.48,20.25,655.9551
11/1/2023 13:37,563,12.47,20.25,735.4139
11/1/2023 13:37,564,12.48,20.24,712.5848
11/1/2023 13:37,565,12.48,20.24,697.7092
11/1/2023 13:37,566,12.48,20.23,684.3323
11/1/2023 13:37,567,12.48,20.23,673.2949
11/1/2023 13:38,568,12.48,20.22,662.7781
11/1/2023 13:38,569,12.48,20.22,749.2451
11/1/2023 13:38,570,12.48,20.22,727.0941
11/1/2023 13:38,571,12.47,20.21,711.6016
11/1/2023 13:38,572,12.48,20.21,697.8483
11/1/2023 13:38,573,12.48,20.21,685.7957
11/1/2023 13:39,574,12.48,20.2,673.0098
11/1/2023 13:39,575,12.47,20.2,754.8251
11/1/2023 13:39,576,12.48,20.2,733.2866
11/1/2023 13:39,577,12.47,20.2,719.0991
11/1/2023 13:39,578,12.48,20.2,705.1956
11/1/2023 13:39,579,12.47,20.2,693.6333
11/1/2023 13:40,580,12.48,20.2,681.6201
11/1/2023 13:40,581,12.48,20.19,765.9075
11/1/2023 13:40,582,12.47,20.19,742.7282
11/1/2023 13:40,583,12.47,20.19,727.4212
11/1/2023 13:40,584,12.47,20.19,712.8772
11/1/2023 13:40,585,12.48,20.19,701.681
11/1/2023 13:41,586,12.48,20.19,690.2645
11/1/2023 13:41,587,12.48,20.18,775.2047
11/1/2023 13:41,588,12.47,20.18,752.2419
11/1/2023 13:41,589,12.47,20.18,735.567
11/1/2023 13:41,590,12.47,20.18,722.392
11/1/2023 13:41,591,12.48,20.18,709.9678
11/1/2023 13:42,592,12.47,20.18,697.5309
11/1/2023 13:42,593,12.48,20.18,777.5014
11/1/2023 13:42,594,12.47,20.18,756.8651
11/1/2023 13:42,595,12.47,20.18,741.7898
11/1/2023 13:42,596,12.47,20.18,728.2962
11/1/2023 13:42,597,12.47,20.17,717.2168
11/1/2023 13:43,598,12.47,20.17,705.8031
11/1/2023 13:43,599,12.48,20.17,788.8522
11/1/2023 13:43,600,12.47,20.17,766.0035
11/1/2023 13:43,601,12.47,20.17,752.9097
11/1/2023 13:43,602,12.47,20.17,739.782
11/1/2023 13:43,603,12.48,20.16,728.262
11/1/2023 13:44,604,12.47,20.16,716.7352
11/1/2023 13:44,605,12.47,20.16,801.7062
11/1/2023 13:44,606,12.47,20.16,779.9395
11/1/2023 13:44,607,12.47,20.16,765.0208
11/1/2023 13:44,608,12.47,20.16,752.313
11/1/2023 13:44,609,12.47,20.16,741.6599
11/1/2023 13:45,610,12.47,20.16,731.0731
11/1/2023 13:45,611,12.47,20.16,820.5039
11/1/2023 13:45,612,12.47,20.15,798.4398
11/1/2023 13:45,613,12.47,20.15,783.8275
11/1/2023 13:45,614,12.47,20.15,773.6295
11/1/2023 13:45,615,12.47,20.15,762.0615
11/1/2023 13:46,616,12.47,20.15,750.9066
11/1/2023 13:46,617,12.47,20.15,841.0498
11/1/2023 13:46,618,12.47,20.14,816.5524
11/1/2023 13:46,619,12.47,20.14,802.1988
11/1/2023 13:46,620,12.47,20.14,787.8781
11/1/2023 13:46,621,12.47,20.14,776.7898
11/1/2023 13:47,622,12.47,20.14,765.2425
11/1/2023 13:47,623,12.47,20.14,848.4279
11/1/2023 13:47,624,12.47,20.14,824.5187
11/1/2023 13:47,625,12.47,20.14,811.1794
11/1/2023 13:47,626,12.46,20.14,797.4867
11/1/2023 13:47,627,12.47,20.13,784.4879
11/1/2023 13:48,628,12.47,20.13,770.4446
11/1/2023 13:48,629,12.47,20.13,851.6746
11/1/2023 13:48,630,12.47,20.13,828.4227
11/1/2023 13:48,631,12.47,20.13,813.0136
11/1/2023 13:48,632,12.47,20.13,798.9468
11/1/2023 13:48,633,12.47,20.13,787.8671
11/1/2023 13:49,634,12.47,20.13,777.1773
11/1/2023 13:49,635,12.47,20.13,861.6479
11/1/2023 13:49,636,12.47,20.13,838.904
11/1/2023 13:49,637,12.47,20.12,824.8388
11/1/2023 13:49,638,12.47,20.12,808.9749
11/1/2023 13:49,639,12.46,20.12,795.816
11/1/2023 13:50,640,12.47,20.12,783.5242
11/1/2023 13:50,641,12.47,20.12,866.4498
11/1/2023 13:50,642,12.47,20.12,843.7851
11/1/2023 13:50,643,12.47,20.12,826.4814
11/1/2023 13:50,644,12.47,20.12,813.2897
11/1/2023 13:50,645,12.46,20.12,801.4864
11/1/2023 13:51,646,12.47,20.12,789.1163
11/1/2023 13:51,647,12.47,20.12,872.7288
11/1/2023 13:51,648,12.47,20.12,849.4941
11/1/2023 13:51,649,12.46,20.12,833.5347
11/1/2023 13:51,650,12.47,20.12,819.7493
11/1/2023 13:51,651,12.47,20.12,808.5955
11/1/2023 13:52,652,12.47,20.12,794.8469
11/1/2023 13:52,653,12.46,20.12,878.3475
11/1/2023 13:52,654,12.47,20.12,855.6577
11/1/2023 13:52,655,12.46,20.12,840.1317
11/1/2023 13:52,656,12.47,20.12,824.5469
11/1/2023 13:52,657,12.46,20.12,811.5988
11/1/2023 13:53,658,12.47,20.12,796.9325
11/1/2023 13:53,659,12.46,20.12,876.2009
11/1/2023 13:53,660,12.47,20.12,853.6346
11/1/2023 13:53,661,12.46,20.12,838.1719
11/1/2023 13:53,662,12.47,20.12,827.3759
11/1/2023 13:53,663,12.46,20.11,815.5238
11/1/2023 13:54,664,12.46,20.11,804.3082
11/1/2023 13:54,665,12.46,20.11,890.3707
11/1/2023 13:54,666,12.47,20.11,864.8264
11/1/2023 13:54,667,12.46,20.1,848.6396
11/1/2023 13:54,668,12.47,20.1,832.6469
11/1/2023 13:54,669,12.46,20.1,819.5186
11/1/2023 13:55,670,12.46,20.1,805.8059
