Date,,,,CO2
11/1/2023 9:56,59,12.51,15.91,402.3127
11/1/2023 9:56,60,12.51,15.93,480.9532
11/1/2023 9:56,61,12.51,15.95,454.9803
11/1/2023 9:56,62,12.51,15.98,437.8882
11/1/2023 9:56,63,12.51,16,422.8376
11/1/2023 9:56,64,12.51,16.02,409.2157
11/1/2023 9:57,65,12.51,16.05,397.1049
11/1/2023 9:57,66,12.5,16.08,481.341
11/1/2023 9:57,67,12.51,16.1,457.3513
11/1/2023 9:57,68,12.51,16.13,442.0547
11/1/2023 9:57,69,12.51,16.16,428.7665
11/1/2023 9:57,70,12.51,16.19,416.5623
11/1/2023 9:58,71,12.51,16.22,405.4508
11/1/2023 9:58,72,12.51,16.25,491.9249
11/1/2023 9:58,73,12.51,16.28,468.4207
11/1/2023 9:58,74,12.51,16.31,453.5365
11/1/2023 9:58,75,12.51,16.34,440.9811
11/1/2023 9:58,76,12.51,16.37,429.5205
11/1/2023 9:59,77,12.51,16.4,418.0085
11/1/2023 9:59,78,12.51,16.42,502.6897
11/1/2023 9:59,79,12.51,16.45,481.539
11/1/2023 9:59,80,12.51,16.48,467.9798
11/1/2023 9:59,81,12.51,16.51,456.2568
11/1/2023 9:59,82,12.51,16.54,444.7912
11/1/2023 10:00,83,12.51,16.57,433.2043
11/1/2023 10:00,84,12.51,16.6,517.7498
11/1/2023 10:00,85,12.51,16.63,496.7437
11/1/2023 10:00,86,12.51,16.67,483.6586
11/1/2023 10:00,87,12.51,16.7,471.3299
11/1/2023 10:00,88,12.51,16.73,460.6814
11/1/2023 10:01,89,12.51,16.75,452.9519
11/1/2023 10:01,90,12.51,16.78,542.1126
11/1/2023 10:01,91,12.5,16.81,520.5693
11/1/2023 10:01,92,12.51,16.84,507.2193
11/1/2023 10:01,93,12.51,16.86,495.3544
11/1/2023 10:01,94,12.51,16.89,485.5036
11/1/2023 10:02,95,12.51,16.91,474.8004
11/1/2023 10:02,96,12.51,16.93,561.0198
11/1/2023 10:02,97,12.51,16.95,539.7225
11/1/2023 10:02,98,12.51,16.96,526.8758
11/1/2023 10:02,99,12.51,16.98,515.9801
11/1/2023 10:02,100,12.51,17,504.7462
11/1/2023 10:03,101,12.51,17.01,493.881
11/1/2023 10:03,102,12.51,17.03,579.7004
11/1/2023 10:03,103,12.51,17.04,559.8126
11/1/2023 10:03,104,12.51,17.05,546.4423
11/1/2023 10:03,105,12.52,17.06,534.4938
11/1/2023 10:03,106,12.52,17.08,523.5137
11/1/2023 10:04,107,12.52,17.09,512.3101
11/1/2023 10:04,108,12.52,17.1,603.5685
11/1/2023 10:04,109,12.52,17.11,582.7637
11/1/2023 10:04,110,12.51,17.12,568.9321
11/1/2023 10:04,111,12.52,17.13,557.7133
11/1/2023 10:04,112,12.52,17.14,547.6577
11/1/2023 10:05,113,12.53,17.15,537.4916
11/1/2023 10:05,114,12.52,17.16,629.0757
11/1/2023 10:05,115,12.53,17.16,606.4883
11/1/2023 10:05,116,12.52,17.17,593.5777
11/1/2023 10:05,117,12.52,17.17,582.1907
11/1/2023 10:05,118,12.52,17.18,570.4398
11/1/2023 10:06,119,12.53,17.18,560.9028
11/1/2023 10:06,120,12.52,17.19,648.2676
11/1/2023 10:06,121,12.53,17.19,626.4667
11/1/2023 10:06,122,12.52,17.19,612.1093
11/1/2023 10:06,123,12.52,17.19,599.9537
11/1/2023 10:06,124,12.52,17.19,588.7133
11/1/2023 10:07,125,12.53,17.19,578.8942
11/1/2023 10:07,126,12.52,17.19,666.3801
11/1/2023 10:07,127,12.53,17.18,645.0571
11/1/2023 10:07,128,12.53,17.18,631.2344
11/1/2023 10:07,129,12.51,17.18,619.2555
11/1/2023 10:07,130,12.52,17.18,608.5353
11/1/2023 10:08,131,12.5,17.17,596.3632
11/1/2023 10:08,132,12.5,17.17,680.0726
11/1/2023 10:08,133,12.49,17.17,659.469
