Date,,,,CO2
11/1/2023 12:31,417,12.49,20.18,794.6693
11/1/2023 12:31,418,12.49,20.19,773.6257
11/1/2023 12:31,419,12.49,20.19,754.4573
11/1/2023 12:31,420,12.49,20.19,736.8506
11/1/2023 12:32,421,12.49,20.2,719.916
11/1/2023 12:32,422,12.49,20.2,790.7819
11/1/2023 12:32,423,12.49,20.21,764.5166
11/1/2023 12:32,424,12.49,20.21,745.8497
11/1/2023 12:32,425,12.49,20.22,729.8481
11/1/2023 12:32,426,12.49,20.22,714.9846
11/1/2023 12:33,427,12.48,20.23,699.8743
11/1/2023 12:33,428,12.49,20.23,777.8749
11/1/2023 12:33,429,12.49,20.24,752.3219
11/1/2023 12:33,430,12.48,20.24,734.1783
11/1/2023 12:33,431,12.49,20.25,718.4863
11/1/2023 12:33,432,12.49,20.25,703.8832
11/1/2023 12:34,433,12.49,20.26,691.8339
11/1/2023 12:34,434,12.48,20.26,770.1009
11/1/2023 12:34,435,12.49,20.27,745.7665
11/1/2023 12:34,436,12.48,20.27,729.074
11/1/2023 12:34,437,12.49,20.28,715.2239
11/1/2023 12:34,438,12.48,20.29,702.274
11/1/2023 12:35,439,12.49,20.29,688.5226
11/1/2023 12:35,440,12.48,20.3,767.8337
11/1/2023 12:35,441,12.49,20.31,743.6212
11/1/2023 12:35,442,12.48,20.31,728.0547
11/1/2023 12:35,443,12.49,20.32,714.0436
11/1/2023 12:35,444,12.48,20.33,701.7184
11/1/2023 12:36,445,12.49,20.34,689.6426
11/1/2023 12:36,446,12.47,20.34,773.4794
11/1/2023 12:36,447,12.48,20.35,750.7675
11/1/2023 12:36,448,12.48,20.36,736.3809
11/1/2023 12:36,449,12.49,20.37,724.0867
11/1/2023 12:36,450,12.48,20.38,711.2603
11/1/2023 12:37,451,12.48,20.38,699.0189
11/1/2023 12:37,452,12.48,20.39,783.4025
11/1/2023 12:37,453,12.48,20.4,761.1129
11/1/2023 12:37,454,12.48,20.41,746.0424
11/1/2023 12:37,455,12.48,20.42,732.2698
11/1/2023 12:37,456,12.48,20.42,719.1646
11/1/2023 12:38,457,12.48,20.43,707.2894
11/1/2023 12:38,458,12.48,20.44,791.1169
11/1/2023 12:38,459,12.48,20.45,768.7791
11/1/2023 12:38,460,12.48,20.46,754.4798
11/1/2023 12:38,461,12.48,20.47,740.9386
11/1/2023 12:38,462,12.48,20.48,728.1998
11/1/2023 12:39,463,12.48,20.48,716.2167
11/1/2023 12:39,464,12.48,20.49,800.0761
11/1/2023 12:39,465,12.47,20.5,777.3254
11/1/2023 12:39,466,12.48,20.51,762.7531
11/1/2023 12:39,467,12.48,20.52,749.6835
11/1/2023 12:39,468,12.48,20.53,737.508
11/1/2023 12:40,469,12.48,20.54,725.6341
11/1/2023 12:40,470,12.48,20.54,809.27
11/1/2023 12:40,471,12.48,20.55,787.6236
11/1/2023 12:40,472,12.48,20.56,772.7274
11/1/2023 12:40,473,12.48,20.57,759.0154
11/1/2023 12:40,474,12.48,20.58,747.4781
11/1/2023 12:41,475,12.48,20.59,737.2061
11/1/2023 12:41,476,12.48,20.6,824.7045
11/1/2023 12:41,477,12.48,20.61,803.6743
11/1/2023 12:41,478,12.48,20.62,788.9319
11/1/2023 12:41,479,12.48,20.62,776.7021
11/1/2023 12:41,480,12.48,20.63,766.2791
11/1/2023 12:42,481,12.48,20.64,755.3101
11/1/2023 12:42,482,12.48,20.65,847.8626
11/1/2023 12:42,483,12.48,20.66,823.3672
11/1/2023 12:42,484,12.47,20.67,807.0428
11/1/2023 12:42,485,12.48,20.68,794.3454
11/1/2023 12:42,486,12.48,20.69,781.775
