"Plot Title: Bradford_stream5_baro"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776670, SEN S/N: 10776670)","Temp, °F (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Detached (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Attached (LGR S/N: 10776670, SEN S/N: 10776670)","Host Connected (LGR S/N: 10776670, SEN S/N: 10776670)","Stopped (LGR S/N: 10776670, SEN S/N: 10776670)","End Of File (LGR S/N: 10776670, SEN S/N: 10776670)"
1,10/12/22 03:00:00 PM,14.7184,86.459,Logged,,,,
2,10/12/22 03:15:00 PM,14.7194,84.834,,,,,
3,10/12/22 03:30:00 PM,14.7148,83.757,,,,,
4,10/12/22 03:45:00 PM,14.7165,82.864,,,,,
5,10/12/22 04:00:00 PM,14.7112,82.508,,,,,
6,10/12/22 04:15:00 PM,14.7091,82.330,,,,,
7,10/12/22 04:30:00 PM,14.7071,82.152,,,,,
8,10/12/22 04:45:00 PM,14.7061,81.797,,,,,
9,10/12/22 05:00:00 PM,14.7010,81.090,,,,,
10,10/12/22 05:15:00 PM,14.7033,80.382,,,,,
11,10/12/22 05:30:00 PM,14.7013,79.678,,,,,
12,10/12/22 05:45:00 PM,14.6988,79.326,,,,,
13,10/12/22 06:00:00 PM,14.6983,79.151,,,,,
14,10/12/22 06:15:00 PM,14.6968,79.151,,,,,
15,10/12/22 06:30:00 PM,14.6929,78.800,,,,,
16,10/12/22 06:45:00 PM,14.6929,78.274,,,,,
17,10/12/22 07:00:00 PM,14.6971,77.749,,,,,
18,10/12/22 07:15:00 PM,14.6957,77.225,,,,,
19,10/12/22 07:30:00 PM,14.6975,76.876,,,,,
20,10/12/22 07:45:00 PM,14.6965,76.528,,,,,
21,10/12/22 08:00:00 PM,14.6955,76.181,,,,,
22,10/12/22 08:15:00 PM,14.6951,76.006,,,,,
23,10/12/22 08:30:00 PM,14.6990,75.832,,,,,
24,10/12/22 08:45:00 PM,14.6999,75.659,,,,,
25,10/12/22 09:00:00 PM,14.7013,75.659,,,,,
26,10/12/22 09:15:00 PM,14.6999,75.659,,,,,
27,10/12/22 09:30:00 PM,14.6994,75.484,,,,,
28,10/12/22 09:45:00 PM,14.6984,75.139,,,,,
29,10/12/22 10:00:00 PM,14.6964,74.964,,,,,
30,10/12/22 10:15:00 PM,14.6970,74.619,,,,,
31,10/12/22 10:30:00 PM,14.6935,74.446,,,,,
32,10/12/22 10:45:00 PM,14.7018,74.271,,,,,
33,10/12/22 11:00:00 PM,14.7106,74.271,,,,,
34,10/12/22 11:15:00 PM,14.7067,73.926,,,,,
35,10/12/22 11:30:00 PM,14.7061,73.234,,,,,
36,10/12/22 11:45:00 PM,14.7032,72.718,,,,,
37,10/13/22 12:00:00 AM,14.7002,72.199,,,,,
38,10/13/22 12:15:00 AM,14.6977,71.856,,,,,
39,10/13/22 12:30:00 AM,14.6938,71.512,,,,,
40,10/13/22 12:45:00 AM,14.6909,71.512,,,,,
41,10/13/22 01:00:00 AM,14.6904,71.339,,,,,
42,10/13/22 01:15:00 AM,14.6890,71.339,,,,,
43,10/13/22 01:30:00 AM,14.6845,71.339,,,,,
44,10/13/22 01:45:00 AM,14.6816,71.339,,,,,
45,10/13/22 02:00:00 AM,14.6855,71.168,,,,,
46,10/13/22 02:15:00 AM,14.6812,71.168,,,,,
47,10/13/22 02:30:00 AM,14.6801,71.339,,,,,
48,10/13/22 02:45:00 AM,14.6758,71.339,,,,,
49,10/13/22 03:00:00 AM,14.6743,71.339,,,,,
50,10/13/22 03:15:00 AM,14.6729,71.339,,,,,
51,10/13/22 03:30:00 AM,14.6719,71.512,,,,,
52,10/13/22 03:45:00 AM,14.6709,71.683,,,,,
53,10/13/22 04:00:00 AM,14.6738,71.683,,,,,
54,10/13/22 04:15:00 AM,14.6733,71.512,,,,,
55,10/13/22 04:30:00 AM,14.6709,70.651,,,,,
56,10/13/22 04:45:00 AM,14.6675,69.964,,,,,
57,10/13/22 05:00:00 AM,14.6661,69.449,,,,,
58,10/13/22 05:15:00 AM,14.6665,69.107,,,,,
59,10/13/22 05:30:00 AM,14.6626,68.763,,,,,
60,10/13/22 05:45:00 AM,14.6630,68.421,,,,,
61,10/13/22 06:00:00 AM,14.6655,68.248,,,,,
62,10/13/22 06:15:00 AM,14.6646,67.906,,,,,
63,10/13/22 06:30:00 AM,14.6640,67.735,,,,,
64,10/13/22 06:45:00 AM,14.6626,67.735,,,,,
65,10/13/22 07:00:00 AM,14.6636,67.564,,,,,
66,10/13/22 07:15:00 AM,14.6636,67.564,,,,,
67,10/13/22 07:30:00 AM,14.6651,67.564,,,,,
68,10/13/22 07:45:00 AM,14.6665,67.564,,,,,
69,10/13/22 08:00:00 AM,14.6626,67.735,,,,,
70,10/13/22 08:15:00 AM,14.6616,67.906,,,,,
71,10/13/22 08:30:00 AM,14.6601,68.421,,,,,
72,10/13/22 08:45:00 AM,14.6616,68.934,,,,,
73,10/13/22 09:00:00 AM,14.6577,69.107,,,,,
74,10/13/22 09:15:00 AM,14.6622,70.137,,,,,
75,10/13/22 09:30:00 AM,14.6645,71.512,,,,,
76,10/13/22 09:45:00 AM,14.6651,72.199,,,,,
77,10/13/22 10:00:00 AM,14.6680,72.718,,,,,
78,10/13/22 10:15:00 AM,14.6719,73.580,,,,,
79,10/13/22 10:30:00 AM,14.6725,73.753,,,,,
80,10/13/22 10:45:00 AM,14.6758,73.926,,,,,
81,10/13/22 11:00:00 AM,14.6739,73.753,,,,,
82,10/13/22 11:15:00 AM,14.6710,73.753,,,,,
83,10/13/22 11:30:00 AM,14.6617,73.580,,,,,
84,10/13/22 11:45:00 AM,14.6636,73.753,,,,,
85,10/13/22 12:00:00 PM,14.6568,73.926,,,,,
86,10/13/22 12:15:00 PM,14.6500,74.098,,,,,
87,10/13/22 12:30:00 PM,14.6506,74.791,,,,,
88,10/13/22 12:45:00 PM,14.6487,75.659,,,,,
89,10/13/22 01:00:00 PM,14.6448,76.354,,,,,
90,10/13/22 01:15:00 PM,14.6408,77.050,,,,,
91,10/13/22 01:30:00 PM,14.6327,77.749,,,,,
92,10/13/22 01:45:00 PM,14.6268,78.274,,,,,
93,10/13/22 02:00:00 PM,14.6259,78.975,,,,,
94,10/13/22 02:15:00 PM,14.6207,79.678,,,,,
95,10/13/22 02:30:00 PM,14.6217,80.029,,,,,
96,10/13/22 02:45:00 PM,14.6237,80.206,,,,,
97,10/13/22 03:00:00 PM,14.6207,80.206,,,,,
98,10/13/22 03:15:00 PM,14.6163,80.206,,,,,
99,10/13/22 03:30:00 PM,14.6159,80.559,,,,,
100,10/13/22 03:45:00 PM,14.6120,80.735,,,,,
