Plot Title: FL_Drain_Baro,,,,,,,,,
#,Date,"Time, GMT-04:00","Time, GMT-04:01","Abs Pres, psi (LGR S/N: 10776670, SEN S/N: 10776670)","Temp, °F (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Detached (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Attached (LGR S/N: 10776670, SEN S/N: 10776670)","Stopped (LGR S/N: 10776670, SEN S/N: 10776670)","End Of File (LGR S/N: 10776670, SEN S/N: 10776670)"
1,3/30/2021,11:39:37,11:45:00,14.8249,74.791,,,,
2,3/30/2021,11:39:51,11:45:14,,,Logged,,,
3,3/30/2021,11:54:37,12:00:00,14.8784,68.934,,,,
4,3/30/2021,12:09:37,12:15:00,14.8764,66.708,,,,
5,3/30/2021,12:24:37,12:30:00,14.8716,66.022,,,,
6,3/30/2021,12:39:37,12:45:00,14.8662,65.68,,,,
7,3/30/2021,12:54:37,13:00:00,14.8613,65.509,,,,
8,3/30/2021,13:09:37,13:15:00,14.8598,65.509,,,,
9,3/30/2021,13:24:37,13:30:00,14.8584,65.509,,,,
10,3/30/2021,13:39:37,13:45:00,14.8524,65.509,,,,
11,3/30/2021,13:54:37,14:00:00,14.8466,65.509,,,,
12,3/30/2021,14:09:37,14:15:00,14.8437,65.509,,,,
13,3/30/2021,14:24:37,14:30:00,14.8408,65.509,,,,
14,3/30/2021,14:39:37,14:45:00,14.8378,65.509,,,,
15,3/30/2021,14:54:37,15:00:00,14.8349,65.509,,,,
16,3/30/2021,15:09:37,15:15:00,14.8334,65.509,,,,
17,3/30/2021,15:24:37,15:30:00,14.832,65.509,,,,
18,3/30/2021,15:39:37,15:45:00,14.8291,65.509,,,,
19,3/30/2021,15:54:37,16:00:00,14.8262,65.509,,,,
20,3/30/2021,16:09:37,16:15:00,14.8247,65.509,,,,
21,3/30/2021,16:24:37,16:30:00,14.8233,65.509,,,,
22,3/30/2021,16:39:37,16:45:00,14.8202,65.509,,,,
23,3/30/2021,16:54:37,17:00:00,14.8173,65.509,,,,
24,3/30/2021,17:09:37,17:15:00,14.8188,65.509,,,,
25,3/30/2021,17:24:37,17:30:00,14.8173,65.509,,,,
26,3/30/2021,17:39:37,17:45:00,14.8159,65.509,,,,
27,3/30/2021,17:54:37,18:00:00,14.8173,65.509,,,,
28,3/30/2021,18:09:37,18:15:00,14.8173,65.509,,,,
29,3/30/2021,18:24:37,18:30:00,14.8202,65.509,,,,
30,3/30/2021,18:39:37,18:45:00,14.8173,65.509,,,,
31,3/30/2021,18:54:37,19:00:00,14.8159,65.509,,,,
32,3/30/2021,19:09:37,19:15:00,14.8188,65.509,,,,
33,3/30/2021,19:24:37,19:30:00,14.8262,65.509,,,,
34,3/30/2021,19:39:37,19:45:00,14.8262,65.509,,,,
35,3/30/2021,19:54:37,20:00:00,14.832,65.509,,,,
36,3/30/2021,20:09:37,20:15:00,14.832,65.509,,,,
37,3/30/2021,20:24:37,20:30:00,14.8349,65.509,,,,
38,3/30/2021,20:39:37,20:45:00,14.8394,65.509,,,,
39,3/30/2021,20:54:37,21:00:00,14.8394,65.509,,,,
40,3/30/2021,21:09:37,21:15:00,14.8394,65.509,,,,
41,3/30/2021,21:24:37,21:30:00,14.8423,65.509,,,,
42,3/30/2021,21:39:37,21:45:00,14.8495,65.509,,,,
43,3/30/2021,21:54:37,22:00:00,14.8495,65.509,,,,
44,3/30/2021,22:09:37,22:15:00,14.8524,65.509,,,,
45,3/30/2021,22:24:37,22:30:00,14.8569,65.509,,,,
46,3/30/2021,22:39:37,22:45:00,14.8598,65.509,,,,
47,3/30/2021,22:54:37,23:00:00,14.8584,65.509,,,,
48,3/30/2021,23:09:37,23:15:00,14.8598,65.509,,,,
49,3/30/2021,23:24:37,23:30:00,14.8613,65.509,,,,
50,3/30/2021,23:39:37,23:45:00,14.8555,65.509,,,,
51,3/30/2021,23:54:37,0:00:00,14.854,65.509,,,,
52,3/31/2021,0:09:37,0:15:00,14.8495,65.509,,,,
53,3/31/2021,0:24:37,0:30:00,14.851,65.509,,,,
54,3/31/2021,0:39:37,0:45:00,14.851,65.509,,,,
55,3/31/2021,0:54:37,1:00:00,14.8481,65.509,,,,
