Plot Title: FL_Drain_Baro,,,,,,,,
#,Date,"Time, GMT-04:01","Abs Pres, psi (LGR S/N: 10776670, SEN S/N: 10776670)","Temp, °F (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Detached (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Attached (LGR S/N: 10776670, SEN S/N: 10776670)","Stopped (LGR S/N: 10776670, SEN S/N: 10776670)","End Of File (LGR S/N: 10776670, SEN S/N: 10776670)"
1,11/10/2021,14:45:00,14.7851,64.996,,,,
2,11/10/2021,14:45:08,,,Logged,,,
3,11/10/2021,15:00:00,14.8188,64.996,,,,
4,11/10/2021,15:15:00,14.8194,63.626,,,,
5,11/10/2021,15:30:00,14.815,63.111,,,,
6,11/10/2021,15:45:00,14.8146,62.94,,,,
7,11/10/2021,16:00:00,14.814,62.769,,,,
8,11/10/2021,16:15:00,14.8126,62.769,,,,
9,11/10/2021,16:30:00,14.8126,62.769,,,,
10,11/10/2021,16:45:00,14.8146,62.94,,,,
11,11/10/2021,17:00:00,14.8175,62.94,,,,
12,11/10/2021,17:15:00,14.8146,62.94,,,,
13,11/10/2021,17:30:00,14.8146,62.94,,,,
14,11/10/2021,17:45:00,14.8146,62.94,,,,
15,11/10/2021,18:00:00,14.816,62.94,,,,
16,11/10/2021,18:15:00,14.8165,63.111,,,,
17,11/10/2021,18:30:00,14.8194,63.111,,,,
18,11/10/2021,18:45:00,14.8165,63.111,,,,
19,11/10/2021,19:00:00,14.8165,63.111,,,,
20,11/10/2021,19:15:00,14.8179,63.111,,,,
21,11/10/2021,19:30:00,14.8229,63.282,,,,
22,11/10/2021,19:45:00,14.8213,63.282,,,,
23,11/10/2021,20:00:00,14.8213,63.282,,,,
24,11/10/2021,20:15:00,14.8229,63.282,,,,
25,11/10/2021,20:30:00,14.8229,63.282,,,,
26,11/10/2021,20:45:00,14.8229,63.282,,,,
27,11/10/2021,21:00:00,14.8272,63.282,,,,
28,11/10/2021,21:15:00,14.8262,63.455,,,,
29,11/10/2021,21:30:00,14.8262,63.455,,,,
30,11/10/2021,21:45:00,14.8262,63.455,,,,
31,11/10/2021,22:00:00,14.8291,63.455,,,,
32,11/10/2021,22:15:00,14.832,63.455,,,,
33,11/10/2021,22:30:00,14.8305,63.455,,,,
34,11/10/2021,22:45:00,14.8291,63.455,,,,
35,11/10/2021,23:00:00,14.8311,63.626,,,,
36,11/10/2021,23:15:00,14.8282,63.626,,,,
37,11/10/2021,23:30:00,14.8282,63.626,,,,
38,11/10/2021,23:45:00,14.8266,63.626,,,,
39,11/10/2021,0:00:00,14.8266,63.626,,,,
40,11/11/2021,0:15:00,14.8266,63.626,,,,
41,11/11/2021,0:30:00,14.8237,63.626,,,,
42,11/11/2021,0:45:00,14.8237,63.626,,,,
43,11/11/2021,1:00:00,14.8266,63.626,,,,
44,11/11/2021,1:15:00,14.8252,63.626,,,,
45,11/11/2021,1:30:00,14.8223,63.626,,,,
46,11/11/2021,1:45:00,14.8169,63.797,,,,
47,11/11/2021,2:00:00,14.8126,63.797,,,,
48,11/11/2021,2:15:00,14.8097,63.797,,,,
49,11/11/2021,2:30:00,14.8111,63.797,,,,
50,11/11/2021,2:45:00,14.8111,63.797,,,,
51,11/11/2021,3:00:00,14.8097,63.797,,,,
52,11/11/2021,3:15:00,14.8082,63.797,,,,
53,11/11/2021,3:30:00,14.8066,63.797,,,,
54,11/11/2021,3:45:00,14.8082,63.797,,,,
55,11/11/2021,4:00:00,14.8037,63.797,,,,
56,11/11/2021,4:15:00,14.8023,63.797,,,,
57,11/11/2021,4:30:00,14.8037,63.797,,,,
58,11/11/2021,4:45:00,14.8057,63.968,,,,
59,11/11/2021,5:00:00,14.8057,63.968,,,,
60,11/11/2021,5:15:00,14.8028,63.968,,,,
61,11/11/2021,5:30:00,14.8012,63.968,,,,
62,11/11/2021,5:45:00,14.7998,63.968,,,,
63,11/11/2021,6:00:00,14.8057,63.968,,,,
64,11/11/2021,6:15:00,14.8057,63.968,,,,
65,11/11/2021,6:30:00,14.8057,63.968,,,,
66,11/11/2021,6:45:00,14.8043,63.968,,,,
67,11/11/2021,7:00:00,14.8028,63.968,,,,
68,11/11/2021,7:15:00,14.8072,63.968,,,,
69,11/11/2021,7:30:00,14.8057,63.968,,,,
70,11/11/2021,7:45:00,14.8086,63.968,,,,
71,11/11/2021,8:00:00,14.8101,63.968,,,,
72,11/11/2021,8:15:00,14.8101,63.968,,,,
73,11/11/2021,8:30:00,14.8115,63.968,,,,
74,11/11/2021,8:45:00,14.813,63.968,,,,
75,11/11/2021,9:00:00,14.8159,63.968,,,,
76,11/11/2021,9:15:00,14.8159,63.968,,,,
77,11/11/2021,9:30:00,14.8159,63.968,,,,
78,11/11/2021,9:45:00,14.8173,63.968,,,,
79,11/11/2021,10:00:00,14.8223,64.139,,,,
