"Plot Title: Bradford_stream5_baro"
"#","Date","Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776670, SEN S/N: 10776670)","Temp, °F (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Detached (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Attached (LGR S/N: 10776670, SEN S/N: 10776670)","Stopped (LGR S/N: 10776670, SEN S/N: 10776670)","End Of File (LGR S/N: 10776670, SEN S/N: 10776670)"
1,04/15/22,15:00:00,14.7573,71.168,Logged,,,
2,04/15/22,15:15:00,14.7577,69.278,,,,
3,04/15/22,15:30:00,14.7558,68.592,,,,
4,04/15/22,15:45:00,14.7553,68.421,,,,
5,04/15/22,16:00:00,14.7534,68.248,,,,
6,04/15/22,16:15:00,14.7505,68.248,,,,
7,04/15/22,16:30:00,14.7505,68.248,,,,
8,04/15/22,16:45:00,14.7534,68.248,,,,
9,04/15/22,17:00:00,14.7538,68.421,,,,
10,04/15/22,17:15:00,14.7553,68.421,,,,
11,04/15/22,17:30:00,14.7524,68.421,,,,
12,04/15/22,17:45:00,14.7583,68.421,,,,
13,04/15/22,18:00:00,14.7583,68.421,,,,
14,04/15/22,18:15:00,14.7583,68.421,,,,
15,04/15/22,18:30:00,14.7627,68.421,,,,
16,04/15/22,18:45:00,14.7627,68.421,,,,
17,04/15/22,19:00:00,14.7612,68.421,,,,
18,04/15/22,19:15:00,14.7598,68.421,,,,
19,04/15/22,19:30:00,14.7627,68.421,,,,
20,04/15/22,19:45:00,14.7656,68.421,,,,
21,04/15/22,20:00:00,14.7612,68.421,,,,
22,04/15/22,20:15:00,14.7656,68.421,,,,
23,04/15/22,20:30:00,14.7685,68.421,,,,
24,04/15/22,20:45:00,14.7709,68.248,,,,
25,04/15/22,21:00:00,14.7709,68.248,,,,
26,04/15/22,21:15:00,14.7724,68.248,,,,
27,04/15/22,21:30:00,14.7769,68.248,,,,
28,04/15/22,21:45:00,14.7798,68.248,,,,
29,04/15/22,22:00:00,14.7885,68.248,,,,
30,04/15/22,22:15:00,14.7870,68.248,,,,
31,04/15/22,22:30:00,14.7909,68.077,,,,
32,04/15/22,22:45:00,14.7924,68.077,,,,
33,04/15/22,23:00:00,14.7895,68.077,,,,
34,04/15/22,23:15:00,14.7851,68.077,,,,
35,04/15/22,23:30:00,14.7851,68.077,,,,
36,04/15/22,23:45:00,14.7851,68.077,,,,
37,04/16/22,00:00:00,14.7831,67.906,,,,
38,04/16/22,00:15:00,14.7802,67.906,,,,
39,04/16/22,00:30:00,14.7699,67.906,,,,
40,04/16/22,00:45:00,14.7715,67.906,,,,
41,04/16/22,01:00:00,14.7685,67.906,,,,
42,04/16/22,01:15:00,14.7670,67.906,,,,
43,04/16/22,01:30:00,14.7680,67.735,,,,
44,04/16/22,01:45:00,14.7680,67.735,,,,
45,04/16/22,02:00:00,14.7608,67.735,,,,
46,04/16/22,02:15:00,14.7592,67.735,,,,
47,04/16/22,02:30:00,14.7602,67.564,,,,
48,04/16/22,02:45:00,14.7544,67.564,,,,
49,04/16/22,03:00:00,14.7529,67.564,,,,
50,04/16/22,03:15:00,14.7529,67.564,,,,
51,04/16/22,03:30:00,14.7515,67.564,,,,
52,04/16/22,03:45:00,14.7538,67.392,,,,
53,04/16/22,04:00:00,14.7509,67.392,,,,
54,04/16/22,04:15:00,14.7509,67.392,,,,
55,04/16/22,04:30:00,14.7495,67.392,,,,
56,04/16/22,04:45:00,14.7476,67.221,,,,
57,04/16/22,05:00:00,14.7461,67.221,,,,
58,04/16/22,05:15:00,14.7476,67.221,,,,
59,04/16/22,05:30:00,14.7431,67.221,,,,
60,04/16/22,05:45:00,14.7427,67.050,,,,
61,04/16/22,06:00:00,14.7456,67.050,,,,
62,04/16/22,06:15:00,14.7383,67.050,,,,
63,04/16/22,06:30:00,14.7368,67.050,,,,
64,04/16/22,06:45:00,14.7412,67.050,,,,
65,04/16/22,07:00:00,14.7456,67.050,,,,
66,04/16/22,07:15:00,14.7480,66.879,,,,
67,04/16/22,07:30:00,14.7509,66.879,,,,
68,04/16/22,07:45:00,14.7569,66.879,,,,
69,04/16/22,08:00:00,14.7612,66.879,,,,
70,04/16/22,08:15:00,14.7627,66.879,,,,
71,04/16/22,08:30:00,14.7583,66.879,,,,
72,04/16/22,08:45:00,14.7554,66.879,,,,
73,04/16/22,09:00:00,14.7509,66.879,,,,
74,04/16/22,09:15:00,14.7524,66.879,,,,
75,04/16/22,09:30:00,14.7524,66.879,,,,
76,04/16/22,09:45:00,14.7524,66.879,,,,
77,04/16/22,10:00:00,14.7598,66.879,,,,
78,04/16/22,10:15:00,14.7583,66.879,,,,
79,04/16/22,10:30:00,14.7569,66.879,,,,
80,04/16/22,10:45:00,14.7583,66.879,,,,
81,04/16/22,11:00:00,14.7583,66.879,,,,
82,04/16/22,11:15:00,14.7569,66.879,,,,
83,04/16/22,11:30:00,14.7612,66.879,,,,
84,04/16/22,11:45:00,14.7612,66.879,,,,
85,04/16/22,12:00:00,14.7602,67.050,,,,
86,04/16/22,12:15:00,14.7617,67.050,,,,
87,04/16/22,12:30:00,14.7577,67.221,,,,
88,04/16/22,12:45:00,14.7519,67.221,,,,
89,04/16/22,13:00:00,14.7505,67.221,,,,
90,04/16/22,13:15:00,14.7480,67.392,,,,
91,04/16/22,13:30:00,14.7495,67.392,,,,
92,04/16/22,13:45:00,14.7470,67.564,,,,
93,04/16/22,14:00:00,14.7427,67.564,,,,
94,04/16/22,14:15:00,14.7387,67.735,,,,
95,04/16/22,14:30:00,14.7358,67.735,,,,
96,04/16/22,14:45:00,14.7348,67.906,,,,
97,04/16/22,15:00:00,14.7309,68.077,,,,
98,04/16/22,15:15:00,14.7299,68.248,,,,
99,04/16/22,15:30:00,14.7261,68.421,,,,
100,04/16/22,15:45:00,14.7202,68.421,,,,
101,04/16/22,16:00:00,14.7177,68.592,,,,
102,04/16/22,16:15:00,14.7148,68.592,,,,
103,04/16/22,16:30:00,14.7134,68.592,,,,
104,04/16/22,16:45:00,14.7109,68.763,,,,
105,04/16/22,17:00:00,14.7094,68.763,,,,
106,04/16/22,17:15:00,14.7084,68.934,,,,
107,04/16/22,17:30:00,14.7070,68.934,,,,
108,04/16/22,17:45:00,14.7041,68.934,,,,
109,04/16/22,18:00:00,14.7055,68.934,,,,
110,04/16/22,18:15:00,14.7061,69.107,,,,
111,04/16/22,18:30:00,14.7061,69.107,,,,
112,04/16/22,18:45:00,14.7090,69.107,,,,
113,04/16/22,19:00:00,14.7090,69.107,,,,
114,04/16/22,19:15:00,14.7105,69.107,,,,
115,04/16/22,19:30:00,14.7119,69.107,,,,
116,04/16/22,19:45:00,14.7119,69.107,,,,
117,04/16/22,20:00:00,14.7148,69.107,,,,
118,04/16/22,20:15:00,14.7163,69.107,,,,
119,04/16/22,20:30:00,14.7222,69.107,,,,
120,04/16/22,20:45:00,14.7245,68.934,,,,
121,04/16/22,21:00:00,14.7245,68.934,,,,
122,04/16/22,21:15:00,14.7276,68.934,,,,
123,04/16/22,21:30:00,14.7305,68.934,,,,
124,04/16/22,21:45:00,14.7348,68.934,,,,
125,04/16/22,22:00:00,14.7392,68.934,,,,
126,04/16/22,22:15:00,14.7408,68.934,,,,
127,04/16/22,22:30:00,14.7408,68.934,,,,
128,04/16/22,22:45:00,14.7451,68.934,,,,
129,04/16/22,23:00:00,14.7437,68.934,,,,
130,04/16/22,23:15:00,14.7480,68.934,,,,
131,04/16/22,23:30:00,14.7495,68.934,,,,
132,04/16/22,23:45:00,14.7490,68.763,,,,
133,04/17/22,00:00:00,14.7476,68.763,,,,
134,04/17/22,00:15:00,14.7431,68.763,,,,
135,04/17/22,00:30:00,14.7461,68.763,,,,
136,04/17/22,00:45:00,14.7461,68.763,,,,
137,04/17/22,01:00:00,14.7461,68.763,,,,
138,04/17/22,01:15:00,14.7387,68.763,,,,
139,04/17/22,01:30:00,14.7373,68.763,,,,
140,04/17/22,01:45:00,14.7387,68.763,,,,
141,04/17/22,02:00:00,14.7368,68.592,,,,
142,04/17/22,02:15:00,14.7324,68.592,,,,
143,04/17/22,02:30:00,14.7309,68.592,,,,
144,04/17/22,02:45:00,14.7295,68.592,,,,
145,04/17/22,03:00:00,14.7280,68.592,,,,
146,04/17/22,03:15:00,14.7280,68.592,,,,
147,04/17/22,03:30:00,14.7251,68.592,,,,
148,04/17/22,03:45:00,14.7216,68.421,,,,
149,04/17/22,04:00:00,14.7187,68.421,,,,
150,04/17/22,04:15:00,14.7144,68.421,,,,
151,04/17/22,04:30:00,14.7129,68.421,,,,
152,04/17/22,04:45:00,14.7115,68.421,,,,
153,04/17/22,05:00:00,14.7084,68.421,,,,
154,04/17/22,05:15:00,14.7070,68.421,,,,
155,04/17/22,05:30:00,14.7144,68.421,,,,
156,04/17/22,05:45:00,14.7154,68.248,,,,
157,04/17/22,06:00:00,14.7154,68.248,,,,
158,04/17/22,06:15:00,14.7138,68.248,,,,
159,04/17/22,06:30:00,14.7138,68.248,,,,
160,04/17/22,06:45:00,14.7123,68.248,,,,
161,04/17/22,07:00:00,14.7109,68.248,,,,
162,04/17/22,07:15:00,14.7154,68.248,,,,
163,04/17/22,07:30:00,14.7197,68.248,,,,
164,04/17/22,07:45:00,14.7197,68.248,,,,
165,04/17/22,08:00:00,14.7270,68.248,,,,
166,04/17/22,08:15:00,14.7270,68.248,,,,
167,04/17/22,08:30:00,14.7255,68.248,,,,
168,04/17/22,08:45:00,14.7284,68.248,,,,
169,04/17/22,09:00:00,14.7284,68.248,,,,
170,04/17/22,09:15:00,14.7270,68.248,,,,
171,04/17/22,09:30:00,14.7280,68.077,,,,
172,04/17/22,09:45:00,14.7295,68.077,,,,
173,04/17/22,10:00:00,14.7295,68.077,,,,
174,04/17/22,10:15:00,14.7284,68.248,,,,
175,04/17/22,10:30:00,14.7270,68.248,,,,
176,04/17/22,10:45:00,14.7299,68.248,,,,
177,04/17/22,11:00:00,14.7284,68.248,,,,
178,04/17/22,11:15:00,14.7255,68.248,,,,
179,04/17/22,11:30:00,14.7226,68.248,,,,
180,04/17/22,11:45:00,14.7226,68.248,,,,
181,04/17/22,12:00:00,14.7216,68.421,,,,
182,04/17/22,12:15:00,14.7173,68.421,,,,
183,04/17/22,12:30:00,14.7148,68.592,,,,
184,04/17/22,12:45:00,14.7123,68.763,,,,
185,04/17/22,13:00:00,14.7065,68.763,,,,
186,04/17/22,13:15:00,14.7065,68.763,,,,
187,04/17/22,13:30:00,14.7036,68.763,,,,
188,04/17/22,13:45:00,14.7007,68.763,,,,
189,04/17/22,14:00:00,14.6968,68.934,,,,
190,04/17/22,14:15:00,14.6938,68.934,,,,
191,04/17/22,14:30:00,14.6929,69.107,,,,
192,04/17/22,14:45:00,14.6884,69.107,,,,
193,04/17/22,15:00:00,14.6890,69.278,,,,
194,04/17/22,15:15:00,14.6933,69.278,,,,
195,04/17/22,15:30:00,14.6919,69.278,,,,
196,04/17/22,15:45:00,14.6904,69.278,,,,
197,04/17/22,16:00:00,14.6890,69.278,,,,
198,04/17/22,16:15:00,14.6880,69.449,,,,
199,04/17/22,16:30:00,14.7173,69.449,,,,
200,04/17/22,16:45:00,14.7109,69.278,,,,
201,04/17/22,17:00:00,14.7041,68.934,,,,
202,04/17/22,17:15:00,14.6904,68.763,,,,
203,04/17/22,17:30:00,14.6933,68.763,,,,
204,04/17/22,17:45:00,14.6948,68.763,,,,
205,04/17/22,18:00:00,14.7022,68.763,,,,
206,04/17/22,18:15:00,14.7022,68.763,,,,
207,04/17/22,18:30:00,14.7007,68.763,,,,
208,04/17/22,18:45:00,14.7036,68.763,,,,
209,04/17/22,19:00:00,14.7022,68.763,,,,
210,04/17/22,19:15:00,14.7016,68.592,,,,
211,04/17/22,19:30:00,14.7076,68.592,,,,
212,04/17/22,19:45:00,14.7061,68.592,,,,
213,04/17/22,20:00:00,14.7045,68.592,,,,
214,04/17/22,20:15:00,14.7076,68.592,,,,
215,04/17/22,20:30:00,14.7084,68.421,,,,
216,04/17/22,20:45:00,14.7100,68.421,,,,
217,04/17/22,21:00:00,14.7070,68.421,,,,
218,04/17/22,21:15:00,14.7084,68.421,,,,
219,04/17/22,21:30:00,14.7084,68.421,,,,
220,04/17/22,21:45:00,14.7173,68.421,,,,
221,04/17/22,22:00:00,14.7261,68.421,,,,
222,04/17/22,22:15:00,14.7315,68.248,,,,
223,04/17/22,22:30:00,14.7284,68.248,,,,
224,04/17/22,22:45:00,14.7344,68.248,,,,
225,04/17/22,23:00:00,14.7358,68.248,,,,
226,04/17/22,23:15:00,14.7315,68.248,,,,
227,04/17/22,23:30:00,14.7284,68.248,,,,
228,04/17/22,23:45:00,14.7255,68.248,,,,
229,04/18/22,00:00:00,14.7177,68.077,,,,
230,04/18/22,00:15:00,14.7105,68.077,,,,
231,04/18/22,00:30:00,14.7148,68.077,,,,
232,04/18/22,00:45:00,14.7076,68.077,,,,
233,04/18/22,01:00:00,14.7076,68.077,,,,
234,04/18/22,01:15:00,14.7061,68.077,,,,
235,04/18/22,01:30:00,14.7061,68.077,,,,
236,04/18/22,01:45:00,14.7016,68.077,,,,
237,04/18/22,02:00:00,14.6968,67.906,,,,
238,04/18/22,02:15:00,14.6923,67.906,,,,
239,04/18/22,02:30:00,14.6954,67.906,,,,
240,04/18/22,02:45:00,14.6939,67.906,,,,
241,04/18/22,03:00:00,14.6939,67.906,,,,
242,04/18/22,03:15:00,14.6909,67.906,,,,
243,04/18/22,03:30:00,14.6880,67.906,,,,
244,04/18/22,03:45:00,14.6865,67.906,,,,
245,04/18/22,04:00:00,14.6880,67.906,,,,
246,04/18/22,04:15:00,14.6865,67.906,,,,
247,04/18/22,04:30:00,14.6894,67.906,,,,
248,04/18/22,04:45:00,14.6923,67.906,,,,
249,04/18/22,05:00:00,14.6919,67.735,,,,
250,04/18/22,05:15:00,14.6948,67.735,,,,
251,04/18/22,05:30:00,14.6933,67.735,,,,
252,04/18/22,05:45:00,14.6962,67.735,,,,
253,04/18/22,06:00:00,14.6993,67.735,,,,
254,04/18/22,06:15:00,14.7036,67.735,,,,
255,04/18/22,06:30:00,14.7036,67.735,,,,
256,04/18/22,06:45:00,14.7065,67.735,,,,
257,04/18/22,07:00:00,14.6993,67.735,,,,
258,04/18/22,07:15:00,14.6993,67.735,,,,
