Plot Title: FL_Drain_Baro,,,,,,,,
#,Date,"Time, GMT-04:01","Abs Pres, psi (LGR S/N: 10776670, SEN S/N: 10776670)","Temp, °F (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Detached (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Attached (LGR S/N: 10776670, SEN S/N: 10776670)","Stopped (LGR S/N: 10776670, SEN S/N: 10776670)","End Of File (LGR S/N: 10776670, SEN S/N: 10776670)"
1,1/27/2022,14:15:00,14.7353,60.195,Logged,,,
2,1/27/2022,14:30:00,14.7377,58.993,,,,
3,1/27/2022,14:45:00,14.7338,58.647,,,,
4,1/27/2022,15:00:00,14.729,58.476,,,,
5,1/27/2022,15:15:00,14.7261,58.476,,,,
6,1/27/2022,15:30:00,14.7245,58.476,,,,
7,1/27/2022,15:45:00,14.7187,58.476,,,,
8,1/27/2022,16:00:00,14.7202,58.476,,,,
9,1/27/2022,16:15:00,14.7115,58.476,,,,
10,1/27/2022,16:30:00,14.7115,58.476,,,,
11,1/27/2022,16:45:00,14.709,58.647,,,,
12,1/27/2022,17:00:00,14.709,58.647,,,,
13,1/27/2022,17:15:00,14.7016,58.647,,,,
14,1/27/2022,17:30:00,14.7076,58.647,,,,
15,1/27/2022,17:45:00,14.7061,58.647,,,,
16,1/27/2022,18:00:00,14.7105,58.647,,,,
17,1/27/2022,18:15:00,14.7119,58.647,,,,
18,1/27/2022,18:30:00,14.7119,58.647,,,,
19,1/27/2022,18:45:00,14.7163,58.647,,,,
20,1/27/2022,19:00:00,14.7177,58.647,,,,
21,1/27/2022,19:15:00,14.7192,58.647,,,,
22,1/27/2022,19:30:00,14.7237,58.647,,,,
23,1/27/2022,19:45:00,14.7163,58.647,,,,
24,1/27/2022,20:00:00,14.7163,58.647,,,,
25,1/27/2022,20:15:00,14.7237,58.647,,,,
26,1/27/2022,20:30:00,14.7266,58.647,,,,
27,1/27/2022,20:45:00,14.7222,58.647,,,,
28,1/27/2022,21:00:00,14.7255,58.82,,,,
29,1/27/2022,21:15:00,14.7284,58.82,,,,
30,1/27/2022,21:30:00,14.7255,58.82,,,,
31,1/27/2022,21:45:00,14.7313,58.82,,,,
32,1/27/2022,22:00:00,14.7342,58.82,,,,
33,1/27/2022,22:15:00,14.7309,58.647,,,,
34,1/27/2022,22:30:00,14.7309,58.647,,,,
35,1/27/2022,22:45:00,14.7353,58.647,,,,
36,1/27/2022,23:00:00,14.7396,58.647,,,,
37,1/27/2022,23:15:00,14.7427,58.647,,,,
38,1/27/2022,23:30:00,14.747,58.647,,,,
39,1/27/2022,23:45:00,14.7485,58.647,,,,
40,1/27/2022,0:00:00,14.7499,58.647,,,,
41,1/28/2022,0:15:00,14.7543,58.647,,,,
42,1/28/2022,0:30:00,14.7572,58.647,,,,
43,1/28/2022,0:45:00,14.7646,58.647,,,,
44,1/28/2022,1:00:00,14.7675,58.647,,,,
45,1/28/2022,1:15:00,14.7728,58.476,,,,
46,1/28/2022,1:30:00,14.7743,58.476,,,,
47,1/28/2022,1:45:00,14.7757,58.476,,,,
48,1/28/2022,2:00:00,14.7786,58.476,,,,
49,1/28/2022,2:15:00,14.7786,58.476,,,,
50,1/28/2022,2:30:00,14.7796,58.303,,,,
51,1/28/2022,2:45:00,14.7811,58.303,,,,
52,1/28/2022,3:00:00,14.784,58.303,,,,
53,1/28/2022,3:15:00,14.7825,58.303,,,,
54,1/28/2022,3:30:00,14.7821,58.131,,,,
55,1/28/2022,3:45:00,14.7821,58.131,,,,
56,1/28/2022,4:00:00,14.7807,58.131,,,,
57,1/28/2022,4:15:00,14.7821,58.131,,,,
58,1/28/2022,4:30:00,14.7807,58.131,,,,
59,1/28/2022,4:45:00,14.7788,57.958,,,,
60,1/28/2022,5:00:00,14.7817,57.958,,,,
61,1/28/2022,5:15:00,14.7802,57.958,,,,
62,1/28/2022,5:30:00,14.7817,57.958,,,,
