Plot Title: FL_Drain_Baro,,,,,,,,,
#,Date,"Time, GMT-04:00","Time, GMT-04:01","Abs Pres, psi (LGR S/N: 10776670, SEN S/N: 10776670)","Temp, °F (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Detached (LGR S/N: 10776670, SEN S/N: 10776670)","Coupler Attached (LGR S/N: 10776670, SEN S/N: 10776670)","Stopped (LGR S/N: 10776670, SEN S/N: 10776670)","End Of File (LGR S/N: 10776670, SEN S/N: 10776670)"
1,6/15/2021,16:39:37,16:45:00,14.731,72.718,Logged,,,
2,6/15/2021,16:54:37,17:00:00,14.708,71.339,,,,
3,6/15/2021,17:09:37,17:15:00,14.7144,70.995,,,,
4,6/15/2021,17:24:37,17:30:00,14.7241,70.824,,,,
5,6/15/2021,17:39:37,17:45:00,14.7284,70.824,,,,
6,6/15/2021,17:54:37,18:00:00,14.7251,70.651,,,,
7,6/15/2021,18:09:37,18:15:00,14.7222,70.651,,,,
8,6/15/2021,18:24:37,18:30:00,14.7266,70.651,,,,
9,6/15/2021,18:39:37,18:45:00,14.7295,70.651,,,,
10,6/15/2021,18:54:37,19:00:00,14.7383,70.651,,,,
11,6/15/2021,19:09:37,19:15:00,14.75,70.651,,,,
12,6/15/2021,19:24:37,19:30:00,14.7529,70.651,,,,
13,6/15/2021,19:39:37,19:45:00,14.7544,70.651,,,,
14,6/15/2021,19:54:37,20:00:00,14.7763,70.651,,,,
15,6/15/2021,20:09:37,20:15:00,14.7192,70.651,,,,
16,6/15/2021,20:24:37,20:30:00,14.7237,70.651,,,,
17,6/15/2021,20:39:37,20:45:00,14.7208,70.651,,,,
18,6/15/2021,20:54:37,21:00:00,14.7324,70.651,,,,
19,6/15/2021,21:09:37,21:15:00,14.7412,70.651,,,,
20,6/15/2021,21:24:37,21:30:00,14.7412,70.651,,,,
21,6/15/2021,21:39:37,21:45:00,14.7441,70.651,,,,
22,6/15/2021,21:54:37,22:00:00,14.7383,70.651,,,,
23,6/15/2021,22:09:37,22:15:00,14.7368,70.651,,,,
24,6/15/2021,22:24:37,22:30:00,14.7324,70.651,,,,
25,6/15/2021,22:39:37,22:45:00,14.7309,70.651,,,,
26,6/15/2021,22:54:37,23:00:00,14.7324,70.651,,,,
27,6/15/2021,23:09:37,23:15:00,14.7338,70.651,,,,
28,6/15/2021,23:24:37,23:30:00,14.7324,70.651,,,,
29,6/15/2021,23:39:37,23:45:00,14.728,70.651,,,,
30,6/15/2021,23:54:37,0:00:00,14.7266,70.651,,,,
31,6/16/2021,0:09:37,0:15:00,14.728,70.651,,,,
32,6/16/2021,0:24:37,0:30:00,14.7266,70.651,,,,
33,6/16/2021,0:39:37,0:45:00,14.7266,70.651,,,,
34,6/16/2021,0:54:37,1:00:00,14.7324,70.651,,,,
35,6/16/2021,1:09:37,1:15:00,14.7338,70.651,,,,
36,6/16/2021,1:24:37,1:30:00,14.7309,70.651,,,,
37,6/16/2021,1:39:37,1:45:00,14.7309,70.651,,,,
