OID_,Site,IN_FID,NEAR_FID,NEAR_DIST
0,3,0,1043,289.0576264
1,5,1,12,1880.396484
2,7,2,985,19.7182806
3,9,3,364,2410.681052
4,6,4,719,860.0941836
5,13,5,61,232.8821912
6,6a,6,787,131.2151002
7,14,7,528,986.4710063
8,15,8,164,819.3335007
9,5a,10,47,342.3732609
