ID,Latitude,Longitude
5-up,29.86239004,-82.28324878
5-down,29.86200032,-82.28364569
5a-up,29.89099428,-82.26812316
5a-down,29.89106757,-82.26851649
15-up,29.89302524,-82.32023893
15-down,29.89288582,-82.31965083
3-up,29.96832016,-82.20007878
3-down,29.96785442,-82.19991603
7-up,29.98152035,-82.24340596
7-down,29.98191831,-82.24344559
6-up,29.94357979,-82.18865922
6-down,29.94459867,-82.18829745
9-up,29.90455759,-82.22074913
9-down,29.9045826,-82.21964852
