OID_,Basin_Name,Shape_Area,AREA,PERCENTAGE
0,13,956593.489586999989115,954615.664065000019036,23.599428574600001
1,14,4743739.634850000031292,4713910.923949999734759,18.239876613000000
2,15,698833.735612999997102,697790.576623999979347,12.967740024199999
3,5,3024893.783600000198931,2973511.319139999803156,15.511985155700000
4,6,3589186.104689999949187,2594425.121389999985695,21.375712237300000
5,6a,1979239.190630000084639,1979074.843080000020564,29.324943572100000
6,7,1745937.102029999950901,1727281.139029999962077,26.630394167399999
7,9,2234231.439089999999851,2232073.712400000076741,29.465369240600001
