ID,Date,POC_mgL,DIC,DOC,POC_mmol,DIC_mmol,DOC_mmol,Q,Qbase,Qsurficial,depth,Temp_PT,CO2_mol,KH,CO2_mgL,CO2_mmol
15,2024-09-13T00:00:00Z,2.8985507246377638,71.1,67.99,0.06586118438168062,1.6155419222903884,1.5448761645080662,118.95800317705346,44.39559189143201,74.56241128562145,0.30501265366167113,76.354,NA,NA,NA,NA
9,2024-09-13T00:00:00Z,NA,104.2,101.3,NA,2.367643717336969,2.301749602363099,122.52368857025954,36.772225140007706,85.75146343025183,0.24444121292282994,76.006,NA,NA,NA,NA
6,2024-09-13T00:00:00Z,NA,72.05,68.37,NA,1.6371279254714837,1.5535105657805046,304.58571978577083,86.17046461009458,218.41525517567626,0.4721859552810019,75.659,NA,0.03453422975233991,NA,NA
3,2024-09-13T00:00:00Z,1.7730496453898759,82.98,78.91,0.04028742661644799,1.885480572597137,1.7930015905476029,216.06206634583802,50.272899923085255,165.78916642275277,0.7469990436950569,75.832,NA,NA,NA,NA
6a,2024-09-13T00:00:00Z,2.4866785079926217,73.91,69.75,0.05650257914093665,1.679391047489207,1.5848670756646217,32.53100598675431,7.649190837388914,24.881815149365394,0.24064509563362568,76.354,5.505236846294751e-4,0.03425852371278436,0.0242285473605432,0.5505236846294751
7,2024-09-13T00:00:00Z,0.17985611510789384,88.93,84.31,0.004086710181956234,2.020677118836628,1.9157009770506703,157.60472135746656,41.31016918250359,116.29455217496297,0.4401682270031207,76.181,NA,NA,NA,NA
5,2024-09-13T00:00:00Z,2.185792349726535,56.82,54.42,0.04966581117306374,1.29107021131561,1.2365371506475802,173.4584415019276,56.14512460283073,117.31331689909686,0.23310439823676835,76.006,NA,0.03439601247869503,NA,NA
5a,2024-09-13T00:00:00Z,NA,70.2,67.14,NA,1.5950920245398774,1.525562372188139,12.034719514906438,3.9318731963452773,8.102846318561161,0.41560040857455455,75.484,2.778886216719811e-4,0.03460726988308368,0.012229878239783887,0.2778886216719811
13,2024-09-13T00:00:00Z,0.9276437847867457,46.18,25.9,0.02107802283087357,1.049306975687344,0.5885026130424903,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2024-08-23T00:00:00Z,3.405017921146976,174.7,167.4,0.07736918702901559,3.96955237446035,3.803680981595092,10.38101659023063,8.59962361462767,1.7813929756029578,0.15458686579710812,77.05,5.511810381526345e-4,0.033978572675321124,0.024257477489097443,0.5511810381526344
6,2024-08-23T00:00:00Z,NA,179.1,173.3,NA,4.069529652351738,3.937741422404,136.61758026743692,48.461305582983385,88.15627468445354,0.25312878639743264,76.354,3.14965278752337e-5,0.03425852371278436,0.0013861621917890352,0.0314965278752337
3,2024-08-23T00:00:00Z,0,261.4,256.4,0,5.9395591910929335,5.8259486480345375,44.841820161218756,14.79784890721828,30.04397125400048,0.43017425503382467,76.703,3.278414267405382e-4,0.03411458061491287,0.014428301190851086,0.3278414267405382
5,2024-08-22T00:00:00Z,8.018867924528257,188,179,0.18220558792384134,4.271756418995683,4.067257441490571,16.125505508465935,6.737990698400409,9.387514810065523,0.017794650892331877,78.274,1.8795884408910182e-4,0.03349762937630334,0.00827206872836137,0.18795884408910182
13,2024-08-01T00:00:00Z,0,83.96,-2.401,0,1.9077482390365823,-0.05455578277664167,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-08-01T00:00:00Z,3.035714285713951,262.5,252.6,0.06897782971401843,5.964553510565781,5.739604635310157,35.6445499723365,13.440158542688629,22.20439142964787,0.39723668915869315,76.876,3.4190230717757693e-4,0.034050066456694256,0.01504712053888516,0.3419023071775769
7,2024-08-01T00:00:00Z,4.456327985739655,156.9,146.1,0.10125716850124189,3.565098841172461,3.319700068166326,35.070620539330605,14.308520900484917,20.762099638845687,0.2666121397977061,76.703,1.269074028845423e-4,0.03411458061491287,0.005585194800948706,0.1269074028845423
5,2024-07-29T00:00:00Z,10.106382978723474,143.7,139.5,0.22963833171378037,3.2651670074982957,3.1697341513292434,296.56368995018414,106.30796265791083,190.2557272922733,0.41694777291652474,76.354,2.239747882247845e-4,0.03425852371278436,0.009857130429772766,0.2239747882247845
6,2024-07-29T00:00:00Z,10.8303249097473,161.8,152.9,0.2460878188990525,3.6764371733696897,3.4742104067257444,65.45019787171839,18.59738514007719,46.8528127316412,0.14285820571641208,74.098,8.512862130796686e-5,0.03517655661592444,0.0037465106237636213,0.08512862130796686
6a,2024-07-29T00:00:00Z,6.749555950266476,137,128.9,0.15336414338256024,3.1129288798000454,2.9288798000454443,3.088415038874466,1.085058557047409,2.003356481827057,0.09234008845640074,76.528,7.244510493980088e-4,0.03418645224396826,0.03188309068400636,0.7244510493980088
9,2024-07-29T00:00:00Z,7.992895204262787,183.1,179.6,0.18161543295302857,4.160418086798455,4.080890706657578,61.84088666911078,23.15670706431286,38.68417960479792,0.14969712289074938,77.574,1.872378898425289e-4,0.0337723574556564,0.008240339531969697,0.1872378898425289
5a,2024-07-29T00:00:00Z,NA,134.2,127.4,NA,3.049306975687344,2.894796637127926,11.396921423763265,4.006685658570149,7.3902357651931165,0.40872866794684637,75.484,3.890670001949376e-4,0.03460726988308368,0.0171228386785792,0.3890670001949376
5,2024-05-30T00:00:00Z,6.179066834804699,15.66,13.54,0.14040142773925696,0.3558282208588957,0.3076573506021359,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2024-05-30T00:00:00Z,3.2258064516127654,40.65,-3.25,0.07329712455380062,0.923653715064758,-0.07384685298795729,NA,NA,NA,NA,NA,NA,NA,NA,NA
