Date,ID,CO2_molL,HCO3_molL,CO3_molL,DIC_mmol_int,CO2_mgL,HCO3_mgL,CO3_mgL,DIC_mgL_int
2024-05-02T01:00:00Z,6,4.3602258648855276e-4,1.1927144916678704e-6,3.5354671622959806e-13,0.4372153013337673,12.208632421679477,0.042937721700043334,1.2374135068035932e-8,12.251570155753656
2024-05-02T02:00:00Z,6,4.35538160869266e-4,1.200255656858014e-6,3.58429731355651e-13,0.4367384168845537,12.195068504339448,0.0432092036468885,1.2545040597447784e-8,12.238277720531377
2024-05-02T03:00:00Z,6,4.366577653605614e-4,1.1980624247091185e-6,3.5620563019644267e-13,0.4378558281414761,12.226417430095719,0.043130247289528266,1.2467197056875493e-8,12.269547689852445
2024-05-02T04:00:00Z,6,4.383288399768528e-4,1.2108231680493489e-6,3.624464351495322e-13,0.4395396635073486,12.273207519351878,0.04358963404977656,1.2685625230233627e-8,12.31679716608728
2024-05-02T05:00:00Z,6,4.378517776269792e-4,1.2124633908271438e-6,3.6382507088288077e-13,0.4390642413816314,12.259849773555418,0.04364868206977718,1.2733877480900827e-8,12.303498468359074
2024-05-02T06:00:00Z,6,4.383288399768528e-4,1.2102587704519908e-6,3.62108642097221e-13,0.4395390991094134,12.273207519351878,0.043569315736271666,1.2673802473402735e-8,12.316776847761954
2024-05-02T07:00:00Z,6,4.3840867331891125e-4,1.1929310895549576e-6,3.5175001245361806e-13,0.43960160476021626,12.275442852929515,0.042945519223978476,1.2311250435876632e-8,12.318388384464745
2024-05-02T08:00:00Z,6,4.3872645652516334e-4,1.2135469246378525e-6,3.6374915331974636e-13,0.43994000381355036,12.284340782704573,0.04368768928696269,1.2731220366191122e-8,12.328028484722756
2024-05-02T09:00:00Z,6,4.418457699728742e-4,1.2409086297547825e-6,3.7765230547444884e-13,0.4430866789802813,12.371681559240479,0.04467271067117217,1.3217830691605709e-8,12.41635428312948
2024-05-02T10:00:00Z,6,4.41062163091116e-4,1.217834175963994e-6,3.6438429110670897e-13,0.4422799976314643,12.349740566551247,0.04384203033470378,1.2753450188734814e-8,12.3935826096394
2024-05-02T11:00:00Z,6,4.4653268472459666e-4,1.265536132089614e-6,3.886693706758768e-13,0.4477982212453557,12.502915172288706,0.0455593007552261,1.3603427973655687e-8,12.54847448664736
2024-05-02T12:00:00Z,6,4.4359241498577424e-4,1.2842633119768144e-6,4.0291105908186797e-13,0.4448766787006621,12.420587619601678,0.04623347923116532,1.410188706786538e-8,12.466821112934731
2024-05-02T13:00:00Z,6,4.3819165064147076e-4,1.2593133769190839e-6,3.9218319212898906e-13,0.439450964410573,12.269366217961181,0.04533528156908702,1.3726411724514618e-8,12.314701513256681
2024-05-02T14:00:00Z,6,4.3537578140168115e-4,1.2959306933332581e-6,4.180075731651492e-13,0.436671712513022,12.190521879247072,0.046653504959997295,1.4630265060780222e-8,12.237175398837334
2024-05-02T15:00:00Z,6,4.2776022312599897e-4,1.2560501215191532e-6,3.9966729931770096e-13,0.4290162736471854,11.977286247527971,0.045217804374689516,1.3988355476119534e-8,12.022504065891015
2024-05-02T16:00:00Z,6,4.247730609872295e-4,1.246623724683149e-6,3.964599529717136e-13,0.4260196851083726,11.893645707642426,0.04487845408859336,1.3876098354009975e-8,11.938524175607117
2024-05-02T17:00:00Z,6,4.1925010508840795e-4,1.2389992369152088e-6,3.970871488071101e-13,0.4204891047224103,11.739002942475423,0.044603972528947516,1.3898050208248853e-8,11.78360692890242
2024-05-02T18:00:00Z,6,4.1862404930859533e-4,1.1892004096278766e-6,3.6635568377740527e-13,0.41981325008457887,11.721473380640669,0.04281121474660356,1.2822448932209185e-8,11.76428460820972
2024-05-02T19:00:00Z,6,4.210246387348316e-4,1.200603994179126e-6,3.7128602096276706e-13,0.42222524310029674,11.788689884575286,0.04322174379044853,1.2995010733696847e-8,11.831911641360746
2024-05-02T20:00:00Z,6,4.23463897449506e-4,1.1992872329706891e-6,3.6833816472731494e-13,0.4246631850508148,11.856989128586168,0.04317434038694481,1.2891835765456022e-8,11.900163481864947
2024-05-02T21:00:00Z,6,4.268899964051203e-4,1.2081100363269925e-6,3.7077763037332846e-13,0.42809810681222493,11.95291989934337,0.043491961307771734,1.2977217063066496e-8,11.99641187362836
2024-05-02T22:00:00Z,6,4.322669609624359e-4,1.2187115557778428e-6,3.7262009491516794e-13,0.4334856728908339,12.103474906948206,0.04387361600800234,1.3041703322030879e-8,12.14734853599791
2024-05-02T23:00:00Z,6,4.368109890467953e-4,1.2304015596407562e-6,3.7585155653418107e-13,0.4380413909822876,12.230707693310269,0.04429445614706722,1.3154804478696337e-8,12.275002162612141
2024-05-03T00:00:00Z,6,4.4216088510220435e-4,1.252220468557245e-6,3.8458896080451066e-13,0.44341310595535055,12.380504782861722,0.04507993686806082,1.3460613628157873e-8,12.425584733190398
2024-05-03T01:00:00Z,6,4.439520465426564e-4,1.2543555831066213e-6,3.8434506790078793e-13,0.44520640251010807,12.43065730319438,0.045156800991838365,1.3452077376527577e-8,12.475814117638295
2024-05-03T02:00:00Z,6,4.462420418039597e-4,1.2628218466196815e-6,3.8755170853101514e-13,0.4475048640381311,12.494777170510872,0.04546158647830854,1.356430979858553e-8,12.540238770553492
2024-05-03T03:00:00Z,6,4.4807844631188445e-4,1.2712963689605605e-6,3.9116084829607323e-13,0.4493497430720058,12.546196496732765,0.04576666928258018,1.3690629690362563e-8,12.591963179705974
2024-05-03T04:00:00Z,6,4.4911362316337193e-4,1.290882857486378e-6,4.023774420653803e-13,0.45040450642323576,12.575181448574414,0.046471782869509606,1.408321047228831e-8,12.621653245527135
2024-05-03T05:00:00Z,6,4.5038352259567865e-4,1.2898230983623379e-6,4.005840483178433e-13,0.45167334609462506,12.610738632679002,0.046433631541044164,1.4020441691124517e-8,12.657172278240488
2024-05-03T06:00:00Z,6,4.4949744882639503e-4,1.2851634481499741e-6,3.987535483010315e-13,0.45078261267329855,12.58592856713906,0.04626588413339907,1.3956374190536102e-8,12.632194465228833
2024-05-03T08:00:00Z,6,4.4988724026158526e-4,1.2901395505889588e-6,4.0149905923853824e-13,0.45117738021367326,12.596842727324388,0.04644502382120252,1.4052467073348839e-8,12.643287765198059
2024-05-03T09:00:00Z,6,4.5220283294588356e-4,1.3212940736647618e-6,4.1896793034589265e-13,0.4535241274385162,12.66167932248474,0.047566586651931426,1.4663877562106243e-8,12.70924592380055
2024-05-03T10:00:00Z,6,4.5040207370172764e-4,1.3294256197272784e-6,4.25836638244323e-13,0.45173149974729154,12.611258063648373,0.04785932231018202,1.4904282338551306e-8,12.659117400862838
2024-05-03T11:00:00Z,6,4.566391225968852e-4,1.3495988483549507e-6,4.328652385864834e-13,0.45798872187810535,12.785895432712785,0.04858555854077822,1.5150283350526918e-8,12.834481006403847
2024-05-03T12:00:00Z,6,4.5552146319459717e-4,1.3697635198458839e-6,4.4699157613473933e-13,0.4568912271614346,12.75460096944872,0.04931148671445182,1.5644705164715877e-8,12.803912471807877
2024-05-03T13:00:00Z,6,4.5037814591065647e-4,1.3702127996233586e-6,4.5239268807912335e-13,0.4517483591626725,12.610588085498382,0.04932766078644091,1.5833744082769316e-8,12.659915762118565
2024-05-03T14:00:00Z,6,4.440056348434676e-4,1.35553542058525e-6,4.491079971704732e-13,0.44536117071316084,12.432157775617092,0.048799275141069,1.571877990096656e-8,12.480957066476941
2024-05-03T15:00:00Z,6,4.381016453627349e-4,1.3365923774465425e-6,4.425280966395267e-13,0.43943823818270955,12.266846070156578,0.04811732558807553,1.5488483382383433e-8,12.314963411233137
2024-05-03T16:00:00Z,6,4.3126987507982676e-4,1.3174601348917962e-6,4.3676062828377724e-13,0.4325873356514792,12.07555650223515,0.047428564856104666,1.5286621989932205e-8,12.122985082377877
2024-05-03T17:00:00Z,6,4.272623560075344e-4,1.2959244082582658e-6,4.265622528113004e-13,0.4285582808423549,11.963345968210964,0.046653278697297566,1.4929678848395514e-8,12.00999926183794
2024-05-03T18:00:00Z,6,4.237553908871646e-4,1.2174853889062631e-6,3.7960327961471946e-13,0.4249728766556741,11.86515094484061,0.04382947400062547,1.3286114786515182e-8,11.90898043212735
2024-05-03T19:00:00Z,6,4.238213852786671e-4,1.2183254137327534e-6,3.80067722955696e-13,0.4250397110724675,11.866998787802679,0.04385971489437912,1.330237030344936e-8,11.91085851599943
2024-05-03T20:00:00Z,6,4.2721179890059394e-4,1.2426327801140726e-6,3.922468374629156e-13,0.42845443207295486,11.96193036921663,0.04473478008410661,1.3728639311202046e-8,12.006665163029375
2024-05-03T21:00:00Z,6,4.313763923433044e-4,1.2369171902888552e-6,3.8489438480323494e-13,0.4326133099184876,12.078538985612523,0.04452901885039879,1.3471303468113222e-8,12.123068017934227
2024-05-03T22:00:00Z,6,4.371537960906287e-4,1.2733059700353355e-6,4.024836019157902e-13,0.43842710246314764,12.240306290537603,0.04583901492127208,1.4086926067052657e-8,12.2861453195458
2024-05-03T23:00:00Z,6,4.4415614836794696e-4,1.2934083077321411e-6,4.0874487936286455e-13,0.445449557084424,12.436372154302514,0.04656269907835708,1.430607077770026e-8,12.482934867686943
2024-05-04T00:00:00Z,6,4.500651549661622e-4,1.314585978387841e-6,4.166955828951684e-13,0.45137974136124565,12.601824339052543,0.04732509522196227,1.4584345401330893e-8,12.649149448858852
2024-05-04T01:00:00Z,6,4.5287750907688115e-4,1.3102318373952569e-6,4.116843978751654e-13,0.4541877413259608,12.680570254152672,0.047168346146229244,1.4408953925630789e-8,12.727738614707855
2024-05-04T02:00:00Z,6,4.5426960623343453e-4,1.3297663839181624e-6,4.2275219606675386e-13,0.45559937304010495,12.719548974536167,0.04787158982105385,1.4796326862336384e-8,12.767420579153548
2024-05-04T03:00:00Z,6,4.5657551986370886e-4,1.3226256186319912e-6,4.1611153066269435e-13,0.4578981458984524,12.784114556183848,0.047614522270751684,1.4563903573194302e-8,12.831729093018504
2024-05-04T04:00:00Z,6,4.547582843224156e-4,1.3276767259231602e-6,4.2097119646277593e-13,0.45608596146930996,12.733231961027636,0.047796362133233766,1.4733991876197157e-8,12.781028337894861
2024-05-04T05:00:00Z,6,4.5483299161103836e-4,1.328144458055784e-6,4.2119891377028986e-13,0.45616113649029305,12.735323765109074,0.04781320049000823,1.4741961981960145e-8,12.783136980341045
2024-05-04T06:00:00Z,6,4.5720783619318626e-4,1.328754531139375e-6,4.193957942207906e-13,0.4585365911437215,12.801819413409214,0.0478351631210175,1.467885279772767e-8,12.849654591209084
2024-05-04T07:00:00Z,6,4.5720783619318626e-4,1.3473246766087909e-6,4.3120106568966714e-13,0.45855516130099616,12.801819413409214,0.04850368835791647,1.509203729913835e-8,12.850323116859169
2024-05-04T08:00:00Z,6,4.5831381213609667e-4,1.3712845794281419e-6,4.4559584060765653e-13,0.45968509716112066,12.832786739810707,0.04936624485941311,1.5595854421267978e-8,12.882153000265976
2024-05-04T09:00:00Z,6,4.5672878533212056e-4,1.3509350278779498e-6,4.3396983228652387e-13,0.45807972079396836,12.788405989299376,0.04863366100360619,1.5188944130028335e-8,12.837039665491925
