Date,DO,Temp,SpC,pH,FDOM,CO2,Day,Mon,Year,Stage,Q,Site
2022-10-27T09:00:00Z,NA,59.72,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T10:00:00Z,NA,62.85,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T11:00:00Z,NA,70.09,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T12:00:00Z,NA,73.08,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T13:00:00Z,NA,77.83,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T14:00:00Z,NA,80.71,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T15:00:00Z,NA,81.54,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T16:00:00Z,NA,80.92,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T17:00:00Z,NA,77.68,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T18:00:00Z,NA,76.39,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T19:00:00Z,NA,73.72,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T20:00:00Z,NA,71.67,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T21:00:00Z,NA,69.62,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T22:00:00Z,NA,68.32,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-27T23:00:00Z,NA,67.89,NA,NA,NA,NA,27,10,2022,-0.16612239951752636,0,9
2022-10-28T00:00:00Z,NA,68.25,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T01:00:00Z,NA,67.64,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T02:00:00Z,NA,67.53,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T03:00:00Z,NA,67.32,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T04:00:00Z,NA,66.96,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T05:00:00Z,NA,66.81,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T06:00:00Z,NA,66.78,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T07:00:00Z,NA,67.14,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T08:00:00Z,NA,68.07,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T09:00:00Z,NA,69.66,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T10:00:00Z,NA,71.24,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T11:00:00Z,NA,72.32,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T12:00:00Z,NA,73.18,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T13:00:00Z,NA,73.98,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T14:00:00Z,NA,73.11,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T15:00:00Z,NA,73.76,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T16:00:00Z,NA,72.9,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T17:00:00Z,NA,73.33,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T18:00:00Z,NA,70.52,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T19:00:00Z,NA,68.86,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T20:00:00Z,NA,67.78,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T21:00:00Z,NA,67.82,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T22:00:00Z,NA,67.78,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-28T23:00:00Z,NA,67.6,NA,NA,NA,NA,28,10,2022,-0.16464285110388505,0,9
2022-10-29T00:00:00Z,NA,67.35,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T01:00:00Z,NA,67.1,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T02:00:00Z,NA,66.88,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T03:00:00Z,NA,66.31,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T04:00:00Z,NA,66.16,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T05:00:00Z,NA,65.88,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T06:00:00Z,NA,65.66,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T07:00:00Z,NA,65.26,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T08:00:00Z,NA,65.3,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T09:00:00Z,NA,65.66,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T10:00:00Z,NA,66.67,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T11:00:00Z,NA,67.64,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T12:00:00Z,NA,67.93,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T13:00:00Z,NA,69.4,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T14:00:00Z,NA,69.33,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T15:00:00Z,NA,68.83,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T16:00:00Z,NA,68.22,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T17:00:00Z,NA,67.57,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T18:00:00Z,NA,67.24,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T19:00:00Z,NA,66.92,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T20:00:00Z,NA,66.78,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T21:00:00Z,NA,66.06,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T22:00:00Z,NA,65.91,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-29T23:00:00Z,NA,65.7,NA,NA,NA,NA,29,10,2022,-0.16288148394478616,0,9
2022-10-30T00:00:00Z,NA,65.7,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T01:00:00Z,NA,65.95,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T02:00:00Z,NA,66.2,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T03:00:00Z,NA,66.31,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T04:00:00Z,NA,66.06,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T05:00:00Z,NA,65.7,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T06:00:00Z,NA,65.55,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T07:00:00Z,NA,65.34,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T08:00:00Z,NA,65.08,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T09:00:00Z,NA,65.37,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T10:00:00Z,NA,66.31,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T11:00:00Z,NA,67.75,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T12:00:00Z,NA,68.07,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T13:00:00Z,NA,70.3,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T14:00:00Z,NA,74.19,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T15:00:00Z,NA,75.27,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T16:00:00Z,NA,77.14,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T17:00:00Z,NA,76.5,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T18:00:00Z,NA,74.59,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T19:00:00Z,NA,71.78,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T20:00:00Z,NA,68.07,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T21:00:00Z,NA,66.99,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T22:00:00Z,NA,65.91,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-30T23:00:00Z,NA,65.7,NA,NA,NA,NA,30,10,2022,-0.1647133057902475,0,9
2022-10-31T00:00:00Z,NA,68.4,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T01:00:00Z,NA,68.5,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T02:00:00Z,NA,68.43,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
2022-10-31T03:00:00Z,NA,68.22,NA,NA,NA,NA,31,10,2022,-0.16126102615841603,0,9
