Date,DO,Temp,SpC,pH,FDOM,CO2,Day,Mon,Year,Stage,Q,Site
2022-10-25T00:00:00Z,0.76,63.18,129.2,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T01:00:00Z,0.81,62.96,129.5,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T02:00:00Z,0.87,62.71,129.6,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T03:00:00Z,0.94,62.42,129.6,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T04:00:00Z,0.87,62.17,128.9,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T05:00:00Z,0.77,61.92,128.9,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T06:00:00Z,0.79,61.66,128.5,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T07:00:00Z,0.86,61.41,128.5,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T08:00:00Z,1,61.12,128.6,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T09:00:00Z,1.14,60.98,128.2,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T10:00:00Z,1.15,61.09,128.6,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T11:00:00Z,1.07,61.38,129.7,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T12:00:00Z,1.04,61.81,131.1,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T13:00:00Z,0.88,62.28,132.6,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T14:00:00Z,0.68,62.85,133.3,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T15:00:00Z,0.5,63.46,134.4,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T16:00:00Z,0.59,63.97,135.1,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T17:00:00Z,0.68,64.33,136.2,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T18:00:00Z,0.79,64.54,137,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T19:00:00Z,0.72,64.72,137.7,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T20:00:00Z,0.9,64.83,137.3,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T21:00:00Z,0.77,64.76,135.8,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T22:00:00Z,0.63,64.69,134.3,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-25T23:00:00Z,0.52,64.62,133.9,NA,NA,NA,25,10,2022,NA,NA,14
2022-10-26T00:00:00Z,0.57,64.51,134.6,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T01:00:00Z,0.51,64.4,133.9,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T02:00:00Z,0.67,64.22,133.9,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T03:00:00Z,0.63,64.08,134.3,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T04:00:00Z,0.58,63.93,133.9,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T05:00:00Z,0.61,63.82,134.3,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T06:00:00Z,0.55,63.72,138.4,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T07:00:00Z,0.62,63.64,137.3,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T08:00:00Z,0.59,63.61,138.1,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T09:00:00Z,0.69,63.64,138.1,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T10:00:00Z,0.78,63.82,136.9,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T11:00:00Z,0.69,64.11,139.5,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T12:00:00Z,0.76,64.51,137.3,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T13:00:00Z,0.74,64.98,137.3,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T14:00:00Z,0.52,65.44,137.6,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T15:00:00Z,0.35,65.88,139.1,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T16:00:00Z,0.31,66.24,137.9,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T17:00:00Z,0.28,66.74,138.7,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T18:00:00Z,0.59,67.21,134.9,NA,NA,NA,26,10,2022,NA,NA,14
2022-10-26T19:00:00Z,0.92,67.42,137.1,NA,NA,NA,26,10,2022,NA,NA,14
