Date,DO,Temp,SpC,pH,FDOM,CO2,Day,Mon,Year,Stage,Q,Site
2022-10-25T00:00:00Z,NA,58.93,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T01:00:00Z,NA,57.81,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T02:00:00Z,NA,56.73,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T03:00:00Z,NA,55.54,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T04:00:00Z,NA,54.5,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T05:00:00Z,NA,53.67,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T06:00:00Z,NA,52.88,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T07:00:00Z,NA,51.98,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T08:00:00Z,NA,51.58,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T09:00:00Z,NA,53.49,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T10:00:00Z,NA,59.07,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T11:00:00Z,NA,64.4,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T12:00:00Z,NA,67.93,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T13:00:00Z,NA,73.22,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T14:00:00Z,NA,76.96,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T15:00:00Z,NA,76.17,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T16:00:00Z,NA,74.66,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T17:00:00Z,NA,74.05,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T18:00:00Z,NA,72.43,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T19:00:00Z,NA,69.87,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T20:00:00Z,NA,67.28,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T21:00:00Z,NA,66.7,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T22:00:00Z,NA,66.45,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-25T23:00:00Z,NA,65.52,NA,NA,NA,NA,25,10,2022,NA,NA,3
2022-10-26T00:00:00Z,NA,64.15,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T01:00:00Z,NA,62.71,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T02:00:00Z,NA,61.66,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T03:00:00Z,NA,60.87,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T04:00:00Z,NA,60.76,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T05:00:00Z,NA,60.37,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T06:00:00Z,NA,61.2,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T07:00:00Z,NA,62.38,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T08:00:00Z,NA,63.5,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T09:00:00Z,NA,65.37,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T10:00:00Z,NA,67.78,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T11:00:00Z,NA,72.25,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T12:00:00Z,NA,76.06,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T13:00:00Z,NA,79.52,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T14:00:00Z,NA,78.87,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T15:00:00Z,NA,80.53,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T16:00:00Z,NA,81.57,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T17:00:00Z,NA,79.84,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T18:00:00Z,NA,77.4,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T19:00:00Z,NA,74.23,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T20:00:00Z,NA,72.21,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T21:00:00Z,NA,70.3,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T22:00:00Z,NA,69.44,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-26T23:00:00Z,NA,69.91,NA,NA,NA,NA,26,10,2022,NA,NA,3
2022-10-27T00:00:00Z,NA,69.73,NA,NA,NA,NA,27,10,2022,NA,NA,3
