"TOA5","5_Bradford_LB","CR800","34503","CR800.Std.32.05","CPU:5_1hr_02082024.CR8","11368","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2High","CO2Low","cDOM","CO2"
"TS","RN","Volts","ppm","ppm","ppbQ","ppm"
"","","Min","Smp","Smp","Smp","Smp"
"2024-02-12 11:00:00",96,14.09,4274.438,3600,12.93588,1316.974
"2024-02-12 12:00:00",97,13.58,4258.691,3604.5,12.75486,1314.11
"2024-02-12 13:00:00",98,14.14,4300.738,3626.626,12.7747,1320
"2024-02-12 14:00:00",99,14.18,4324.545,3645.813,12.6725,1322.701
"2024-02-12 15:00:00",100,13.59,4344.729,3657.794,12.67249,1317.018
"2024-02-12 16:00:00",101,13.59,4354.602,3679.346,12.63587,1288.344
"2024-02-12 17:00:00",102,12.97,4422.153,3709.431,12.57245,1291.286
"2024-02-12 18:00:00",103,12.94,4313.806,3675.868,12.451,1294.285
"2024-02-12 19:00:00",104,12.91,4269.446,3690.614,12.43259,1408.831
"2024-02-12 20:00:00",105,12.89,4540.017,3690.592,12.27987,1483.273
"2024-02-12 21:00:00",106,12.88,4688.742,3659.775,12.22396,1597.751
"2024-02-12 22:00:00",107,12.86,4747.597,3657.442,12.15988,1669.39
"2024-02-12 23:00:00",108,12.85,4757.616,3660.302,12.10495,1786.79
"2024-02-13 00:00:00",109,12.82,4750.668,3644.511,11.9764,1869.913
"2024-02-13 01:00:00",110,12.8,4676.787,3609.362,11.9931,1941.74
"2024-02-13 02:00:00",111,12.79,4595.159,3567.626,11.9473,2021.927
"2024-02-13 03:00:00",112,12.77,4639.607,3575.853,11.83747,2093.551
"2024-02-13 04:00:00",113,12.75,4523.627,3523.491,11.97475,2165.155
"2024-02-13 05:00:00",114,12.72,4532.219,3523.491,11.91984,2202.386
"2024-02-13 06:00:00",115,12.69,4497.851,3516.126,11.90154,2285.441
"2024-02-13 07:00:00",116,12.68,4447.732,3498.943,11.88323,2348.448
"2024-02-13 08:00:00",117,12.94,4377.565,3478.486,12.02967,2377.088
"2024-02-13 09:00:00",118,13.39,4320.286,3467.03,12.08458,2428.639
"2024-02-13 10:00:00",119,13.87,4220.042,3445.342,12.17589,2465.868
"2024-02-13 11:00:00",120,14.27,4152.729,3440.423,12.16694,2503.093
"2024-02-13 12:00:00",121,13.72,4106.422,3455.155,12.31338,2565.798
"2024-02-13 13:00:00",122,13.61,4117.362,3489.901,12.22159,2596.973
"2024-02-13 14:00:00",123,13.57,4125.731,3519.981,12.1756,2639.781
"2024-02-13 15:00:00",124,13.66,4076.35,3500.969,12.08653,2668.885
"2024-02-13 16:00:00",125,13.71,4023.85,3491.565,12.11411,2680.658
"2024-02-13 17:00:00",126,13.68,4039.617,3502.625,12.04088,2706.443
"2024-02-13 18:00:00",127,12.97,4046.777,3495.26,12.13241,2766.586
"2024-02-13 19:00:00",128,12.91,4055.369,3476.849,12.06834,2800.954
"2024-02-13 20:00:00",129,12.89,4028.161,3438.39,12.06834,2829.594
"2024-02-13 21:00:00",130,12.87,4062.529,3418.343,12.07749,2852.505
"2024-02-13 22:00:00",131,12.85,4054.049,3414.346,12.05003,2869.769
"2024-02-13 23:00:00",132,12.84,4024.467,3388.982,12.02257,2904.49
"2024-02-14 00:00:00",133,12.81,3989.208,3350.158,12.00426,2902.024
"2024-02-14 01:00:00",134,12.79,3942.154,3322.51,12.08651,2933.696
"2024-02-14 02:00:00",135,12.77,3926.397,3313.096,12.10495,2979.535
"2024-02-14 03:00:00",136,12.73,3906.343,3298.362,12.18734,3028.239
"2024-02-14 04:00:00",137,12.71,3818.962,3243.11,12.17818,3051.159
"2024-02-14 05:00:00",138,12.67,3798.907,3238.608,12.14157,3071.213
"2024-02-14 06:00:00",139,12.64,3791.745,3221.418,12.2331,3105.593
"2024-02-14 07:00:00",140,12.6,3745.906,3195.634,12.24306,3145.702
"2024-02-14 08:00:00",141,14.52,3712.959,3173.124,12.28997,3142.837
"2024-02-14 09:00:00",142,13.47,3653.979,3134.438,12.43307,3202.782
"2024-02-14 10:00:00",143,13.62,3703.595,3182.281,12.46689,3258.362
"2024-02-14 11:00:00",144,13.6,3666.053,3182.414,12.48514,3323.927
"2024-02-14 12:00:00",145,14.19,3734.953,3254.561,12.33048,3324.094
"2024-02-14 13:00:00",146,14.12,3761.963,3298.16,12.50344,3352.556
"2024-02-14 14:00:00",147,13.48,3816.36,3346.422,12.32957,3355.419
"2024-02-14 15:00:00",148,13.59,3811.347,3369.956,12.32599,3364.638
"2024-02-14 16:00:00",149,13.61,3804.627,3369.976,12.20816,3409.266
"2024-02-14 17:00:00",150,13.71,3837.58,3384.307,12.18605,3426.462
"2024-02-14 18:00:00",151,13.02,3783.15,3343.383,12.17556,3415.006
"2024-02-14 19:00:00",152,12.94,3764.528,3330.286,12.14664,3415.006
"2024-02-14 20:00:00",153,12.91,3753.069,3313.096,12.18827,3440.79
"2024-02-14 21:00:00",154,12.87,3725.852,3286.903,12.12203,3460.845
"2024-02-14 22:00:00",155,12.85,3741.609,3274.215,12.23444,3440.79
"2024-02-14 23:00:00",156,12.84,3770.258,3274.624,12.22639,3460.845
"2024-02-15 00:00:00",157,12.81,3738.744,3233.287,12.2057,3500.954
"2024-02-15 01:00:00",158,12.8,3747.339,3224.283,12.22396,3523.874
"2024-02-15 02:00:00",159,12.77,3755.933,3232.469,12.23311,3549.658
"2024-02-15 03:00:00",160,12.74,3735.879,3207.503,12.20565,3586.902
"2024-02-15 04:00:00",161,12.73,3731.582,3193.997,12.24226,3632.741
"2024-02-15 05:00:00",162,12.7,3753.069,3212.823,12.26048,3661.39
"2024-02-15 06:00:00",163,12.66,3733.014,3209.549,12.26056,3687.175
