"TOA5","14_Bradford_LB","CR800","31051","CR800.Std.32.05","CPU:5_hourly_07272023.CR8","15813","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2","cDOM"
"TS","RN","Volts","ppm","ppbQ"
"","","Min","Smp","Smp"
"2024-02-09 15:00:00",3274,13.15,188.8471,21.98381
"2024-02-09 16:00:00",3275,13.05,7640.095,22.10301
"2024-02-09 17:00:00",3276,13.06,7806.363,22.09381
"2024-02-09 18:00:00",3277,13.05,7914.341,22.02021
"2024-02-09 19:00:00",3278,13.02,7989.731,21.8399
"2024-02-09 20:00:00",3279,13.01,8067.762,21.89902
"2024-02-09 21:00:00",3280,13.01,8108.83,21.98719
"2024-02-09 22:00:00",3281,13.03,8080.082,22.1252
"2024-02-09 23:00:00",3282,13.02,8080.082,22.33684
"2024-02-10 00:00:00",3283,13.02,8052.06,22.41267
"2024-02-10 01:00:00",3284,12.98,8037.594,22.1101
"2024-02-10 02:00:00",3285,12.96,8022.114,22.88382
"2024-02-10 03:00:00",3286,12.97,8038.973,23.05325
"2024-02-10 04:00:00",3287,12.93,7994.348,23.17292
"2024-02-10 05:00:00",3288,12.96,7962.104,23.41224
"2024-02-10 06:00:00",3289,12.92,7962.329,23.4471
"2024-02-10 07:00:00",3290,12.94,7933.562,23.78645
"2024-02-10 08:00:00",3291,12.91,7902.74,23.85024
"2024-02-10 09:00:00",3292,12.91,7916.853,24.10641
"2024-02-10 10:00:00",3293,13,7899.893,24.22912
"2024-02-10 11:00:00",3294,13.06,7913.401,24.25493
"2024-02-10 12:00:00",3295,12.93,7972.652,24.29939
"2024-02-10 13:00:00",3296,13.07,8065.004,24.21064
"2024-02-10 14:00:00",3297,13.03,8167.627,23.9902
"2024-02-10 15:00:00",3298,13.07,8294.205,23.80502
"2024-02-10 16:00:00",3299,13.05,8383.15,23.69462
"2024-02-10 17:00:00",3300,13.04,8475.538,23.55662
"2024-02-10 18:00:00",3301,13.04,8516.592,23.38182
"2024-02-10 19:00:00",3302,13.04,8613.918,23.11895
"2024-02-10 20:00:00",3303,13.03,8642.711,23.37516
"2024-02-10 21:00:00",3304,13.04,8626.283,23.73039
"2024-02-10 22:00:00",3305,13.03,8626.283,23.5702
"2024-02-10 23:00:00",3306,13.02,8659.138,23.76309
"2024-02-11 00:00:00",3307,13.01,8626.283,24.04861
"2024-02-11 01:00:00",3308,13,8610.169,24.26314
"2024-02-11 02:00:00",3309,12.86,8628.698,14.95848
"2024-02-11 03:00:00",3310,12.86,8583.311,24.73375
"2024-02-11 04:00:00",3311,12.85,8551.169,24.91756
"2024-02-11 05:00:00",3312,12.84,8536.802,24.85314
"2024-02-11 06:00:00",3313,12.82,8553.234,25.16094
"2024-02-11 07:00:00",3314,12.84,8505.991,25.28513
"2024-02-11 08:00:00",3315,12.83,8458.747,25.25752
"2024-02-11 09:00:00",3316,12.8,8491.612,25.30999
"2024-02-11 10:00:00",3317,12.96,8538.775,25.21305
"2024-02-11 11:00:00",3318,12.97,8533.322,25.21971
"2024-02-11 12:00:00",3319,13,8594.598,25.38754
"2024-02-11 13:00:00",3320,12.99,8718.753,25.12983
"2024-02-11 14:00:00",3321,12.98,8789.865,25.01943
