"TOA5","6_Bradford_LB","CR800","31037","CR800.Std.32.05","CPU:5_hourly_07272023.CR8","15813","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2","cDOM"
"TS","RN","Volts","ppm","ppbQ"
"","","Min","Smp","Smp"
"2023-11-17 15:00:00",2567,12.8,295.2837,11.65875
"2023-11-17 16:00:00",2568,12.77,12998.63,11.73138
"2023-11-17 17:00:00",2569,12.78,13058.1,13.49186
"2023-11-17 18:00:00",2570,12.78,13027.34,13.41012
"2023-11-17 19:00:00",2571,12.78,13027.34,12.20988
"2023-11-17 20:00:00",2572,12.78,13058.1,12.81503
"2023-11-17 21:00:00",2573,12.78,13072.45,12.8889
"2023-11-17 22:00:00",2574,12.78,13072.45,12.81553
"2023-11-17 23:00:00",2575,12.78,13027.34,12.81553
"2023-11-18 00:00:00",2576,12.78,13012.99,12.9806
"2023-11-18 01:00:00",2577,12.77,13027.34,12.8889
"2023-11-18 02:00:00",2578,12.77,13010.94,12.97144
"2023-11-18 03:00:00",2579,12.77,13012.99,11.9539
"2023-11-18 04:00:00",2580,12.76,12994.53,11.95431
"2023-11-18 05:00:00",2581,12.76,13054,11.46747
"2023-11-18 06:00:00",2582,12.76,12965.82,11.25701
"2023-11-18 07:00:00",2583,12.75,12980.18,12.76994
"2023-11-18 08:00:00",2584,12.75,12963.77,12.69726
"2023-11-18 09:00:00",2585,12.75,12996.58,12.25615
"2023-11-18 10:00:00",2586,12.79,12963.77,12.03605
"2023-11-18 11:00:00",2587,12.77,12980.18,12.08122
"2023-11-18 12:00:00",2588,12.82,12924.81,11.43797
"2023-11-18 13:00:00",2589,12.77,12953.52,25.8627
"2023-11-18 14:00:00",2590,12.75,12953.52,24.23994
"2023-11-18 15:00:00",2591,12.75,12937.12,25.52238
"2023-11-18 16:00:00",2592,12.74,12924.81,27.09918
"2023-11-18 17:00:00",2593,12.75,12846.89,25.87025
"2023-11-18 18:00:00",2594,12.74,12801.78,25.58027
"2023-11-18 19:00:00",2595,12.74,12844.84,23.09591
"2023-11-18 20:00:00",2596,12.73,12783.32,25.19004
"2023-11-18 21:00:00",2597,12.73,12709.5,25.64056
"2023-11-18 22:00:00",2598,12.72,12662.34,25.01687
"2023-11-18 23:00:00",2599,12.72,12586.47,25.31254
"2023-11-19 00:00:00",2600,12.7,12573.42,24.90187
"2023-11-19 01:00:00",2601,12.69,12518.53,22.79189
"2023-11-19 02:00:00",2602,12.69,12412.31,32.80973
"2023-11-19 03:00:00",2603,12.68,12320.55,32.085
"2023-11-19 04:00:00",2604,12.68,12293.28,32.02078
"2023-11-19 05:00:00",2605,12.67,12189.95,31.14926
"2023-11-19 06:00:00",2606,12.67,12082.06,26.90569
"2023-11-19 07:00:00",2607,12.67,12036.94,14.90495
"2023-11-19 08:00:00",2608,12.65,12006.16,15.98765
"2023-11-19 09:00:00",2609,12.65,12006.16,16.17115
"2023-11-19 10:00:00",2610,12.68,12007.58,16.24202
"2023-11-19 11:00:00",2611,12.67,12152.77,15.69956
"2023-11-19 12:00:00",2612,12.76,12274.78,15.28276
"2023-11-19 13:00:00",2613,12.71,12323.99,15.71172
"2023-11-19 14:00:00",2614,12.68,12336.3,15.59256
