"TOA5","Bradford_6a_","CR800","31050","CR800.Std.27","CPU:5_1hr_02082024.CR8","11368","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2High","CO2Low","cDOM","CO2"
"TS","RN","Volts","ppm","ppm","ppbQ","ppm"
"","","Min","Smp","Smp","Smp","Smp"
"2024-05-22 08:00:00",353,12,674.82,4255.292,0.6642684,-138.1295
"2024-05-22 09:00:00",354,12.02,670.5035,4504.419,0.6712654,8.633092
"2024-05-22 10:00:00",355,12.02,638.6906,4673.457,0.6695963,210.0199
"2024-05-22 11:00:00",356,12.05,642.7453,4843.699,0.6743827,235.8171
"2024-05-22 12:00:00",357,12.08,687.299,5215.75,0.6846966,227.1825
"2024-05-22 13:00:00",358,12.13,721.8077,5496.338,0.7322211,250.1884
"2024-05-22 14:00:00",359,12.19,730.4349,5595.346,0.7111686,267.4427
"2024-05-22 15:00:00",360,12.24,707.4291,5632.73,0.7019264,273.1942
"2024-05-22 16:00:00",361,12.21,717.4941,5364.055,0.6863893,255.9398
"2024-05-22 17:00:00",362,12.21,705.9913,5219.858,0.6964748,221.4311
"2024-05-22 18:00:00",363,12.14,710.3279,4984.621,0.686965,123.6603
"2024-05-22 19:00:00",364,12.1,672.9353,4860.91,0.6784883,20.13054
"2024-05-22 20:00:00",365,12.09,684.4233,4684.972,0.6689456,-31.63301
"2024-05-22 21:00:00",366,12.08,744.8275,4548.666,0.6694907,-37.38517
"2024-05-22 22:00:00",367,12.07,694.6219,4407.695,0.6730343,-60.4019
"2024-05-22 23:00:00",368,12.05,724.9533,4317.665,0.6635751,-89.18076
"2024-05-23 00:00:00",369,12.05,709.2833,4238.436,0.6521775,-112.2193
"2024-05-23 01:00:00",370,12.04,697.8415,4171.427,0.6723523,-129.4964
"2024-05-23 02:00:00",371,12.03,702.1581,4133.196,0.6592737,-141.0072
"2024-05-23 03:00:00",372,12.01,776.9783,4071.531,0.6606704,-164.0287
"2024-05-23 04:00:00",373,12.02,759.7121,4040.698,0.6550107,-184.1726
"2024-05-23 05:00:00",374,12,730.9351,3991.778,0.6474031,-192.8057
"2024-05-23 06:00:00",375,12,739.5682,3972.867,0.6507246,-215.8273
"2024-05-23 07:00:00",376,11.99,752.5178,3958.89,0.6636136,-238.8489
"2024-05-23 08:00:00",377,12,697.8416,4148.406,0.6674374,-256.1151
"2024-05-23 09:00:00",378,12,638.8488,4490.03,0.6715775,-215.8273
"2024-05-23 10:00:00",379,12.01,642.9731,4653.49,0.6690778,-152.4724
"2024-05-23 11:00:00",380,12.03,651.3851,4848.31,0.6787451,60.39332
"2024-05-23 12:00:00",381,12.07,705.9913,5364.466,0.7073267,192.6738
"2024-05-23 13:00:00",382,12.12,741.9379,5774.052,0.7198858,261.6913
"2024-05-23 14:00:00",383,12.23,753.4408,5805.274,0.7226388,278.9456
"2024-05-23 15:00:00",384,12.23,753.4408,5794.182,0.7111941,284.6971
"2024-05-23 16:00:00",385,12.22,713.241,5367.796,0.7035663,232.9537
"2024-05-23 17:00:00",386,12.16,684.4507,5138.311,0.6896619,146.668
"2024-05-23 18:00:00",387,12.14,678.678,4968.072,0.6951132,140.912
"2024-05-23 19:00:00",388,12.1,713.1806,4839.029,0.6716713,166.7922
"2024-05-23 20:00:00",389,12.09,688.7369,4688.67,0.6760326,-2.875728
"2024-05-23 21:00:00",390,12.07,731.99,4570.264,0.6763052,-31.63807
"2024-05-23 22:00:00",391,12.07,762.3091,4477.282,0.6577697,-94.92906
"2024-05-23 23:00:00",392,12.05,729.2968,4413.592,0.6760575,-140.9686
"2024-05-24 00:00:00",393,12.05,732.1539,4415.527,0.6739836,-175.4868
"2024-05-24 01:00:00",394,12.04,719.265,4365.733,0.6677176,-204.2713
"2024-05-24 02:00:00",395,12.03,788.4539,4324.575,0.6704439,-227.3279
"2024-05-24 03:00:00",396,12.01,808.6276,4277.463,0.6641735,-244.6026
"2024-05-24 04:00:00",397,12.01,847.4818,4307.091,0.6625378,-261.8705
"2024-05-24 05:00:00",398,12,869.0646,4390.133,0.6698986,-264.7481
"2024-05-24 06:00:00",399,12,699.2748,4366.665,0.6753511,-261.8683
"2024-05-24 07:00:00",400,12,673.3793,4363.811,0.6685355,-273.3805
"2024-05-24 08:00:00",401,12,633.0912,4420.539,0.6679903,-267.6249
"2024-05-24 09:00:00",402,12,655.9722,4510.015,0.6690807,-250.3052
"2024-05-24 10:00:00",403,12.01,622.9059,4679.501,0.6815211,25.89447
"2024-05-24 11:00:00",404,12.04,661.4265,4894.967,0.6858281,158.1672
"2024-05-24 12:00:00",405,12.08,661.4175,5122.494,0.7059337,175.4194
"2024-05-24 13:00:00",406,12.12,737.6243,5671.758,0.7414207,241.5612
"2024-05-24 14:00:00",407,12.25,747.6893,5813.901,0.7136286,299.0757
"2024-05-24 15:00:00",408,12.22,754.8787,5779.393,0.7002909,324.9573
"2024-05-24 16:00:00",409,12.23,707.4415,5367.846,0.6883062,290.4536
"2024-05-24 17:00:00",410,12.19,716.1011,5243.603,0.7156032,227.1967
"2024-05-24 18:00:00",411,12.13,710.3824,4998.151,0.6907815,166.8105
"2024-05-24 19:00:00",412,12.11,747.7051,4828.861,0.6754876,8.627367
"2024-05-24 20:00:00",413,12.08,688.7472,4666.145,0.6866633,-54.63966
"2024-05-24 21:00:00",414,12.08,717.5916,4473.598,0.6866633,-89.15968
"2024-05-24 22:00:00",415,12.06,746.5102,4355.773,0.6716767,-129.4526
"2024-05-24 23:00:00",416,12.06,752.4393,4258.959,0.6824332,-158.2568
"2024-05-25 00:00:00",417,12.04,782.7328,4209.245,0.6521779,-187.0501
"2024-05-25 01:00:00",418,12.04,769.784,4124.974,0.6840808,-215.8273
