"TOA5","5_Bradford_LB","CR800","34503","CR800.Std.32.05","CPU:5_1hr_02082024.CR8","11368","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2High","CO2Low","cDOM","CO2"
"TS","RN","Volts","ppm","ppm","ppbQ","ppm"
"","","Min","Smp","Smp","Smp","Smp"
"2024-02-08 11:00:00",0,14.38,1231.52,407.5065,15.13243,2941.329
"2024-02-08 12:00:00",1,14.2,3223.928,3115.128,14.40713,715.7923
"2024-02-08 13:00:00",2,13.99,3289.571,3160.328,15.12051,847.4438
"2024-02-08 14:00:00",3,13.56,3338.241,3228.63,14.9741,973.4152
"2024-02-08 15:00:00",4,13.62,3379.755,3241.309,14.79278,1047.853
"2024-02-08 16:00:00",5,13.62,3423.238,3287.225,14.76867,1096.696
"2024-02-08 17:00:00",6,13.53,3429.004,3299.126,14.74154,1156.842
"2024-02-08 18:00:00",7,12.88,3438.061,3299.982,14.67844,1208.548
"2024-02-08 19:00:00",8,12.87,3432.226,3283.924,14.6324,1291.559
"2024-02-08 20:00:00",9,12.84,3431.015,3267.771,14.61326,1354.65
"2024-02-08 21:00:00",10,12.82,3448.115,3269.737,14.55749,1409.03
"2024-02-08 22:00:00",11,12.78,3494.033,3291.51,14.46434,1483.532
"2024-02-08 23:00:00",12,12.75,3463.961,3278.417,14.49159,1569.451
"2024-02-09 00:00:00",13,12.69,3485.441,3251.005,14.2994,1669.689
"2024-02-09 01:00:00",14,12.64,3545.584,3275.144,14.36346,1712.649
"2024-02-09 02:00:00",15,12.66,3494.033,3239.55,14.39092,1752.744
"2024-02-09 03:00:00",16,12.67,3528.4,3253.46,14.34516,1827.207
"2024-02-09 04:00:00",17,12.65,3472.553,3212.546,14.46414,1850.119
"2024-02-09 05:00:00",18,12.66,3498.424,3229,14.19873,1873.082
"2024-02-09 06:00:00",19,12.65,3500.126,3207.153,14.13466,1913.326
"2024-02-09 07:00:00",20,12.65,3464.699,3174.354,14.5099,1913.534
"2024-02-09 08:00:00",21,12.72,3418.618,3164.713,14.5099,1942.039
"2024-02-09 09:00:00",22,13.32,3425.396,3185.226,14.53735,1941.821
"2024-02-09 10:00:00",23,13.58,3445.346,3184.317,14.64636,1964.678
"2024-02-09 11:00:00",24,14.25,3485.781,3245.08,14.64468,1992.693
"2024-02-09 12:00:00",25,14.12,3500,3274.847,14.58062,2038.446
"2024-02-09 13:00:00",26,13.52,3571.575,3327.199,14.60807,2121.472
"2024-02-09 14:00:00",27,13.49,3644.581,3387.73,14.40676,2173.006
"2024-02-09 15:00:00",28,13.56,3658.896,3390.185,14.3061,2218.814
"2024-02-09 16:00:00",29,13.61,3701.841,3437.219,14.24678,2238.855
"2024-02-09 17:00:00",30,13.49,3680.549,3427.98,14.12792,2227.512
"2024-02-09 18:00:00",31,12.95,3717.138,3415.627,14.09579,2210.809
"2024-02-09 19:00:00",32,12.91,3783.746,3437.166,14.03618,2153.957
"2024-02-09 20:00:00",33,12.88,3750.18,3417.85,14.03522,2142.96
"2024-02-09 21:00:00",34,12.86,3761.145,3400.213,14.04693,2114.033
"2024-02-09 22:00:00",35,12.83,3741.769,3383.978,14.0717,2093.558
"2024-02-09 23:00:00",36,12.81,3790.454,3393.795,13.74396,2050.597
"2024-02-10 00:00:00",37,12.8,3778.998,3362.292,13.08342,2062.053
"2024-02-10 01:00:00",38,12.77,3758.95,3341.835,14.07059,2050.597
"2024-02-10 02:00:00",39,12.75,3754.654,3336.925,14.06144,2027.685
"2024-02-10 03:00:00",40,12.73,3770.406,3338.971,14.02483,2042.005
"2024-02-10 04:00:00",41,12.69,3760.382,3336.107,14.05229,2010.501
"2024-02-10 05:00:00",42,12.68,3744.631,3323.424,14.02483,2027.685
"2024-02-10 06:00:00",43,12.65,3713.127,3295.193,14.0889,2004.774
"2024-02-10 07:00:00",44,12.64,3698.807,3273.1,14.04314,1984.726
"2024-02-10 08:00:00",45,12.7,3698.808,3273.919,14.05229,1976.135
"2024-02-10 09:00:00",46,13.64,3704.535,3288.647,14.07975,1950.358
"2024-02-10 10:00:00",47,13.57,3701.903,3298.216,14.06823,1901.055
"2024-02-10 11:00:00",48,14.11,3697.546,3324.745,14.04074,1878.119
"2024-02-10 12:00:00",49,14.08,3773.415,3394.684,14.04074,1892.434
"2024-02-10 13:00:00",50,13.49,3807.771,3417.996,13.91263,1912.474
"2024-02-10 14:00:00",51,13.41,3847.853,3467.894,13.87603,1906.749
"2024-02-10 15:00:00",52,13.54,3865.031,3489.98,13.71265,1869.53
"2024-02-10 16:00:00",53,13.59,3872.188,3502.659,13.59698,1860.941
"2024-02-10 17:00:00",54,13.58,3905.113,3530.471,13.49631,1860.941
"2024-02-10 18:00:00",55,12.96,3948.912,3532.053,13.55178,1821.253
"2024-02-10 19:00:00",56,12.92,3957.484,3500.576,13.64921,1770.34
"2024-02-10 20:00:00",57,12.9,3927.828,3485.81,13.58543,1799.18
"2024-02-10 21:00:00",58,12.88,3917.696,3472.21,13.53207,1756.159
"2024-02-10 22:00:00",59,12.84,3926.526,3456.424,13.52697,1747.032
"2024-02-10 23:00:00",60,12.84,3950.836,3442.483,13.53647,1767.065
"2024-02-11 00:00:00",61,12.81,3978.043,3449.029,13.52379,1747.017
"2024-02-11 01:00:00",62,12.78,3999.523,3451.893,13.45752,1749.881
"2024-02-11 02:00:00",63,12.78,3959.428,3414.252,13.51231,1747.017
"2024-02-11 03:00:00",64,12.74,3989.499,3416.707,13.55807,1724.105
"2024-02-11 04:00:00",65,12.72,3946.54,3411.798,13.51231,1735.561
"2024-02-11 05:00:00",66,12.7,3936.516,3391.75,13.47571,1735.561
"2024-02-11 06:00:00",67,12.67,3894.989,3379.476,13.40249,1732.697
