"TOA5","Bradford_15_","CR800","31023","CR800.Std.27","CPU:5a_1hr_07292024.CR8","37234","Test"
"TIMESTAMP","RECORD","BattV_Min","cDOM","CO2"
"TS","RN","Volts","ppbQ","ppm"
"","","Min","Smp","Smp"
"2024-07-29 14:00:00",0,13.1,-3.387238,34.37858
"2024-07-29 16:00:00",1,12.48,66.06306,10073.12
"2024-07-29 18:00:00",2,12.68,64.4948,10047.34
"2024-07-29 20:00:00",3,12.52,63.52612,10004.36
"2024-07-29 22:00:00",4,12.91,-3.019654,85.94817
"2024-07-30 00:00:00",5,12.67,63.52076,9881.174
"2024-07-30 02:00:00",6,12.51,55.25613,10014.52
"2024-07-30 04:00:00",7,12.42,59.44775,10346.2
"2024-07-30 06:00:00",8,12.35,66.12849,10602.87
"2024-07-30 08:00:00",9,12.44,71.33743,10825.88
"2024-07-30 10:00:00",10,12.42,71.29214,10888.8
"2024-07-30 12:00:00",11,12.77,-4.831041,209.1102
"2024-07-30 14:00:00",12,12.8,75.79654,10666.16
"2024-07-30 16:00:00",13,12.87,75.79623,10459.89
"2024-07-30 18:00:00",14,12.84,78.6592,10287.99
"2024-07-30 20:00:00",15,12.81,79.76831,10368.21
"2024-07-30 22:00:00",16,12.83,90.08321,11593.91
"2024-07-31 00:00:00",17,12.8,103.7303,11687.99
"2024-07-31 02:00:00",18,12.81,132.873,11638.41
"2024-07-31 04:00:00",19,12.81,135.8218,11497.8
"2024-07-31 06:00:00",20,12.81,136.2333,11469.07
"2024-07-31 08:00:00",21,12.82,95.27769,11353.81
"2024-07-31 10:00:00",22,12.78,95.41427,11447.31
"2024-07-31 12:00:00",23,12.83,91.37303,11272.12
"2024-07-31 14:00:00",24,12.84,93.92584,11184.72
"2024-07-31 16:00:00",25,12.81,105.691,10964.12
"2024-07-31 18:00:00",26,12.79,104.585,10746.38
"2024-07-31 20:00:00",27,12.76,112.1941,10809.41
"2024-07-31 22:00:00",28,12.82,134.7046,10623.19
"2024-08-01 00:00:00",29,12.76,162.1794,11176.12
"2024-08-01 02:00:00",30,12.75,174.2574,11487.69
"2024-08-01 04:00:00",31,12.81,157.7432,11739.86
"2024-08-01 06:00:00",32,12.76,158.0618,11825.38
"2024-08-01 08:00:00",33,12.8,156.7614,11887.58
"2024-08-01 10:00:00",34,12.8,159.8619,11950.78
"2024-08-01 12:00:00",35,12.81,167.8215,11846.52
"2024-08-01 14:00:00",36,12.79,164.1405,11737.65
"2024-08-01 16:00:00",37,12.82,154.7951,11365.21
"2024-08-01 18:00:00",38,12.81,12.57271,34.37925
"2024-08-01 20:00:00",39,12.78,11.35185,57.29876
"2024-08-01 22:00:00",40,12.77,"NAN",57.29876
"2024-08-02 00:00:00",41,12.77,-1.405554,57.29876
"2024-08-02 02:00:00",42,12.81,-5.566761,34.37925
"2024-08-02 04:00:00",43,12.81,-8.305691,54.43382
"2024-08-02 06:00:00",44,12.8,-10.94395,37.24419
"2024-08-02 08:00:00",45,12.8,-12.45152,34.3788
"2024-08-02 10:00:00",46,12.81,-13.42504,34.37669
"2024-08-02 12:00:00",47,12.77,-14.19809,57.29876
"2024-08-02 14:00:00",48,12.78,147.1724,11307.91
"2024-08-02 16:00:00",49,12.58,126.0629,13362.07
"2024-08-02 18:00:00",50,12.52,196.7437,13758.39
"2024-08-02 20:00:00",51,12.55,126.415,13374.69
"2024-08-02 22:00:00",52,12.49,144.4968,12822.46
"2024-08-03 00:00:00",53,12.43,139.0518,12640.85
"2024-08-03 02:00:00",54,12.59,142.8266,12660.88
"2024-08-03 04:00:00",55,12.89,143.38,12648.9
"2024-08-03 06:00:00",56,12.88,151.3985,12772.56
"2024-08-03 08:00:00",57,12.87,136.1346,12756.89
"2024-08-03 10:00:00",58,12.89,142.0391,12903.51
"2024-08-03 12:00:00",59,12.86,5.832295,37.24275
"2024-08-03 14:00:00",60,12.9,-5.91563,34.37925
"2024-08-03 16:00:00",61,12.89,-15.11739,34.37925
"2024-08-03 18:00:00",62,12.88,-16.48976,34.37925
"2024-08-03 20:00:00",63,12.86,-17.65489,34.37925
"2024-08-03 22:00:00",64,12.83,-15.88953,37.24419
"2024-08-04 00:00:00",65,12.84,-14.67612,34.37925
"2024-08-04 02:00:00",66,12.81,-14.08779,42.97407
"2024-08-04 04:00:00",67,12.79,-13.15016,51.56796
"2024-08-04 06:00:00",68,12.82,-12.71811,54.43218
"2024-08-04 08:00:00",69,12.82,-12.46072,34.3786
"2024-08-04 10:00:00",70,12.82,-12.4791,34.37925
"2024-08-04 12:00:00",71,12.79,-12.06544,57.29876
"2024-08-04 14:00:00",72,12.78,-12.7838,37.24419
"2024-08-04 16:00:00",73,12.78,-10.54113,54.43382
"2024-08-04 18:00:00",74,12.75,-9.178975,57.29835
"2024-08-04 20:00:00",75,12.78,199.3623,12791.95
"2024-08-04 22:00:00",76,12.77,178.4955,13504.04
"2024-08-05 00:00:00",77,12.73,163.0264,12978.53
"2024-08-05 02:00:00",78,12.73,143.8824,12990.07
"2024-08-05 04:00:00",79,12.72,142.366,13007.37
"2024-08-05 06:00:00",80,12.74,121.291,12342.98
"2024-08-05 08:00:00",81,12.72,102.0114,9968.294
"2024-08-05 10:00:00",82,12.73,98.78999,8868.509
"2024-08-05 12:00:00",83,12.71,92.84112,8882.848
"2024-08-05 14:00:00",84,12.68,105.0207,8874.805
"2024-08-05 16:00:00",85,12.7,92.3342,9158.127
"2024-08-05 18:00:00",86,12.69,94.96262,9303.68
"2024-08-05 20:00:00",87,12.69,98.09861,9856.729
"2024-08-05 22:00:00",88,12.68,95.69534,10097.37
"2024-08-06 00:00:00",89,12.65,105.6997,10408.51
"2024-08-06 02:00:00",90,12.67,108.0049,10666.14
"2024-08-06 04:00:00",91,12.63,108.5099,10924.12
"2024-08-06 06:00:00",92,12.62,111.4623,11144.69
"2024-08-06 08:00:00",93,12.61,110.5834,11339.16
"2024-08-06 10:00:00",94,12.6,113.6751,11625.76
"2024-08-06 12:00:00",95,12.59,131.154,12522.49
"2024-08-06 14:00:00",96,12.58,110.6801,12642.99
"2024-08-06 16:00:00",97,12.62,150.1788,13077.62
"2024-08-06 18:00:00",98,12.6,152.9259,13774.62
"2024-08-06 20:00:00",99,12.56,182.3574,14204.36
"2024-08-06 22:00:00",100,12.58,181.3887,14525.23
"2024-08-07 00:00:00",101,12.54,198.1256,14788.81
"2024-08-07 02:00:00",102,12.55,178.8722,14811.47
"2024-08-07 04:00:00",103,12.52,194.9195,14952.11
"2024-08-07 06:00:00",104,12.55,171.9489,15146.5
"2024-08-07 08:00:00",105,12.54,173.6997,15381.32
"2024-08-07 10:00:00",106,12.52,180.8948,15704.72
"2024-08-07 12:00:00",107,12.53,194.6115,16118.14
"2024-08-07 14:00:00",108,12.57,213.639,16863.02
"2024-08-07 16:00:00",109,12.58,229.6717,17590.72
"2024-08-07 18:00:00",110,12.53,252.4263,18132.19
