"TOA5","Bradford_5_05092025","CR1000","84403","CR1000.Std.31","CPU:Bradford9_2hourly.CR1","29787","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2High","CO2Low","cDOM"
"TS","RN","Volts","ppm","ppm","ppbQ"
"","","Min","Smp","Smp","Smp"
"2024-07-29 16:00:00",0,13.16,141.8628,10.23542,7.196578
"2024-07-29 18:00:00",1,13.13,5518.321,127.3286,7.196559
"2024-07-29 20:00:00",2,13.12,5604.299,135.1075,7.150458
"2024-07-29 22:00:00",3,13.09,5509.73,136.3359,7.23344
"2024-07-30 00:00:00",4,13.08,5286.184,134.6981,7.067476
"2024-07-30 02:00:00",5,13.07,5138.589,133.0605,7.187339
"2024-07-30 04:00:00",6,13.06,5085.57,134.6981,7.122797
"2024-07-30 06:00:00",7,13.05,5054.045,135.1075,7.178119
"2024-07-30 08:00:00",8,13.05,5065.509,138.3829,7.113577
"2024-07-30 10:00:00",9,13.05,5022.52,133.4699,7.132017
"2024-07-30 12:00:00",10,13.06,5203.073,126.5098,7.132017
"2024-07-30 14:00:00",11,13.05,5286.184,120.3685,7.095136
"2024-07-30 16:00:00",12,13.05,5337.771,117.0932,7.002934
"2024-07-30 18:00:00",13,13.04,5180.146,113.8179,6.910732
"2024-07-30 20:00:00",14,13.02,5147.188,122.0062,6.910732
"2024-07-30 22:00:00",15,13.01,5085.57,124.8721,6.84619
"2024-07-31 00:00:00",16,13,5032.551,125.2815,6.892291
"2024-07-31 02:00:00",17,12.99,5011.056,125.2815,6.901511
"2024-07-31 04:00:00",18,12.98,4990.995,126.5098,6.919952
"2024-07-31 06:00:00",19,12.97,4989.562,125.2815,6.938392
"2024-07-31 08:00:00",20,12.97,4979.531,126.9192,7.012154
"2024-07-31 10:00:00",21,12.98,5002.458,125.2815,7.030595
"2024-07-31 12:00:00",22,12.98,5107.064,117.0932,7.049035
"2024-07-31 14:00:00",23,12.98,5254.659,115.4555,7.067476
"2024-07-31 16:00:00",24,12.97,5231.732,113.8179,6.966053
"2024-07-31 18:00:00",25,12.96,5180.146,118.7309,6.966053
"2024-07-31 20:00:00",26,12.94,5190.176,120.3685,6.910732
"2024-07-31 22:00:00",27,12.93,5274.721,122.0062,6.892291
"2024-08-01 00:00:00",28,12.92,5264.69,123.2344,6.827749
"2024-08-01 02:00:00",29,12.91,5188.814,121.5985,6.83697
"2024-08-01 04:00:00",30,12.91,5191.609,123.6439,6.643345
"2024-08-01 06:00:00",31,12.89,5203.073,126.9192,6.818529
"2024-08-01 08:00:00",32,12.88,5226,131.8322,6.772428
"2024-08-01 10:00:00",33,12.89,5266.123,125.2815,6.763208
"2024-08-01 12:00:00",34,12.89,5561.313,123.6439,6.763208
"2024-08-01 14:00:00",35,12.89,5760.494,123.6439,6.624904
"2024-08-01 16:00:00",36,12.89,5698.876,123.6439,6.541922
"2024-08-01 18:00:00",37,12.87,5612.899,125.2815,6.624904
"2024-08-01 20:00:00",38,12.85,5571.343,126.1004,6.615684
