"TOA5","13 1000x","CR1000X","22890","CR1000X.Std.04.02","CPU:CO2_1000X_10sec.CR1X","3868","Test"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C","CO2"
"TS","RN","Volts","Deg C","ppm"
"","","Min","Smp","Smp"
"2025-08-26 10:00:00",0,13.14,28.32,277.7287
"2025-08-26 12:00:00",1,13.12,34.95,2809.535
"2025-08-26 14:00:00",2,13.11,41.36,2767.001
"2025-08-26 16:00:00",3,13.11,37.77,2703.852
"2025-08-26 18:00:00",4,13.1,32.93,2672.471
"2025-08-26 20:00:00",5,13.11,28.35,2682.543
"2025-08-26 22:00:00",6,13.1,25.61,2693.48
"2025-08-27 00:00:00",7,13.09,23.97,2672.696
"2025-08-27 02:00:00",8,13.09,22.36,2662.067
"2025-08-27 04:00:00",9,13.09,21.03,2651.099
"2025-08-27 06:00:00",10,13.08,20.43,2682.972
"2025-08-27 08:00:00",11,13.08,21.66,2640.732
"2025-08-27 10:00:00",12,13.08,25.62,2630.011
"2025-08-27 12:00:00",13,13.07,33.92,2651.2
"2025-08-27 14:00:00",14,13.07,41.95,2692.825
"2025-08-27 16:00:00",15,13.07,33.81,2725.221
"2025-08-27 18:00:00",16,13.07,30.42,2757.047
"2025-08-27 20:00:00",17,13.07,28.3,2819.705
"2025-08-27 22:00:00",18,13.06,26.53,2851.287
"2025-08-28 00:00:00",19,13.05,25.1,2830.553
"2025-08-28 02:00:00",20,13.05,24.08,2819.903
"2025-08-28 04:00:00",21,13.04,23.56,2841.069
"2025-08-28 06:00:00",22,13.04,23.43,2851.638
"2025-08-28 08:00:00",23,13.04,24.61,2872.916
"2025-08-28 10:00:00",24,13.04,27.94,2883.3
"2025-08-28 12:00:00",25,13.04,33.96,2893.54
"2025-08-28 14:00:00",26,13.03,42.04,2882.889
"2025-08-28 16:00:00",27,13.03,34.43,2851.042
"2025-08-28 18:00:00",28,13.03,29.68,2777.294
"2025-08-28 20:00:00",29,13.02,27.43,2830.291
"2025-08-28 22:00:00",30,13.02,25.95,2915.061
"2025-08-29 00:00:00",31,13.02,25,2977.959
"2025-08-29 02:00:00",32,13.01,24.28,2915.011
"2025-08-29 04:00:00",33,13.02,23.72,2893.626
"2025-08-29 06:00:00",34,13.01,23.14,2946.832
"2025-08-29 08:00:00",35,13.01,23.77,2946.46
"2025-08-29 10:00:00",36,13.01,26.9,2967.515
"2025-08-29 12:00:00",37,13.01,29.1,2967.452
