"TOA5","5a_Bradford_LB","CR800","31034","CR800.Std.32.05","CPU:5_hourly_08022023.CR8","28982","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2High","CO2Low","cDOM"
"TS","RN","Volts","ppm","ppm","ppbQ"
"","","Min","Smp","Smp","Smp"
"2023-11-20 12:00:00",1860,12.5,20479.14,3877.904,2.448567
"2023-11-20 13:00:00",1861,12.5,20738.13,3901.748,2.428632
"2023-11-20 14:00:00",1862,12.51,20989.93,3909.97,2.405884
"2023-11-20 15:00:00",1863,12.47,21110.79,3903.393,2.36974
"2023-11-20 16:00:00",1864,12.48,21146.77,3908.737,2.387913
"2023-11-20 17:00:00",1865,12.45,21109.36,3913.259,2.366167
"2023-11-20 18:00:00",1866,12.46,21145.33,3916.137,2.329886
"2023-11-20 19:00:00",1867,12.44,21102.16,3912.848,2.28823
"2023-11-20 20:00:00",1868,12.46,21145.33,3906.27,2.324467
"2023-11-20 21:00:00",1869,12.46,21086.34,3901.748,2.34805
"2023-11-20 22:00:00",1870,12.43,21132.38,3903.393,2.293878
"2023-11-20 23:00:00",1871,12.45,21125.18,3907.503,2.300937
"2023-11-21 00:00:00",1872,12.43,21110.79,3904.626,2.250305
"2023-11-21 01:00:00",1873,12.44,21145.33,3900.104,2.232147
"2023-11-21 02:00:00",1874,12.42,21110.79,3895.17,2.299227
"2023-11-21 03:00:00",1875,12.43,21145.33,3891.06,2.219795
"2023-11-21 04:00:00",1876,12.41,21110.79,3886.948,2.180045
"2023-11-21 05:00:00",1877,12.43,21145.33,3883.249,2.209124
"2023-11-21 06:00:00",1878,12.4,21110.79,3882.838,2.080575
"2023-11-21 07:00:00",1879,12.42,21145.33,3891.06,2.075161
"2023-11-21 08:00:00",1880,12.4,21110.79,3899.281,2.070635
"2023-11-21 09:00:00",1881,12.43,21145.33,3904.626,2.093241
"2023-11-21 10:00:00",1882,12.41,21110.79,3920.659,2.130912
"2023-11-21 11:00:00",1883,12.44,21136.7,3924.359,2.17337
"2023-11-21 12:00:00",1884,12.41,21110.79,3918.603,2.176982
"2023-11-21 13:00:00",1885,12.44,21145.33,3958.891,2.074759
"2023-11-21 14:00:00",1886,12.41,21110.79,3953.958,2.074754
"2023-11-21 15:00:00",1887,12.43,21129.5,3969.991,2.028579
"2023-11-21 16:00:00",1888,12.4,21110.79,3967.113,2.019554
"2023-11-21 17:00:00",1889,12.41,21145.33,3963.824,2.062033
"2023-11-21 18:00:00",1890,12.39,21107.92,3971.635,1.86477
"2023-11-21 19:00:00",1891,12.4,21145.33,3943.68,2.008659
"2023-11-21 20:00:00",1892,12.37,21100.72,3944.091,1.729003
"2023-11-21 21:00:00",1893,12.37,21145.33,3958.069,1.984185
"2023-11-21 22:00:00",1894,12.39,21094.97,3956.835,2.009467
"2023-11-21 23:00:00",1895,12.37,21119.43,3938.747,2.00495
