"TOA5","15_Bradford_LB","CR800","31023","CR800.Std.27","CPU:15_hour_01202023.CR8","18162","Test"
"TIMESTAMP","RECORD","BattV_Min","cDOM"
"TS","RN","Volts","ppbQ"
"","","Min","Smp"
"2022-12-14 11:00:00",0,13.46,15.98658
"2022-12-14 12:00:00",1,13.08,16.92747
"2022-12-14 13:00:00",2,13.01,18.48298
"2022-12-14 14:00:00",3,12.98,17.16315
"2022-12-14 15:00:00",4,12.96,18.11373
"2022-12-14 16:00:00",5,12.95,17.42801
"2022-12-14 17:00:00",6,12.93,17.18467
"2022-12-14 18:00:00",7,12.92,17.48377
"2022-12-14 19:00:00",8,12.91,17.00932
"2022-12-14 20:00:00",9,12.9,17.80367
"2022-12-14 21:00:00",10,12.88,18.11813
"2022-12-14 22:00:00",11,12.87,18.05523
"2022-12-14 23:00:00",12,12.86,17.71
"2022-12-15 00:00:00",13,12.86,17.66218
"2022-12-15 01:00:00",14,12.85,17.34756
"2022-12-15 02:00:00",15,12.85,17.39588
"2022-12-15 03:00:00",16,12.84,17.49013
"2022-12-15 04:00:00",17,12.84,17.02669
"2022-12-15 05:00:00",18,12.84,16.92372
"2022-12-15 06:00:00",19,12.85,18.22171
"2022-12-15 07:00:00",20,12.84,16.47508
"2022-12-15 08:00:00",21,12.83,15.31156
"2022-12-15 09:00:00",22,12.84,13.35474
"2022-12-15 10:00:00",23,12.85,13.03995
"2022-12-15 11:00:00",24,12.86,10.66554
"2022-12-15 12:00:00",25,12.84,10.20173
"2022-12-15 13:00:00",26,12.82,10.42185
"2022-12-15 14:00:00",27,12.81,9.832178
"2022-12-15 15:00:00",28,12.81,9.580956
"2022-12-15 16:00:00",29,12.8,9.525735
"2022-12-15 17:00:00",30,12.8,9.730657
"2022-12-15 18:00:00",31,12.8,9.762033
"2022-12-15 19:00:00",32,12.8,9.769282
"2022-12-15 20:00:00",33,12.79,9.74611
"2022-12-15 21:00:00",34,12.79,9.698607
"2022-12-15 22:00:00",35,12.79,9.70647
"2022-12-15 23:00:00",36,12.79,9.910904
"2022-12-16 00:00:00",37,12.79,9.863696
"2022-12-16 01:00:00",38,12.78,9.769361
"2022-12-16 02:00:00",39,12.78,9.486351
"2022-12-16 03:00:00",40,12.78,9.675026
"2022-12-16 04:00:00",41,12.78,9.792944
"2022-12-16 05:00:00",42,12.79,9.612133
"2022-12-16 06:00:00",43,12.86,9.643579
"2022-12-16 07:00:00",44,12.93,9.821117
"2022-12-16 08:00:00",45,13.03,9.466688
"2022-12-16 09:00:00",46,13.15,9.589924
"2022-12-16 10:00:00",47,13.02,10.05341
"2022-12-16 11:00:00",48,13.01,10.04555
"2022-12-16 12:00:00",49,12.94,10.46968
"2022-12-16 13:00:00",50,12.88,10.68973
"2022-12-16 14:00:00",51,12.85,10.79187
"2022-12-16 15:00:00",52,12.84,10.94114
"2022-12-16 16:00:00",53,12.83,11.20039
"2022-12-16 17:00:00",54,12.83,11.51463
"2022-12-16 18:00:00",55,12.82,11.09826
"2022-12-16 19:00:00",56,12.81,2.795832
"2022-12-16 20:00:00",57,12.8,2.819088
"2022-12-16 21:00:00",58,12.8,2.79199
"2022-12-16 22:00:00",59,12.79,5.279321
"2022-12-16 23:00:00",60,12.78,5.381576
"2022-12-17 00:00:00",61,12.78,5.546802
"2022-12-17 01:00:00",62,12.77,5.55489
"2022-12-17 02:00:00",63,12.76,5.634011
"2022-12-17 03:00:00",64,12.76,5.657844
"2022-12-17 04:00:00",65,12.75,5.579251
"2022-12-17 05:00:00",66,12.75,5.532083
"2022-12-17 06:00:00",67,12.81,5.209767
"2022-12-17 07:00:00",68,12.83,5.051896
"2022-12-17 08:00:00",69,12.98,5.200833
"2022-12-17 09:00:00",70,12.96,5.145171
"2022-12-17 10:00:00",71,12.98,4.854348
"2022-12-17 11:00:00",72,13.1,5.247284
"2022-12-17 12:00:00",73,12.91,5.33373
"2022-12-17 13:00:00",74,12.86,5.349445
"2022-12-17 14:00:00",75,12.81,5.538049
"2022-12-17 15:00:00",76,12.77,5.318798
"2022-12-17 16:00:00",77,12.75,5.634275
"2022-12-17 17:00:00",78,12.74,5.539944
"2022-12-17 18:00:00",79,12.74,5.657851
"2022-12-17 19:00:00",80,12.73,5.595451
"2022-12-17 20:00:00",81,12.72,5.384452
"2022-12-17 21:00:00",82,12.71,2.280714
"2022-12-17 22:00:00",83,12.7,5.400488
"2022-12-17 23:00:00",84,12.7,5.400877
"2022-12-18 00:00:00",85,12.69,5.408721
"2022-12-18 01:00:00",86,12.68,5.432319
"2022-12-18 02:00:00",87,12.68,5.558923
"2022-12-18 03:00:00",88,12.67,5.629853
"2022-12-18 04:00:00",89,12.66,5.645489
"2022-12-18 05:00:00",90,12.67,5.629682
"2022-12-18 06:00:00",91,12.72,5.503944
"2022-12-18 07:00:00",92,12.77,5.321643
"2022-12-18 08:00:00",93,12.91,5.21764
"2022-12-18 09:00:00",94,12.93,5.232714
"2022-12-18 10:00:00",95,13.04,5.011539
"2022-12-18 11:00:00",96,13.11,5.255146
"2022-12-18 12:00:00",97,12.91,5.318019
"2022-12-18 13:00:00",98,12.85,5.294443
"2022-12-18 14:00:00",99,12.8,5.255149
"2022-12-18 15:00:00",100,12.76,5.34159
"2022-12-18 16:00:00",101,12.74,5.475187
"2022-12-18 17:00:00",102,12.73,5.200466
"2022-12-18 18:00:00",103,12.73,5.145986
"2022-12-18 19:00:00",104,12.71,5.036761
"2022-12-18 20:00:00",105,12.71,4.942481
"2022-12-18 21:00:00",106,12.71,4.848144
"2022-12-18 22:00:00",107,12.7,4.800976
"2022-12-18 23:00:00",108,12.7,4.808732
"2022-12-19 00:00:00",109,12.7,4.800177
"2022-12-19 01:00:00",110,12.7,4.949731
"2022-12-19 02:00:00",111,12.7,1.261621
"2022-12-19 03:00:00",112,12.7,1.346628
"2022-12-19 04:00:00",113,12.7,1.336505
"2022-12-19 05:00:00",114,12.7,1.577279
"2022-12-19 06:00:00",115,12.71,1.705796
"2022-12-19 07:00:00",116,12.73,1.712765
"2022-12-19 08:00:00",117,12.77,1.727958
"2022-12-19 09:00:00",118,12.76,1.761816
"2022-12-19 10:00:00",119,12.75,1.754076
"2022-12-19 11:00:00",120,12.74,1.829152
"2022-12-19 12:00:00",121,12.74,1.754851
"2022-12-19 13:00:00",122,12.74,1.816805
"2022-12-19 14:00:00",123,12.73,1.846222
"2022-12-19 15:00:00",124,12.72,1.966922
"2022-12-19 16:00:00",125,12.71,1.996801
"2022-12-19 17:00:00",126,12.7,2.041047
"2022-12-19 18:00:00",127,12.7,2.112251
"2022-12-19 19:00:00",128,12.69,3.101853
"2022-12-19 20:00:00",129,12.69,2.745541
"2022-12-19 21:00:00",130,12.67,3.001023
"2022-12-19 22:00:00",131,12.67,3.062808
"2022-12-19 23:00:00",132,12.67,3.141636
"2022-12-20 00:00:00",133,12.67,3.126336
"2022-12-20 01:00:00",134,12.65,2.885885
"2022-12-20 02:00:00",135,12.65,3.008586
"2022-12-20 03:00:00",136,12.64,3.066184
"2022-12-20 04:00:00",137,12.64,3.01414
"2022-12-20 05:00:00",138,12.64,3.00174
"2022-12-20 06:00:00",139,12.65,2.993866
"2022-12-20 07:00:00",140,12.7,2.819032
