MiniDOT Logger Concatenated Data File
Sensor:             7450-866812
Concatenation Date: 2023Nov09 14:26:28 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1022.7 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1688493600,           2023-07-04 18:00:00,           2023-07-04 14:00:00,      3.490000,     24.938000,          4.635000,                    55.495437,      0.993000
                1688497200,           2023-07-04 19:00:00,           2023-07-04 15:00:00,      3.490000,     25.224000,          4.552000,                    54.788990,      0.993000
                1688500800,           2023-07-04 20:00:00,           2023-07-04 16:00:00,      3.480000,     25.393000,          4.482000,                    54.113781,      0.992000
                1688504400,           2023-07-04 21:00:00,           2023-07-04 17:00:00,      3.490000,     25.570000,          4.397000,                    53.259579,      0.992000
                1688508000,           2023-07-04 22:00:00,           2023-07-04 18:00:00,      3.490000,     25.730000,          4.286000,                    52.066777,      0.992000
                1688511600,           2023-07-04 23:00:00,           2023-07-04 19:00:00,      3.490000,     25.873000,          4.218000,                    51.374231,      0.992000
                1688515200,           2023-07-05 00:00:00,           2023-07-04 20:00:00,      3.490000,     25.983000,          4.136000,                    50.476259,      0.992000
                1688518800,           2023-07-05 01:00:00,           2023-07-04 21:00:00,      3.490000,     26.085000,          4.042000,                    49.420430,      0.992000
                1688522400,           2023-07-05 02:00:00,           2023-07-04 22:00:00,      3.490000,     26.127000,          4.006000,                    49.017563,      0.992000
                1688526000,           2023-07-05 03:00:00,           2023-07-04 23:00:00,      3.490000,     26.144000,          3.957000,                    48.432910,      0.992000
                1688529600,           2023-07-05 04:00:00,           2023-07-05 00:00:00,      3.490000,     26.118000,          3.917000,                    47.920741,      0.992000
                1688533200,           2023-07-05 05:00:00,           2023-07-05 01:00:00,      3.490000,     26.076000,          3.911000,                    47.810928,      0.992000
                1688536800,           2023-07-05 06:00:00,           2023-07-05 02:00:00,      3.490000,     26.000000,          3.896000,                    47.561943,      0.992000
                1688540400,           2023-07-05 07:00:00,           2023-07-05 03:00:00,      3.490000,     25.916000,          3.883000,                    47.330987,      0.992000
                1688544000,           2023-07-05 08:00:00,           2023-07-05 04:00:00,      3.490000,     25.823000,          3.859000,                    46.958975,      0.993000
                1688547600,           2023-07-05 09:00:00,           2023-07-05 05:00:00,      3.490000,     25.722000,          3.851000,                    46.775534,      0.993000
                1688551200,           2023-07-05 10:00:00,           2023-07-05 06:00:00,      3.490000,     25.620000,          3.822000,                    46.337038,      0.992000
                1688554800,           2023-07-05 11:00:00,           2023-07-05 07:00:00,      3.490000,     25.494000,          3.817000,                    46.170064,      0.992000
                1688558400,           2023-07-05 12:00:00,           2023-07-05 08:00:00,      3.480000,     25.393000,          3.802000,                    45.903748,      0.992000
                1688562000,           2023-07-05 13:00:00,           2023-07-05 09:00:00,      3.480000,     25.376000,          3.796000,                    45.817046,      0.993000
                1688565600,           2023-07-05 14:00:00,           2023-07-05 10:00:00,      3.480000,     25.351000,          3.795000,                    45.784012,      0.993000
                1688569200,           2023-07-05 15:00:00,           2023-07-05 11:00:00,      3.480000,     25.351000,          3.787000,                    45.687498,      0.993000
                1688572800,           2023-07-05 16:00:00,           2023-07-05 12:00:00,      3.480000,     25.393000,          3.783000,                    45.674350,      0.992000
                1688576400,           2023-07-05 17:00:00,           2023-07-05 13:00:00,      3.480000,     25.469000,          3.759000,                    45.447726,      0.993000
                1688580000,           2023-07-05 18:00:00,           2023-07-05 14:00:00,      3.490000,     25.629000,          3.721000,                    45.119945,      0.993000
                1688583600,           2023-07-05 19:00:00,           2023-07-05 15:00:00,      3.490000,     25.696000,          3.676000,                    44.628776,      0.992000
                1688587200,           2023-07-05 20:00:00,           2023-07-05 16:00:00,      3.490000,     25.755000,          3.630000,                    44.117704,      0.992000
                1688590800,           2023-07-05 21:00:00,           2023-07-05 17:00:00,      3.490000,     25.916000,          3.586000,                    43.710770,      0.993000
                1688594400,           2023-07-05 22:00:00,           2023-07-05 18:00:00,      3.490000,     26.009000,          3.472000,                    42.392721,      0.993000
                1688598000,           2023-07-05 23:00:00,           2023-07-05 19:00:00,      3.490000,     26.110000,          3.417000,                    41.797661,      0.993000
                1688601600,           2023-07-06 00:00:00,           2023-07-05 20:00:00,      3.490000,     26.144000,          3.324000,                    40.685113,      0.993000
                1688605200,           2023-07-06 01:00:00,           2023-07-05 21:00:00,      3.490000,     26.203000,          3.179000,                    38.951928,      0.993000
                1688608800,           2023-07-06 02:00:00,           2023-07-05 22:00:00,      3.480000,     26.220000,          3.061000,                    37.517628,      0.993000
                1688612400,           2023-07-06 03:00:00,           2023-07-05 23:00:00,      3.480000,     26.245000,          2.955000,                    36.234806,      0.993000
                1688616000,           2023-07-06 04:00:00,           2023-07-06 00:00:00,      3.480000,     26.237000,          2.865000,                    35.126124,      0.993000
                1688619600,           2023-07-06 05:00:00,           2023-07-06 01:00:00,      3.480000,     26.228000,          2.807000,                    34.409417,      0.993000
                1688623200,           2023-07-06 06:00:00,           2023-07-06 02:00:00,      3.490000,     26.186000,          2.768000,                    33.905557,      0.993000
                1688626800,           2023-07-06 07:00:00,           2023-07-06 03:00:00,      3.490000,     26.127000,          2.729000,                    33.392144,      0.993000
                1688630400,           2023-07-06 08:00:00,           2023-07-06 04:00:00,      3.490000,     26.051000,          2.687000,                    32.832968,      0.993000
                1688634000,           2023-07-06 09:00:00,           2023-07-06 05:00:00,      3.490000,     25.975000,          2.664000,                    32.507067,      0.993000
                1688637600,           2023-07-06 10:00:00,           2023-07-06 06:00:00,      3.490000,     25.907000,          2.613000,                    31.845389,      0.993000
                1688641200,           2023-07-06 11:00:00,           2023-07-06 07:00:00,      3.490000,     25.814000,          2.560000,                    31.146746,      0.993000
                1688644800,           2023-07-06 12:00:00,           2023-07-06 08:00:00,      3.490000,     25.747000,          2.528000,                    30.719920,      0.993000
                1688648400,           2023-07-06 13:00:00,           2023-07-06 09:00:00,      3.490000,     25.722000,          2.516000,                    30.560177,      0.993000
                1688652000,           2023-07-06 14:00:00,           2023-07-06 10:00:00,      3.490000,     25.755000,          2.466000,                    29.970870,      0.993000
                1688655600,           2023-07-06 15:00:00,           2023-07-06 11:00:00,      3.490000,     25.781000,          2.424000,                    29.474367,      0.993000
                1688659200,           2023-07-06 16:00:00,           2023-07-06 12:00:00,      3.490000,     25.840000,          2.398000,                    29.189544,      0.993000
                1688662800,           2023-07-06 17:00:00,           2023-07-06 13:00:00,      3.490000,     25.865000,          2.371000,                    28.874012,      0.993000
                1688666400,           2023-07-06 18:00:00,           2023-07-06 14:00:00,      3.490000,     25.975000,          2.276000,                    27.772554,      0.993000
                1688670000,           2023-07-06 19:00:00,           2023-07-06 15:00:00,      3.480000,     26.101000,          2.170000,                    26.539693,      0.993000
                1688673600,           2023-07-06 20:00:00,           2023-07-06 16:00:00,      3.480000,     26.135000,          1.984000,                    24.279815,      0.993000
                1688677200,           2023-07-06 21:00:00,           2023-07-06 17:00:00,      3.480000,     26.186000,          1.802000,                    22.072910,      0.993000
                1688680800,           2023-07-06 22:00:00,           2023-07-06 18:00:00,      3.480000,     26.186000,          1.659000,                    20.321286,      0.993000
                1688684400,           2023-07-06 23:00:00,           2023-07-06 19:00:00,      3.480000,     26.144000,          1.643000,                    20.110000,      0.993000
                1688688000,           2023-07-07 00:00:00,           2023-07-06 20:00:00,      3.490000,     26.144000,          1.563000,                    19.130816,      0.993000
                1688691600,           2023-07-07 01:00:00,           2023-07-06 21:00:00,      3.490000,     26.118000,          1.343000,                    16.430318,      0.993000
                1688695200,           2023-07-07 02:00:00,           2023-07-06 22:00:00,      3.490000,     26.093000,          1.309000,                    16.007107,      0.993000
                1688698800,           2023-07-07 03:00:00,           2023-07-06 23:00:00,      3.490000,     26.068000,          1.319000,                    16.122083,      0.993000
                1688702400,           2023-07-07 04:00:00,           2023-07-07 00:00:00,      3.490000,     26.034000,          1.321000,                    16.136576,      0.993000
                1688706000,           2023-07-07 05:00:00,           2023-07-07 01:00:00,      3.490000,     25.958000,          1.221000,                    14.894474,      0.992000
                1688709600,           2023-07-07 06:00:00,           2023-07-07 02:00:00,      3.490000,     25.899000,          1.074000,                    13.087247,      0.992000
                1688713200,           2023-07-07 07:00:00,           2023-07-07 03:00:00,      3.490000,     25.823000,          1.064000,                    12.947486,      0.992000
                1688716800,           2023-07-07 08:00:00,           2023-07-07 04:00:00,      3.490000,     25.764000,          1.076000,                    13.079457,      0.991000
                1688720400,           2023-07-07 09:00:00,           2023-07-07 05:00:00,      3.490000,     25.705000,          1.079000,                    13.101836,      0.992000
                1688724000,           2023-07-07 10:00:00,           2023-07-07 06:00:00,      3.490000,     25.663000,          0.926000,                    11.235417,      0.991000
                1688727600,           2023-07-07 11:00:00,           2023-07-07 07:00:00,      3.490000,     25.612000,          0.876000,                    10.618870,      0.990000
                1688731200,           2023-07-07 12:00:00,           2023-07-07 08:00:00,      3.490000,     25.587000,          1.000000,                    12.116468,      0.991000
                1688734800,           2023-07-07 13:00:00,           2023-07-07 09:00:00,      3.490000,     25.595000,          0.881000,                    10.676167,      0.990000
                1688738400,           2023-07-07 14:00:00,           2023-07-07 10:00:00,      3.490000,     25.646000,          0.792000,                     9.606579,      0.990000
                1688742000,           2023-07-07 15:00:00,           2023-07-07 11:00:00,      3.490000,     25.738000,          0.743000,                     9.027357,      0.989000
                1688745600,           2023-07-07 16:00:00,           2023-07-07 12:00:00,      3.490000,     25.865000,          0.730000,                     8.889932,      0.989000
                1688749200,           2023-07-07 17:00:00,           2023-07-07 13:00:00,      3.490000,     25.949000,          0.785000,                     9.574325,      0.990000
                1688752800,           2023-07-07 18:00:00,           2023-07-07 14:00:00,      3.490000,     26.034000,          0.745000,                     9.100491,      0.990000
                1688756400,           2023-07-07 19:00:00,           2023-07-07 15:00:00,      3.480000,     26.203000,          0.714000,                     8.748561,      0.989000
                1688760000,           2023-07-07 20:00:00,           2023-07-07 16:00:00,      3.480000,     26.211000,          0.576000,                     7.058685,      0.988000
                1688763600,           2023-07-07 21:00:00,           2023-07-07 17:00:00,      3.480000,     26.152000,          0.486000,                     5.949407,      0.987000
