Date,,,CO2,
9/8/2023 10:45,2281,12.55,3530,3530
9/8/2023 10:46,2282,12.54,3487,3487
9/8/2023 10:46,2283,12.54,3472,3472
9/8/2023 10:47,2284,12.54,3457,3457
9/8/2023 10:47,2285,12.55,3419,3419
9/8/2023 10:48,2286,12.54,3369,3369
9/8/2023 10:48,2287,12.54,3350,3350
9/8/2023 10:49,2288,12.54,3324,3324
9/8/2023 10:49,2289,12.54,3314,3314
9/8/2023 10:50,2290,12.54,3297,3297
9/8/2023 10:50,2291,12.54,3276,3276
9/8/2023 10:51,2292,12.54,3259,3259
9/8/2023 10:51,2293,12.54,3240,3240
9/8/2023 10:52,2294,12.54,3227,3227
9/8/2023 10:52,2295,12.54,3222,3222
9/8/2023 10:53,2296,12.54,3168,3168
9/8/2023 10:53,2297,12.53,3169,3169
9/8/2023 10:54,2298,12.52,3161,3161
9/8/2023 10:54,2299,12.52,3155,3155
9/8/2023 10:55,2300,12.52,3140,3140
9/8/2023 10:55,2301,12.51,3122,3122
