Date,record,V,CDOM,CO2
12/14/2022 11:00,0,13.46,15.98658,
12/14/2022 12:00,1,13.08,16.92747,
12/14/2022 13:00,2,13.01,18.48298,
12/14/2022 14:00,3,12.98,17.16315,
12/14/2022 15:00,4,12.96,18.11373,
12/14/2022 16:00,5,12.95,17.42801,
12/14/2022 17:00,6,12.93,17.18467,
12/14/2022 18:00,7,12.92,17.48377,
12/14/2022 19:00,8,12.91,17.00932,
12/14/2022 20:00,9,12.9,17.80367,
12/14/2022 21:00,10,12.88,18.11813,
12/14/2022 22:00,11,12.87,18.05523,
12/14/2022 23:00,12,12.86,17.71,
12/15/2022 0:00,13,12.86,17.66218,
12/15/2022 1:00,14,12.85,17.34756,
12/15/2022 2:00,15,12.85,17.39588,
12/15/2022 3:00,16,12.84,17.49013,
12/15/2022 4:00,17,12.84,17.02669,
12/15/2022 5:00,18,12.84,16.92372,
12/15/2022 6:00,19,12.85,18.22171,
12/15/2022 7:00,20,12.84,16.47508,
12/15/2022 8:00,21,12.83,15.31156,
12/15/2022 9:00,22,12.84,13.35474,
12/15/2022 10:00,23,12.85,13.03995,
12/15/2022 11:00,24,12.86,10.66554,
12/15/2022 12:00,25,12.84,10.20173,
12/15/2022 13:00,26,12.82,10.42185,
12/15/2022 14:00,27,12.81,9.832178,
12/15/2022 15:00,28,12.81,9.580956,
12/15/2022 16:00,29,12.8,9.525735,
12/15/2022 17:00,30,12.8,9.730657,
12/15/2022 18:00,31,12.8,9.762033,
12/15/2022 19:00,32,12.8,9.769282,
12/15/2022 20:00,33,12.79,9.74611,
12/15/2022 21:00,34,12.79,9.698607,
12/15/2022 22:00,35,12.79,9.70647,
12/15/2022 23:00,36,12.79,9.910904,
12/16/2022 0:00,37,12.79,9.863696,
12/16/2022 1:00,38,12.78,9.769361,
12/16/2022 2:00,39,12.78,9.486351,
12/16/2022 3:00,40,12.78,9.675026,
12/16/2022 4:00,41,12.78,9.792944,
12/16/2022 5:00,42,12.79,9.612133,
12/16/2022 6:00,43,12.86,9.643579,
12/16/2022 7:00,44,12.93,9.821117,
12/16/2022 8:00,45,13.03,9.466688,
12/16/2022 9:00,46,13.15,9.589924,
12/16/2022 10:00,47,13.02,10.05341,
12/16/2022 11:00,48,13.01,10.04555,
12/16/2022 12:00,49,12.94,10.46968,
12/16/2022 13:00,50,12.88,10.68973,
12/16/2022 14:00,51,12.85,10.79187,
12/16/2022 15:00,52,12.84,10.94114,
12/16/2022 16:00,53,12.83,11.20039,
12/16/2022 17:00,54,12.83,11.51463,
12/16/2022 18:00,55,12.82,11.09826,
12/16/2022 19:00,56,12.81,2.795832,
12/16/2022 20:00,57,12.8,2.819088,
