ID,Q,Reach_m,NaCl_g,m_0,m_1
5.2,3.386389305579389,24,600,177179.86500000002,121110004.98000002
5.3,2616.9960810483744,41.2,2000,764.2349999999983,58263.6749999998
5.4,330.46462500113614,20.4,1000,3026.0424999999987,1846720.199999999
