ID,Well,pvalue,slope,r2,type,wetland_perc,ID_wetperc
5,1,0.23027297886409878,-0.049326749974109727,0.33324866091039407,DOC,15.51,515.51_
5,2,0.0030823856902404438,0.013523445699680458,0.7361854494143757,DOC,15.51,515.51_
5,3,0.7665919204406347,0.0014054153251220774,0.010294410591616341,DOC,15.51,515.51_
5,4,0.035348520616934866,0.0035535301044257867,0.6208561295099336,DOC,15.51,515.51_
5,5,0.7854104287114971,0.0015570893423235209,0.01130675401913111,DOC,15.51,515.51_
5,6,0.07395074276425888,0.03083800004052327,0.5911792964606069,DOC,15.51,515.51_
5,7,NA,NA,NA,DOC,15.51,515.51_
5,8,NA,NA,NA,DOC,15.51,515.51_
6,1,0.4323940098842978,0.009249472798678802,0.1597499699809127,DOC,21.38,621.38_
6,2,0.351412392967633,0.010083295301817294,0.12461485287767544,DOC,21.38,621.38_
6,3,0.09530829924482226,0.00777301666879425,0.3946650201300658,DOC,21.38,621.38_
6,4,0.38907746938253485,0.010797970340439094,0.12558280901074062,DOC,21.38,621.38_
6,5,0.09670949767458205,0.009516486036781081,0.6557204403759033,DOC,21.38,621.38_
9,1,0.02385894174091286,0.06077745711765718,0.6007724883090786,DOC,29.47,929.47_
9,2,0.049149143760646545,0.025274122074342202,0.502050325952677,DOC,29.47,929.47_
9,3,0.351020697505873,-0.0038174062025890347,0.17452294584623115,DOC,29.47,929.47_
9,4,0.06525922855009207,0.0016246783481705545,0.7298884504708684,DOC,29.47,929.47_
9,5,0.20497437289399312,0.0011085298455920753,0.899866497842205,DOC,29.47,929.47_
5,1,0.3224231828574429,-0.0183471136688495,0.24130727078160716,DIC,15.51,515.51_
5,2,3.500586863057686e-4,0.0031409970355235147,0.8975251894699084,DIC,15.51,515.51_
5,3,0.5950237057170452,-9.099413576205975e-4,0.032636381537777676,DIC,15.51,515.51_
5,4,0.15170052725586447,0.0015580508810451362,0.26993311222169286,DIC,15.51,515.51_
5,5,0.9777567231757356,-4.668587638956363e-5,1.0341683348935174e-4,DIC,15.51,515.51_
5,6,0.001822446896090593,0.004029593045371977,0.9311056658515039,DIC,15.51,515.51_
5,7,NA,NA,NA,DIC,15.51,515.51_
5,8,NA,NA,NA,DIC,15.51,515.51_
6,1,0.026307718952385248,0.004774187715866356,0.8483483552414921,DIC,21.38,621.38_
6,2,0.49951750109132476,0.006271225773397522,0.07920347556168718,DIC,21.38,621.38_
6,3,0.02350163257087701,0.0034680239732597247,0.5430830221807308,DIC,21.38,621.38_
6,4,0.14134891155491952,0.004794334205615437,0.37861890709401197,DIC,21.38,621.38_
6,5,0.4390369688337472,-9.076584563428895e-4,0.31467952233523017,DIC,21.38,621.38_
9,1,0.008407984740329739,0.003971376325762791,0.7799717832131393,DIC,29.47,929.47_
9,2,0.10488620888851431,0.006957261754309672,0.37781372789945755,DIC,29.47,929.47_
9,3,0.6999226474131375,1.144781570759902e-4,0.03227226760777863,DIC,29.47,929.47_
9,4,0.047556007076685704,0.0011542102498874275,0.7786059895086965,DIC,29.47,929.47_
9,5,0.1921909896735893,0.0015375411261433496,0.9115960406845977,DIC,29.47,929.47_
5,1,0.11111715010788555,-2.025676708341519e-6,0.6255072560885612,CO2,15.51,515.51_
5,2,0.04330905306058151,1.3994039936910043e-6,0.5913370955387743,CO2,15.51,515.51_
5,3,0.4314578966808823,-1.982397157886882e-7,0.21505038350491068,CO2,15.51,515.51_
5,4,0.11795784741339782,-3.2742377301933366e-7,0.49654591073735915,CO2,15.51,515.51_
5,5,0.17032186657455542,-1.5294957281882521e-6,0.41068592025733075,CO2,15.51,515.51_
5,6,0.002693559966340221,-1.5967443276948898e-6,0.9164606819104686,CO2,15.51,515.51_
5,7,NA,NA,NA,CO2,15.51,515.51_
5,8,NA,9.609749638494816e-7,1,CO2,15.51,515.51_
6,1,0.1609121692134707,2.3642718552320473e-6,0.4246079701318633,CO2,21.38,621.38_
6,2,0.34534974896603954,7.446498401264045e-6,0.17827701726856918,CO2,21.38,621.38_
6,3,0.050159832928647494,-1.5694884900987979e-6,0.568756534043964,CO2,21.38,621.38_
6,4,0.15688828124176873,1.2800694574066214e-6,0.5405619962004277,CO2,21.38,621.38_
6,5,0.17704965822679206,5.6054952885216815e-6,0.9246290214515649,CO2,21.38,621.38_
9,1,0.32571624307782426,-4.04116965716047e-7,0.31415515034198577,CO2,29.47,929.47_
9,2,0.03303066883067375,-1.792578157026555e-6,0.8244672085455516,CO2,29.47,929.47_
9,3,0.04340277338949579,-1.0846178730181424e-7,0.7910658806581787,CO2,29.47,929.47_
9,4,0.21923509572937472,-3.121079295709242e-7,0.8860213788652661,CO2,29.47,929.47_
9,5,NA,1.572326371420731e-7,1,CO2,29.47,929.47_
5,1,NA,NA,NA,CH4,15.51,515.51_
5,2,0.40428155946107386,-5.313881580539116e-9,0.6480984223472047,CH4,15.51,515.51_
5,3,0.97513286583835,1.1659730506335742e-9,0.001525001738507324,CH4,15.51,515.51_
5,4,0.9742456719171759,1.629045623033365e-10,0.0016356985473479392,CH4,15.51,515.51_
5,5,0.47777709007226865,-2.7463317658957538e-9,0.5348793144858449,CH4,15.51,515.51_
5,6,0.252077494235724,-1.9167903438877134e-8,0.8512383609150986,CH4,15.51,515.51_
5,7,NA,NA,NA,CH4,15.51,515.51_
5,8,NA,-3.480754029865704e-8,1,CH4,15.51,515.51_
6,1,0.8657468549446646,1.6166382835817404e-8,0.04381684553464646,CH4,21.38,621.38_
6,2,0.021696210516297127,-8.036834475671254e-8,0.9570783045181732,CH4,21.38,621.38_
6,3,0.41412021296288637,-3.728213699708958e-8,0.3432551248586536,CH4,21.38,621.38_
