ID,date,GPP_daily_mean,ER_daily_mean,K600_daily_mean
13,2023-10-07,-0.20155757888500472,0.2385739705995669,0.18435227717088518
13,2023-10-12,0.6131245912396203,-0.903459364853241,0.08557202052469974
13,2024-06-25,-1.805668645273253,0.8047353651077386,0.1370946629880517
13,2024-06-30,0.6387908723954642,-1.2798900305916951,0.20552891200781753
13,2024-08-10,0.792791081937794,-1.9011462419710827,0.163700276882259
15,2023-10-06,-0.1575179549188647,0.0013329277123659805,0.28251647499539073
15,2023-10-07,-0.1971636779472174,0.1998289324924769,0.24633300979721295
15,2023-10-08,-0.2676147171973216,0.32005522043961304,0.3344440331837779
15,2023-10-09,-0.22400032226450653,0.274106312317408,0.3167103361549706
15,2023-10-10,-0.021263965541077682,-0.28470927199906026,0.3827314206862035
15,2023-10-11,-0.5243659404641083,0.997310507982066,0.2836718376117512
15,2023-10-12,0.6031830908087212,-0.9069130614280179,0.11338031646369072
15,2023-10-15,-0.9327704814920359,0.8047441455782136,0.3755649989882248
15,2023-10-20,-0.27401808469679245,-0.23809579648373477,0.25938864567225944
15,2024-01-09,0.057250521515265926,-0.7096644402569643,0.3713914330907301
15,2024-04-02,0.3465620577376913,-0.9116163115090617,0.32057338567361293
15,2024-05-14,-0.3588992559596661,-0.24301292077230457,0.3535787560376408
15,2024-05-16,-0.3957439828910812,-0.03004378080761994,0.3059025549016347
15,2024-05-19,-0.6136269726708071,0.4954209014913075,0.3468567854512655
15,2024-06-25,-1.809882622402549,0.7551985805364266,0.16931706493623838
15,2024-06-30,0.6416591876435812,-1.447481120756471,0.2575725991434484
15,2024-07-02,0.23149214361083822,0.16313558747902665,0.04733627106288352
15,2024-07-05,-0.07517525681129014,-0.09547456615774828,0.37643983606580667
15,2024-07-06,-0.06027877621555238,-0.1050039169066918,0.3528833186219534
15,2024-08-05,-1.5298299398351134,-0.7328159712758774,0.0782818304884979
15,2024-08-10,0.8185985140063812,-1.978405022561413,0.22559900058016188
15,2024-09-07,-0.531302395791038,0.3989093652024639,0.40005530714726567
15,2024-09-25,-0.20614034797136768,-0.2282341603978432,0.29040400145789463
15,2024-09-27,-0.2677392890974842,0.5977869233402374,0.39260147513907967
15,2025-03-09,-0.4975885650648908,1.0539947471837856,0.2997813487778628
3,2023-10-12,0.6175871657302979,-0.8924293449466242,0.06494577872673352
3,2024-07-02,0.22527799829820103,0.17219969723533166,0.04240937869152219
3,2024-08-05,-1.5265366930192172,-0.6659961698611604,0.05103588012256984
5,2023-10-06,-0.15609429227145408,0.008763086205026008,0.2547616288666204
5,2023-10-07,-0.19324593342687257,0.21021020265110618,0.21067053897814308
5,2023-10-08,-0.2636658419231085,0.3057782832728439,0.3583941824397957
5,2023-10-09,-0.21921352285751666,0.26522700099937424,0.330475584682429
5,2023-10-10,-0.006742016340235378,-0.34636750075086414,0.48484988117747735
5,2023-10-11,-0.5299061029528899,1.010032653150939,0.28665362908913966
5,2023-10-12,0.6116640704701025,-0.903059577593516,0.08104477784122414
5,2023-10-13,-0.023323378894421064,-3.9114397528845375,14.76082299924699
5,2023-10-14,-0.054159686504847863,-3.1226137358930264,16.04183890722367
5,2023-10-15,-0.9302578381781103,0.7850220872863035,0.40628335841609853
5,2023-10-16,-0.045448435618105514,-1.4704335178272,16.060791521168856
5,2023-10-17,4.032000105452283e-4,-1.095762708862409,16.611993451312987
5,2023-10-18,0.00210291201011497,-1.0557923293784284,15.389037678479488
5,2023-10-19,0.037754421542966383,-1.3334362026345699,16.477448771582665
5,2023-10-20,-0.27354331752599986,-0.22371014584825688,0.23733529132314934
5,2023-10-21,-0.12933908065147637,-1.7268522563263486,23.3817262348915
5,2023-10-22,0.0075300268649614015,-1.213229835326498,16.857785473738602
5,2023-10-23,0.06553970324987729,-1.3949553963253254,17.324256595679937
5,2023-10-24,0.036800287373584636,-1.5782097917929794,18.863326485225862
5,2023-10-25,0.06615772336974189,-1.6453497846676681,18.833284588669322
5,2023-10-26,0.03543567983132216,-1.5553470683156863,18.64670928560353
5,2023-10-27,0.05025968507670827,-1.57536302805648,18.965270221509286
5,2023-10-28,0.056497934194853244,-1.6138868352627764,18.912648980412488
5,2023-10-29,0.08534634914194632,-1.7961409286929508,18.999989314168985
5,2023-10-30,0.12522810880654137,-1.942013269593453,19.155164386879775
5,2023-12-09,0.08350121823892244,-1.8581435832555624,16.12018339105289
5,2023-12-10,0.2083974876357679,-1.7450541319326154,10.288476901067511
5,2023-12-11,-0.03315974964239286,-0.897537612615153,11.487101549164668
5,2023-12-12,0.03893386689744235,-0.9879244085832227,14.093495723972449
5,2023-12-13,0.09308126164335569,-1.3599092889775566,17.457411203429697
5,2023-12-14,0.10323082770878782,-1.530615752355608,16.66908381228969
5,2023-12-15,0.1387795229574874,-1.7395369343325633,17.383199703894174
5,2023-12-16,0.029952954942608245,-0.2480964276773608,1.1014559140522928
5,2023-12-17,-1.0490254717640002,-6.832144679923606,3.239428544845563
5,2023-12-18,-0.22308010913529971,-3.1084951857522274,2.1992408849219003
5,2023-12-19,-0.1825275816910379,-3.30006112644833,3.0967774585785954
5,2023-12-20,-0.2545501584457681,-7.393973257027313,7.918524172553361
5,2023-12-21,-0.12085802190172118,-8.447149560275077,10.28674248028063
5,2023-12-22,-0.019433358781322727,-8.403808319500662,11.275094355588651
5,2023-12-23,-0.01557327135290065,-6.7099132646489235,10.262598164925375
5,2023-12-24,0.03669424856794724,-7.0036582747889184,11.626858992446024
5,2023-12-25,0.039163446140769734,-3.8204997511536485,5.736400700302096
