Date,Site,DIC,DOC,TNPOC,POC,ID,chapter
2004-05-08,9GW1,10.827899999999998,117.32337000000001,NA,NA,9,RC
2004-06-14,5GW2,4.2308,10.947849,NA,NA,5,RC
2023-03-04,13,NA,70.7,NA,NA,13,stream
2023-06-01,7,NA,100,NA,NA,7,stream
2023-06-01,5a,NA,0.6503,NA,NA,5a,stream
2023-06-01,6,NA,15.12,NA,NA,6,stream
2023-06-01,6a,NA,23.31,NA,NA,6a,stream
2023-06-01,NA,NA,77.26,NA,NA,NA,wetland
2023-06-01,13,NA,93.49,NA,NA,13,stream
2023-06-01,14,NA,21.94,NA,NA,NA,wetland
2023-06-01,5,NA,6.015151515,NA,NA,5,stream
2023-06-01,9a,NA,22.12121212,NA,NA,NA,wetland
2023-06-01,9b,NA,21.38484848,NA,NA,NA,wetland
2023-07-04,15,NA,72,NA,NA,15,stream
2023-07-04,5a,NA,30.27878788,NA,NA,5a,stream
2023-07-04,6,NA,14.02,NA,NA,6,stream
2023-07-04,5,NA,10.56969697,NA,NA,5,stream
2023-07-07,6,NA,55.7,NA,NA,6,stream
2023-07-07,5,NA,56.18,NA,NA,5,stream
2023-07-07,6a,NA,75.23,NA,NA,6a,stream
2023-07-07,13,NA,73.21,NA,NA,13,stream
2023-07-07,14,NA,16.52,NA,NA,NA,wetland
2023-07-07,3,NA,53.3030303,NA,NA,3,stream
2023-07-07,7,NA,53.45454545,NA,NA,7,stream
2023-07-07,9,NA,59.57575758,NA,NA,9,stream
2023-08-04,3,NA,56.186672,NA,NA,3,stream
2023-08-04,5a,NA,50.392472,NA,NA,5a,stream
2023-08-04,6,NA,46.194896,NA,NA,6,stream
2023-08-04,6a,NA,51.087776,NA,NA,6a,stream
2023-08-04,7,NA,47.224976,NA,NA,7,stream
2023-08-04,9,NA,63.388648,NA,NA,9,stream
2023-09-08,3,NA,74.161568,NA,NA,3,stream
2023-09-08,5,NA,16.208788,NA,NA,5,stream
2023-09-08,5a,NA,16.457724,NA,NA,5a,stream
2023-09-08,6,NA,41.65396,NA,NA,6,stream
2023-09-08,7,NA,37.96284,NA,NA,7,stream
2023-09-08,9,NA,78.09304,NA,NA,9,stream
2023-09-08,13,NA,10.545544,NA,NA,13,stream
2023-09-08,14,NA,33.19872,NA,NA,NA,wetland
2023-09-08,15,NA,35.81684,NA,NA,15,stream
2023-09-13,5a,NA,69.41,NA,NA,5a,stream
2023-09-13,5,NA,67.66,NA,NA,5,stream
2023-09-28,13,NA,38.27,NA,NA,13,stream
2023-09-28,6,NA,5.869,NA,NA,6,stream
2023-09-28,7,NA,75.47,NA,NA,7,stream
