Site,Date,water_umol.L,water.ppm,type,chapter
15,2025-04-16,198.8300640495995,4838.078544400827,CO2,stream
7,2025-04-16,140.89328856700095,3449.7024517261852,CO2,stream
6,2025-04-16,9.216034830341691,223.87096435632822,CO2,stream
3,2025-04-16,24.987371103762495,595.5544644880524,CO2,stream
3,2025-04-16,272.2763325196792,6489.4936219245465,CO2,stream
5,2025-04-16,358.5257078628386,8751.08512546658,CO2,stream
5,2025-04-16,443.34788413814346,10821.469672051177,CO2,stream
6a,2025-04-16,75.02388129538238,1787.6273165327814,CO2,stream
15,2025-04-16,257.62521721039917,6268.725214368534,CO2,stream
3,2025-04-16,1631.6961745402718,38890.20327109205,CO2,stream
6a,2025-04-16,NA,NA,CO2,stream
6a,2025-04-16,NA,NA,CO2,stream
7,2025-04-16,NA,NA,CO2,stream
6,2025-04-16,NA,NA,CO2,stream
5,2025-04-16,NA,NA,CO2,stream
13,2025-08-13,19.91425000710863,589.1999667025666,CO2,stream
7,2025-08-13,20.231458873007597,593.9191326970617,CO2,stream
7,2025-08-13,20.05017206253387,588.5972374288158,CO2,stream
5,2025-08-13,NA,NA,CO2,stream
5,2025-08-13,NA,NA,CO2,stream
3,2025-08-13,19.951737878700325,567.5705920773969,CO2,stream
3,2025-08-13,19.598273636550584,557.5155326928565,CO2,stream
13,2025-08-13,19.05451086804731,563.7629920775115,CO2,stream
6,2025-08-13,19.51003283761437,559.3999101156954,CO2,stream
6,2025-08-13,19.43471089359941,557.2402474917313,CO2,stream
15,2025-08-13,NA,NA,CO2,stream
15,2025-08-13,NA,NA,CO2,stream
7,2025-03-26,132.0920136919137,3138.4767213137284,CO2,stream
6a,2025-03-26,151.41990233133544,3418.9857781012024,CO2,stream
3,2025-03-26,117.15414354254371,2709.8691872598997,CO2,stream
5,2025-03-26,140.33270536019887,3332.3769810157146,CO2,stream
3,2025-03-26,140.11953351456305,3241.0770538940246,CO2,stream
5a,2025-03-26,175.20266702550802,4084.0014043852393,CO2,stream
5a,2025-03-26,61.17198415875242,1425.9284601929253,CO2,stream
9,2025-03-26,147.89183630270801,3454.283955125244,CO2,stream
7,2025-03-26,221.94920888746418,5273.4635950965685,CO2,stream
6,2025-03-26,199.45578473080909,4638.724001535602,CO2,stream
3,2025-03-26,135.74493172512956,3139.8890102000096,CO2,stream
