ID,Date,POC_mgL,DIC,DOC,depth,pH,Q
15,2023-11-05T00:00:00Z,NA,NA,46.33224,NA,NA,NA
9,2023-11-05T00:00:00Z,NA,NA,93.0292,NA,NA,NA
7,2023-11-05T00:00:00Z,NA,NA,35.98852,NA,NA,NA
6a,2023-11-05T00:00:00Z,NA,NA,38.074432,NA,NA,NA
6,2023-11-05T00:00:00Z,NA,NA,34.52924,NA,NA,NA
5,2023-11-05T00:00:00Z,NA,NA,16.657352,NA,NA,NA
3,2023-11-05T00:00:00Z,NA,NA,62.358568,NA,NA,NA
15,2023-11-01T00:00:00Z,NA,NA,46.984624,NA,NA,NA
13,2023-11-01T00:00:00Z,NA,NA,1.395,NA,NA,NA
9,2023-11-01T00:00:00Z,NA,NA,96.54864,NA,NA,NA
7,2023-11-01T00:00:00Z,NA,NA,45.1734,NA,NA,NA
6a,2023-11-01T00:00:00Z,NA,NA,66.238536,NA,NA,NA
6,2023-11-01T00:00:00Z,NA,NA,39.181768,NA,NA,NA
5a,2023-11-01T00:00:00Z,NA,NA,23.035264,NA,NA,NA
5,2023-11-01T00:00:00Z,NA,NA,61.817776,NA,NA,NA
3,2023-11-01T00:00:00Z,NA,NA,90.28232,NA,NA,NA
5a,2023-10-31T00:00:00Z,NA,NA,60.79,NA,NA,NA
7,2023-09-28T00:00:00Z,NA,NA,67.66,NA,NA,NA
6,2023-09-28T00:00:00Z,NA,NA,69.41,NA,NA,NA
15,2023-09-28T00:00:00Z,NA,NA,40.289104,NA,NA,NA
13,2023-09-28T00:00:00Z,NA,NA,-Inf,NA,NA,NA
9,2023-09-28T00:00:00Z,NA,NA,35.550736,NA,NA,NA
6a,2023-09-28T00:00:00Z,NA,NA,29.327336,NA,NA,NA
5a,2023-09-28T00:00:00Z,NA,NA,44.907296,NA,NA,NA
5,2023-09-28T00:00:00Z,NA,NA,38.203192,NA,NA,NA
3,2023-09-28T00:00:00Z,NA,NA,67.285784,NA,NA,NA
5,2023-09-13T00:00:00Z,NA,NA,14.63,NA,NA,NA
5a,2023-09-13T00:00:00Z,NA,NA,55.18,NA,NA,NA
15,2023-09-08T00:00:00Z,NA,NA,35.81684,NA,NA,NA
13,2023-09-08T00:00:00Z,NA,NA,10.545544,NA,NA,NA
9,2023-09-08T00:00:00Z,NA,NA,78.09304,NA,NA,NA
7,2023-09-08T00:00:00Z,NA,NA,37.96284,NA,NA,NA
6,2023-09-08T00:00:00Z,NA,NA,41.65396,NA,NA,NA
3,2023-09-08T00:00:00Z,NA,NA,74.161568,NA,NA,NA
9,2023-08-04T00:00:00Z,NA,NA,63.388648,NA,NA,NA
7,2023-08-04T00:00:00Z,NA,NA,47.224976,NA,NA,NA
6a,2023-08-04T00:00:00Z,NA,NA,51.087776,NA,NA,NA
6,2023-08-04T00:00:00Z,NA,NA,46.194896,NA,NA,NA
5a,2023-08-04T00:00:00Z,NA,NA,50.392472,NA,NA,NA
3,2023-08-04T00:00:00Z,NA,NA,56.186672,NA,NA,NA
13,2023-07-07T00:00:00Z,NA,NA,38.27,NA,NA,NA
6a,2023-07-07T00:00:00Z,NA,NA,16.52,NA,NA,NA
5,2023-07-07T00:00:00Z,NA,NA,73.21,NA,NA,NA
6,2023-07-07T00:00:00Z,NA,NA,56.18,NA,NA,NA
9,2023-07-07T00:00:00Z,NA,NA,59.57575757575758,NA,NA,NA
7,2023-07-07T00:00:00Z,NA,NA,53.45454545454545,NA,NA,NA
3,2023-07-07T00:00:00Z,NA,NA,53.303030303030305,NA,NA,NA
15,2023-07-04T00:00:00Z,NA,NA,75.23,NA,NA,NA
5,2023-07-04T00:00:00Z,NA,NA,10.56969696969697,NA,NA,NA
5a,2023-07-04T00:00:00Z,NA,NA,30.27878787878788,NA,NA,NA
13,2023-06-01T00:00:00Z,NA,NA,55.7,NA,NA,NA
6a,2023-06-01T00:00:00Z,NA,NA,93.49,NA,NA,NA
6,2023-06-01T00:00:00Z,NA,NA,77.26,NA,NA,NA
5a,2023-06-01T00:00:00Z,NA,NA,23.31,NA,NA,NA
7,2023-06-01T00:00:00Z,NA,NA,15.12,NA,NA,NA
5,2023-06-01T00:00:00Z,NA,NA,6.015151515151516,NA,NA,NA
5a,2023-05-01T00:00:00Z,34.96503496503422,NA,33.68,NA,NA,NA
13,2023-05-01T00:00:00Z,NA,NA,6.27,NA,NA,NA
5,2023-05-01T00:00:00Z,8.602150537634357,NA,17.09,NA,NA,NA
7,2023-05-01T00:00:00Z,4.252199413489919,NA,34.3,NA,NA,NA
6,2023-05-01T00:00:00Z,71.75572519084027,NA,72.74,NA,NA,NA
13,2023-03-04T00:00:00Z,NA,NA,34.22,NA,NA,NA
