Date,GPP,ER,K600_daily_mean,ID
2023-06-22,0.16755778386857087,-4.123792455563314,1.4315687091530291,3
2023-06-23,0.08702469549442851,-1.904074189350906,0.5662915178396007,3
2023-06-24,0.11743465979776976,-4.8099716287251795,1.361577891253578,3
2023-07-31,2.4447410460278407,-6.645223259079828,0.7440129379638207,3
2023-08-01,0.13154901289878287,-1.4104047249505833,0.1436369132701793,3
2023-09-15,0.2140328728075989,-7.339504245296473,1.343370630643344,3
2023-09-20,0.17445627410381154,-5.623694451459116,1.3074826140251614,3
2023-09-21,0.18658282651093575,-5.774206134234864,1.3773808957772329,3
2023-09-22,0.14739728857022247,-4.30372226426089,1.0587917833984508,3
2023-09-23,0.1390017090040371,-5.2572238634316415,1.3785591360465501,3
2023-09-24,0.1432469448340319,-5.098864857583715,1.3929678042116174,3
2023-09-25,0.15935604231097844,-5.301087769490792,1.47817920712553,3
2023-09-27,0.18107769675940116,-6.724495797741032,1.2267736852112734,3
2023-09-28,0.1819794657922825,-6.430164685139482,1.2543511370793228,3
2023-09-29,0.19998160712135912,-6.366945303139113,1.3095473085399185,3
2023-09-30,0.18783024662730538,-6.226891766372079,1.3252917212983066,3
2023-10-01,0.17952158208810598,-5.909108381916075,1.312695358125733,3
2023-10-02,0.18251564967113962,-5.441465651606914,1.2783698414986329,3
2023-10-03,0.188750348030256,-5.700271287036104,1.4085366671371458,3
2023-10-04,0.2118474263152086,-5.693669960766629,1.422085395951444,3
2023-10-05,0.1771808793748775,-5.7081236161326,1.4670721953399894,3
2023-10-06,0.17048701694233048,-5.668592926464433,1.482533304453993,3
2023-10-07,0.16050557521569578,-5.249452663905067,1.4074479975076832,3
2023-10-08,0.1401750532003401,-4.571572147191156,1.3390984952868872,3
2023-10-09,0.16427472609557311,-4.595770875757849,1.4424646086847774,3
2023-10-10,0.2193718512578871,-4.917016185564649,1.5564319386447496,3
2023-10-11,0.03358654529674278,-0.14623761051632417,0.5301748769134761,3
2023-10-12,0.7481060535451721,-18.572163609347477,3.133033626917503,3
2023-10-13,0.18851898298103517,-7.538569016584674,1.2644025095848885,3
2023-10-14,0.20197477661554677,-6.632400747403846,1.2050567768431468,3
2023-10-15,0.22868855234295754,-6.039887084333622,1.1921674979706098,3
2023-10-16,0.16982427608958953,-5.452069109418939,1.2080974550274275,3
2023-10-17,0.22270302420925372,-5.878269771287401,1.4092041913444195,3
2023-10-18,0.2524704118912928,-6.01445206543702,1.5240088270911698,3
2023-10-19,0.27201552809966556,-5.837315357008188,1.5067311225049151,3
2023-10-20,0.292701653934189,-5.6606756567108825,1.4673211401000783,3
2023-10-21,0.19992200349742945,-5.0759974307221185,1.347337664997924,3
2023-10-22,0.24009881638673913,-5.359737738609648,1.4966689174779972,3
2023-10-23,0.23178215269805327,-5.297712054573092,1.4887774702020542,3
2023-10-24,0.22194527046333232,-5.224506397486788,1.480539297972619,3
2023-10-25,0.21553867296359835,-5.26016324905251,1.4868660965098768,3
2023-10-26,0.1914605629163322,-5.096887413039868,1.4643417319067888,3
2023-10-27,0.18704631942339794,-4.937285795128842,1.447958836884599,3
2023-10-28,0.1865155434242972,-4.894484885334648,1.46330662213336,3
2023-10-29,0.15245482168267757,-5.007218475318003,1.5113280629348143,3
2023-10-30,0.15749838746415243,-4.865446574752927,1.473753423263838,3
2023-10-31,0.1600415386759371,-4.996682036168397,1.5279802878676088,3
2023-11-01,0.11229461609710611,-3.5843209733527073,1.2291083927939102,3
2023-11-02,0.09299374099538157,-3.939970039111476,1.4929990625809013,3
2023-11-03,0.09315022150390363,-3.847465392245824,1.4288156954466857,3
2023-11-04,0.09680064984729049,-3.3132383352064374,1.3174893046442062,3
2023-11-05,0.06669651419006402,-3.0696621583206194,1.3374033196939212,3
2023-11-06,0.06266722318666082,-2.8377686719351183,1.365155293588342,3
2023-11-16,0.11286185122639909,-2.6617123940783047,1.2589150100817634,3
2023-11-17,0.16917937899260274,-5.021354671906585,1.6468267601343065,3
2023-11-18,0.16290990782586962,-4.662502066229204,1.4858746226135706,3
2023-11-19,0.13272140575227073,-4.332143994878833,1.4677178159753115,3
2023-11-20,0.11175465992857679,-4.016051484046229,1.4339890279602092,3
2023-11-23,0.1354539345923623,-3.9600173758693233,1.464559519107715,3
2023-11-24,0.12656640128989943,-4.179480353445996,1.5808773575107673,3
2023-11-25,0.07657116966123183,-3.6694136892862232,1.4111047143991067,3
2023-11-26,1.4335195819458812,-3.7743303813203792,1.1057982967293762,3
2023-11-27,0.13797128990200644,-4.868924938780194,1.3916839442300657,3
2023-11-28,0.1705019740213642,-3.5515792875826784,1.2623039488651009,3
2023-11-29,0.17872059870246101,-3.519535230894972,1.4469346631277678,3
2023-11-30,0.27105674981852346,-4.036019176331596,1.560890962513552,3
2023-12-01,0.18583965807455669,-4.437278003498745,1.4411863541534236,3
2023-12-09,0.09964124282430163,-4.3854592884690105,1.5114753700459225,3
2023-12-10,0.2890285039305448,-1.9179184113589307,0.7076713592767819,3
2023-12-11,0.17328993283279873,-3.9619930717526013,1.3255430087340336,3
2023-12-12,0.28902668718160474,-4.549620152876299,1.587437529142543,3
2023-12-13,0.23663300203393536,-4.388462019011445,1.4533439398279604,3
2023-12-14,0.1971664385447716,-4.270269316988533,1.4487957898969426,3
2023-12-15,0.24794922090915514,-4.5826901959804545,1.426432761476657,3
2023-12-16,0.024712713195967323,0.8707762260321351,0.4110266954605184,3
2023-12-17,0.04480298397754561,-6.421857254944238,0.3331870782136896,3
2023-12-18,0.1534851109953176,-7.369546763592563,0.9555653888342249,3
