Site,Date,Species,Conc.,Conc_Raw,day,month,year,ID,chapter,Q_daily,Q_ID,depth_daily,Water_press,Temp_PT,pH_daily
3,2023-07-07,DOC,53.303030303030305,17.59,7,7,2023,3,stream,2.7171213410523745,high,0.24023446849923996,0.7334000000000014,73.926,3.571205116802417
5a,2023-07-04,DOC,30.27878787878788,9.992,4,7,2023,5a,stream,16.042189902746234,low,0.45285560828697424,1.2212000000000014,73.062,3.779269862705073
7,2023-07-07,DOC,53.45454545454545,17.64,7,7,2023,7,stream,5.535550000875756,low,0.1446515137785521,0.713000000000001,76.181,3.9918428661113374
9,2023-07-07,DOC,59.57575757575758,19.66,7,7,2023,9,stream,9.464852476440722,low,0.03643157973184625,0.283925,81.266,3.352134756219275
5,2023-06-01,DOC,6.015151515151516,1.985,1,6,2023,5,stream,31.317917138597316,low,0.03647335056907873,0.6932000000000009,70.308,5.837364936390523
5,2023-07-04,DOC,10.56969696969697,3.488,4,7,2023,5,stream,70.62891349242646,low,0.08856375195267867,0.6943999999999999,75.139,4.979421035381895
3,2023-08-04,DOC,56.186672,28.093336,4,8,2023,3,stream,176.77660915765924,low,0.7094861645783898,1.4497999999999998,77.923,3.598076327938443
5a,2023-08-04,DOC,50.392472,25.196236,4,8,2023,5a,stream,23.44643190513141,low,0.5025085485019452,1.254099999999999,74.964,3.618861885492493
6,2023-08-04,DOC,46.194896,23.097448,4,8,2023,6,stream,369.2238954414916,low,0.5483314874205492,1.410899999999998,74.271,4.15902989319993
6a,2023-08-04,DOC,51.087776,25.543888,4,8,2023,6a,stream,97.9381995677339,low,0.37595302175452844,1.0070000000000014,76.876,3.606111572656258
7,2023-08-04,DOC,47.224976,23.612488,4,8,2023,7,stream,102.64681433542862,low,0.38166604666542664,1.0531000000000006,76.006,3.590172572438681
9,2023-08-04,DOC,63.388648,31.694324,4,8,2023,9,stream,69.8749360119779,low,0.13941597761983396,0.42269999999999897,78.449,3.3730388962231284
3,2023-09-08,DOC,74.161568,37.080784,8,9,2023,3,stream,25.033139300739588,low,0.427679161570444,1.0155999999999992,76.181,3.562758271113852
6,2023-09-08,DOC,41.65396,20.82698,8,9,2023,6,stream,93.31128470075762,low,0.18828794245001085,0.944399999999998,75.312,3.6919925410863397
7,2023-09-08,DOC,37.96284,18.98142,8,9,2023,7,stream,14.333384676750967,low,0.19865999883514884,0.7853999999999992,76.354,3.3869150459062283
9,2023-09-08,DOC,78.09304,39.04652,8,9,2023,9,stream,34.520071584803325,low,0.08743414871445149,0.3584000000000014,77.749,3.3412514217553086
13,2023-09-08,DOC,10.545544,5.272772,8,9,2023,13,stream,3.5842621190671182,low,0.05801949492010893,0.621500000000001,75.832,7.283113669810953
15,2023-09-08,DOC,35.81684,17.90842,8,9,2023,15,stream,19.351179575200106,low,0.18348188360712395,0.7414000000000005,76.181,3.5418770193968805
3,2023-09-28,DOC,67.285784,33.642892,28,9,2023,3,stream,60.47590858581497,low,0.537600214745884,1.1780000000000008,74.098,3.530188098184553
5,2023-09-28,DOC,38.203192,19.101596,28,9,2023,5,stream,261.71916925805,low,0.36407951277441025,1.1925000000000008,74.098,3.9916151379474276
5a,2023-09-28,DOC,44.907296,22.453648,28,9,2023,5a,stream,17.43154853469932,low,0.46420761962736046,1.2637,73.58,3.6682863404316706
6a,2023-09-28,DOC,29.327336,14.663668,28,9,2023,6a,stream,64.48017625648593,low,0.31743792074996735,0.9198000000000004,73.926,3.9186413117049552
9,2023-09-28,DOC,35.550736,17.775368,28,9,2023,9,stream,107.98922858203743,low,0.18881821657582706,0.5017999999999994,75.139,3.4150290596655815
13,2023-09-28,DOC,NA,-0.6926788,28,9,2023,13,stream,1.923107588208077,high,0.044143083134650866,0.604000000000001,74.098,7.341886910843743
15,2023-09-28,DOC,40.289104,20.144552,28,9,2023,15,stream,308.65399185304926,low,0.3977508436135751,1.028599999999999,74.791,3.56760854046044
3,2023-11-01,DOC,90.28232,45.14116,1,11,2023,3,stream,8.44117703865986,high,0.32268700082854707,0.8635999999999999,69.622,3.5302879681719204
5,2023-11-01,DOC,61.817776,30.908888,1,11,2023,5,stream,72.63670713455159,low,0.09075868641247774,0.775599999999999,69.964,4.425543168584802
5a,2023-11-01,DOC,23.035264,11.517632,1,11,2023,5a,stream,7.698981520943388,low,0.3632695389633203,1.1151999999999995,68.592,3.856491395108523
6,2023-11-01,DOC,39.181768,19.590884,1,11,2023,6,stream,32.522982093317076,high,0.0829762877707573,0.7951999999999995,68.934,3.627016460443157
6a,2023-11-01,DOC,66.238536,33.119268,1,11,2023,6a,stream,0.12661653599227446,high,-0.0059897365948579275,0.5251999999999999,68.934,4.099513316104173
7,2023-11-01,DOC,45.1734,22.5867,1,11,2023,7,stream,4.0426166984303045,low,0.1305524471188803,0.6911000000000005,70.651,3.2244223640128897
9,2023-11-01,DOC,96.54864,48.27432,1,11,2023,9,stream,43.34428187874106,low,0.10198304144860029,0.37069999999999936,69.964,3.374534734117982
13,2023-11-01,DOC,1.395,0.6975,1,11,2023,13,stream,1.2614830145811786,high,0.03674142065455827,0.7607999999999997,68.248,7.371204469126777
15,2023-11-01,DOC,46.984624,23.492312,1,11,2023,15,stream,0.028535573058212867,high,0.024948000105790395,0.5256999999999987,70.137,3.3725641314923442
3,2023-12-07,DOC,62.392904,31.196452,7,12,2023,3,stream,10.23623910946136,low,0.3392660312593353,0.9024,57.614,3.570774032616363
