Site,Date,Species,Conc.,Conc_Raw,day,month,year,ID,chapter,Q_daily,Q_ID,depth_daily,Water_press,Temp_PT,pH_daily
6,2023-12-07,DOC,19.739008,9.869504,7,12,2023,6,stream,24.627368329783174,high,0.0668865651367674,0.7538999999999998,62.598,3.6306905877758306
9,2023-12-07,DOC,36.271792,18.135896,7,12,2023,9,stream,36.21055483471811,low,0.09031375820327406,0.3617000000000008,55.189,3.423340114482483
13,2023-12-07,DOC,NA,-0.2883724,7,12,2023,13,stream,2.2840246271445976,low,0.04762471888580133,0.6103000000000005,60.024,7.429923427419942
3,2023-11-05,DOC,62.358568,31.179284,5,11,2023,3,stream,3.517932752993861,high,0.2570424766607109,0.793800000000001,63.455,3.5277995448191644
5,2023-11-05,DOC,16.657352,8.328676,5,11,2023,5,stream,62.8054309591969,low,0.07752065731404167,0.7527000000000008,66.022,4.562136586667848
6,2023-11-05,DOC,34.52924,17.26462,5,11,2023,6,stream,21.653812307864992,high,0.06048399551344587,0.7440999999999995,66.537,3.6357761486650886
6a,2023-11-05,DOC,38.074432,19.037216,5,11,2023,6a,stream,NA,NA,-0.06611555601899066,0.3420000000000005,64.996,5.238740482975617
7,2023-11-05,DOC,35.98852,17.99426,5,11,2023,7,stream,2.312231473010052,high,0.1083677527961116,0.6434999999999995,64.996,3.8032411332967175
9,2023-11-05,DOC,93.0292,46.5146,5,11,2023,9,stream,34.130216676134026,low,0.08675286092996436,0.35850000000000115,62.083,3.369597135969692
15,2023-11-05,DOC,46.33224,23.16612,5,11,2023,15,stream,NA,NA,-0.08638367837341733,0.3800000000000008,64.481,3.387323338668482
5,2024-02-08,DOC,81.0116,40.5058,8,2,2024,5,stream,163.33550873903022,low,0.2183946597763325,1.004100000000001,56.057,NA
5a,2024-02-08,DOC,99.29552,49.64776,8,2,2024,5a,stream,13.245234866547715,low,0.4277053667394051,1.2053000000000011,56.23,NA
6,2024-02-08,DOC,57.66312,28.83156,8,2,2024,6,stream,104.11526705576647,low,0.20505407632027386,0.9529999999999994,56.404,3.739607858094663
9,2024-02-08,DOC,85.47528,42.73764,8,2,2024,9,stream,197.51894619800672,low,0.28376764889893424,0.6447000000000003,53.449,3.4905789242772176
15,2024-02-08,DOC,92.25664,46.12832,8,2,2024,15,stream,43.19489240508862,low,0.2298971188152166,0.8186,54.669,NA
3,2024-03-04,DOC,79.724,39.862,4,3,2024,3,stream,63.95233297972559,low,0.545566960390119,1.1753,62.083,3.638678770643596
5,2024-03-04,DOC,36.005688,18.002844,4,3,2024,5,stream,123.91943970677524,low,0.16189638868788211,0.9130000000000004,65.167,4.3258593897757
5a,2024-03-04,DOC,54.727392,27.363696,4,3,2024,5a,stream,12.288749885240373,low,0.41821024285405195,1.1856000000000009,61.054,3.809349690027998
6,2024-03-04,DOC,67.182776,33.591388,4,3,2024,6,stream,82.87156810943573,low,0.17174155273930403,0.894400000000001,59.851,3.786780274756641
6a,2024-03-04,DOC,82.81424,41.40712,4,3,2024,6a,stream,0.8930971109737129,high,0.05610790378605527,0.9141999999999992,61.227,NA
7,2024-03-04,DOC,60.306992,30.153496,4,3,2024,7,stream,254.53923191333158,low,0.5157170006901997,1.2423000000000002,63.797,3.761820845801885
9,2024-03-04,DOC,77.23464,38.61732,4,3,2024,9,stream,114.83788028353408,low,0.19682736654729502,0.4992000000000001,63.282,3.551360172383607
15,2024-03-04,DOC,43.41368,21.70684,4,3,2024,15,stream,29.3256797631975,NA,0.20651059715342554,NA,63.282,3.744388875025121
7,2023-06-01,DOC,15.12,15.12,1,6,2023,7,stream,4.244258482403389,low,0.13256176057806665,0.6896000000000004,70.48,NA
5a,2023-06-01,DOC,23.31,23.31,1,6,2023,5a,stream,NA,NA,-0.03332282619110696,0.5542000000000016,68.763,3.628461423410068
6,2023-06-01,DOC,77.26,77.26,1,6,2023,6,stream,NA,NA,-0.0207574348482027,0.6425999999999998,68.592,3.946174440573826
6a,2023-06-01,DOC,93.49,93.49,1,6,2023,6a,stream,9.240895282450985,low,0.1438429931405317,0.6976999999999993,70.137,5.091941830303648
13,2023-06-01,DOC,55.7,55.7,1,6,2023,13,stream,6.902969134602529,low,0.0770541272743987,0.6430500000000006,70.137,7.266012023860165
6,2023-07-07,DOC,56.18,56.18,7,7,2023,6,stream,1.7932683602044353,high,-0.00852432055513413,0.6923000000000012,72.545,3.718703421429195
15,2023-07-04,DOC,75.23,75.23,4,7,2023,15,stream,NA,NA,-0.05516168808561406,0.4395000000000006,76.354,3.468360730743331
5,2023-07-07,DOC,73.21,73.21,7,7,2023,5,stream,41.419738681996684,low,0.04939455939517938,0.7205000000000013,75.832,4.6129646945689124
6a,2023-07-07,DOC,16.52,16.52,7,7,2023,6a,stream,7.7430652201256995,high,0.1304918300745691,0.6407000000000007,77.05,4.37652322357848
13,2023-07-07,DOC,38.27,38.27,7,7,2023,13,stream,7.977692431229793,high,0.0601168767372499,0.5962000000000014,76.528,6.858834158374802
6,2023-09-28,DOC,69.41,69.41,28,9,2023,6,stream,95.01813542361454,low,0.19098689889687523,0.9455000000000008,73.753,3.6645636268475794
7,2023-09-28,DOC,67.66,67.66,28,9,2023,7,stream,105.24938948182673,low,0.38471501838108574,1.0687999999999995,74.619,3.7710499859192943
5a,2023-09-13,DOC,55.18,55.18,13,9,2023,5a,stream,17.171979733813664,low,0.4619102936041369,1.2650000000000006,74.619,3.6662740157292903
5,2023-09-13,DOC,14.63,14.63,13,9,2023,5,stream,201.82547757793355,low,0.27474568026059115,1.0789000000000009,75.312,4.051272982799843
5a,2023-10-31,DOC,60.79,60.79,31,10,2023,5a,stream,8.522279297639507,low,0.374736039169048,1.1181,68.592,3.9068520049313045
5,2023-12-07,DOC,27.15,27.15,7,12,2023,5,stream,99.43525991850511,low,0.1275366317399301,0.8704000000000001,61.912,4.72321382429201
5a,2023-12-07,DOC,36.42,36.42,7,12,2023,5a,stream,6.977276970055628,low,0.3529143299195691,1.1047000000000011,61.398,3.839757017279232
7,2023-12-07,DOC,38.68,38.68,7,12,2023,7,stream,5.71312074819815,low,0.14643676832808214,0.6995000000000005,60.539,3.8503596352909972
15,2023-12-07,DOC,43.72,43.72,7,12,2023,15,stream,10.75448447794203,low,0.1560039276139158,0.7133000000000003,58.303,3.454912873051008
3,2024-02-08,DOC,83.91,83.91,8,2,2024,3,stream,18.16142485250661,low,0.3936543393366505,0.9795999999999996,55.364,NA
6a,2024-02-08,DOC,64.28,64.28,8,2,2024,6a,stream,0.9381705384458298,high,0.05716403783456915,0.9267000000000004,53.798,NA
7,2024-02-08,DOC,70.7,70.7,8,2,2024,7,stream,23.8938504278266,low,0.23542239210352542,0.8275000000000006,56.923,NA
13,2024-02-08,DOC,34.15,34.15,8,2,2024,13,stream,4.260380969833418,low,0.06254250766077286,0.8056999999999999,57.096,6.209108708159832
13,2023-03-04,DOC,34.22,34.22,4,3,2023,13,stream,6.771320869496367,low,0.0766447106379062,0.644124999999999,67.05,7.388948959666502
3,2024-03-25,DOC,79.89,79.89,25,3,2024,3,stream,30.45007049097308,NA,0.45010446316347164,NA,62.769,3.5635778486985354
5,2024-03-25,DOC,30.92,30.92,25,3,2024,5,stream,94.96374128627725,low,0.12133074811604166,0.8595999999999986,62.425,4.477261804189274
5a,2024-03-25,DOC,45.44,45.44,25,3,2024,5a,stream,10.259105668939375,low,0.396151490257526,1.1654999999999998,61.912,3.9040690443022545
6,2024-03-25,DOC,60.99,60.99,25,3,2024,6,stream,77.65281995836065,low,0.16327467312277252,0.8925999999999998,61.912,3.810485240396021
6a,2024-03-25,DOC,66.34,66.34,25,3,2024,6a,stream,0.19414038692716742,NA,0.030186183554185078,NA,61.398,NA
7,2024-03-25,DOC,67.32,67.32,25,3,2024,7,stream,37.657336089268405,NA,0.27372636949819323,NA,63.111,3.6649938198008636
9,2024-03-25,DOC,81.4,81.4,25,3,2024,9,stream,107.05807954835709,low,0.18772127625063326,0.5043999999999986,60.368,3.7490808685721424
13,2024-03-25,DOC,28.16,28.16,25,3,2024,13,stream,NA,NA,-0.012061666168786846,0.6951,62.94,7.00008284031338
15,2024-03-25,DOC,38.33,38.33,25,3,2024,15,stream,18.99723950768573,NA,0.1829499095361828,NA,62.254,3.8013556677011304
7,2024-04-03,DOC,37.07,37.07,3,4,2024,7,stream,124.8086859595179,low,0.351113503439128,0.7631000000000014,65.851,3.713350999683055
6,2023-05-01,DOC,72.74,72.74,1,5,2023,6,stream,NA,NA,-0.07233417941583359,0.5602499999999999,66.879,4.102979471430948
7,2023-05-01,DOC,34.3,34.3,1,5,2023,7,stream,NA,NA,-0.2098179364190899,0.20107499999999945,68.421,NA
5,2023-05-01,DOC,17.09,17.09,1,5,2023,5,stream,43.37672835479592,low,0.0398067631956158,0.7208500000000004,68.421,5.811784957836468
6,2024-04-03,DOC,71.63,71.63,3,4,2024,6,stream,110.97981970984605,high,0.2105260569612052,0.8224000000000018,63.455,3.8644262288075777
3,2024-04-05,DOC,53.07,53.07,5,4,2024,3,stream,64.90611187633516,low,0.5473157844800536,1.2172999999999998,64.652,3.6462939984972307
5,2024-04-03,DOC,15.42,15.42,3,4,2024,5,stream,227.98176097611497,low,0.3202419413929734,0.8083000000000009,66.708,4.391852786170783
13,2023-05-01,DOC,6.27,6.27,1,5,2023,13,stream,36.743401537230085,low,0.14391506684683103,0.8308499999999999,68.763,7.77324685744213
5a,2023-05-01,DOC,33.68,33.68,1,5,2023,5a,stream,0.006284309010809494,high,0.029343171176460986,0.6532999999999998,66.366,3.7100902182907123
13,2024-04-03,DOC,6.817,6.817,3,4,2024,13,stream,23.422446308479703,NA,0.11957264066043273,0.6559000000000008,65.68,7.001363996832587
5a,2024-04-03,DOC,39.61,39.61,3,4,2024,5a,stream,18.166343318347746,low,0.46004948737170204,1.152000000000001,63.111,3.9830398133431237
15,2024-04-18,DIC,32.41,32.41,18,4,2024,15,stream,10.802910547548448,low,0.15616086994411726,0.7131999999999987,66.537,3.834779049784341
15,2024-04-18,DOC,28.45,28.45,18,4,2024,15,stream,10.802910547548448,low,0.15616086994411726,0.7131999999999987,66.537,3.834779049784341
5a,2024-04-18,DIC,45.61,45.61,18,4,2024,5a,stream,8.10482734638231,low,0.36879169996102174,1.1420999999999992,64.139,3.9765177883581844
5a,2024-04-18,DOC,40.04,40.04,18,4,2024,5a,stream,8.10482734638231,low,0.36879169996102174,1.1420999999999992,64.139,3.9765177883581844
13,2024-04-18,DIC,32.68,32.68,18,4,2024,13,stream,NA,NA,-0.04869999025712355,0.6344999999999992,67.221,7.298963147855815
13,2024-04-18,DOC,12.76,12.76,18,4,2024,13,stream,NA,NA,-0.04869999025712355,0.6344999999999992,67.221,7.298963147855815
7,2024-04-18,DIC,67.48,67.48,18,4,2024,7,stream,10.818061612759884,low,0.18096731466190202,0.7355,67.221,3.6547900918939336
7,2024-04-18,DOC,62.51,62.51,18,4,2024,7,stream,10.818061612759884,low,0.18096731466190202,0.7355,67.221,3.6547900918939336
6,2024-04-18,DIC,57.61,57.61,18,4,2024,6,stream,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6,2024-04-18,DOC,53.87,53.87,18,4,2024,6,stream,49.88704812988734,high,0.11567169330142903,0.8339000000000016,64.481,3.815574170482266
6a,2024-04-18,DIC,54.76,54.76,18,4,2024,6a,stream,NA,NA,-0.01953653389824256,0.8221000000000007,64.481,NA
6a,2024-04-18,DOC,51.86,51.86,18,4,2024,6a,stream,NA,NA,-0.01953653389824256,0.8221000000000007,64.481,NA
3,2024-04-18,DIC,77.21,77.21,18,4,2024,3,stream,11.813760525748817,low,0.35202916867372186,0.9222,65.509,3.550740298186393
3,2024-04-18,DOC,74.16,74.16,18,4,2024,3,stream,11.813760525748817,low,0.35202916867372186,0.9222,65.509,3.550740298186393
5,2024-04-18,DIC,30.09,30.09,18,4,2024,5,stream,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5,2024-04-18,DOC,28.28,28.28,18,4,2024,5,stream,70.16256797090713,low,0.08740681663181497,0.8019999999999996,67.392,4.236432120210279
5,2024-05-08,DIC,11.42,11.42,8,5,2024,5,stream,26.851857657301817,low,0.030934675715505004,0.7355,70.308,5.058557392586328
5,2024-05-08,DOC,8.778,8.778,8,5,2024,5,stream,26.851857657301817,low,0.030934675715505004,0.7355,70.308,5.058557392586328
3,2024-05-08,DIC,101.5,101.5,8,5,2024,3,stream,1.2419793804285941,high,0.1958690661437267,0.6789999999999985,69.107,3.6310420723890515
3,2024-05-08,DOC,97.21,97.21,8,5,2024,3,stream,1.2419793804285941,high,0.1958690661437267,0.6789999999999985,69.107,3.6310420723890515
13,2024-05-08,DIC,30.1,30.1,8,5,2024,13,stream,2.2008844225960886,NA,-0.01964777666929125,0.5960999999999999,71.512,7.813426927366678
13,2024-05-08,DOC,NA,-8.386,8,5,2024,13,stream,2.2008844225960886,NA,-0.01964777666929125,0.5960999999999999,71.512,7.813426927366678
5,2024-05-30,DIC,15.66,15.66,30,5,2024,5,stream,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
5,2024-05-30,DOC,13.54,13.54,30,5,2024,5,stream,NA,NA,-0.021342701566521974,0.6605000000000008,73.234,5.0556432105882205
13,2024-05-30,DIC,40.65,40.65,30,5,2024,13,stream,NA,NA,-0.09504718474677598,0.5739999999999998,74.791,7.662689039314215
13,2024-05-30,DOC,NA,-3.25,30,5,2024,13,stream,NA,NA,-0.09504718474677598,0.5739999999999998,74.791,7.662689039314215
6,2024-05-30,DIC,86.32,86.32,30,5,2024,6,stream,NA,NA,-0.10086146354110864,0.5158000000000005,69.964,3.8401039856855634
6,2024-05-30,DOC,82.72,82.72,30,5,2024,6,stream,NA,NA,-0.10086146354110864,0.5158000000000005,69.964,3.8401039856855634
6a,2024-07-11,DIC,9.19139,9.19139,11,7,2024,6a,stream,NA,NA,-0.26452753087324354,0.4572000000000003,78.098,NA
6a,2024-07-11,DOC,243.323,243.323,11,7,2024,6a,stream,NA,NA,-0.26452753087324354,0.4572000000000003,78.098,NA
6,2024-07-11,DIC,15.28811,15.28811,11,7,2024,6,stream,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
6,2024-07-11,DOC,172.169,172.169,11,7,2024,6,stream,0.17610966704573142,NA,-1.915803831603658e-4,0.6469000000000005,73.407,NA
7,2024-07-11,DIC,12.64658,12.64658,11,7,2024,7,stream,7.387663971418168,low,0.1594955444456341,0.7092999999999989,76.181,NA
7,2024-07-11,DOC,114.054,114.054,11,7,2024,7,stream,7.387663971418168,low,0.1594955444456341,0.7092999999999989,76.181,NA
5,2024-07-11,DIC,36.08801,36.08801,11,7,2024,5,stream,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
5,2024-07-11,DOC,113.523,113.523,11,7,2024,5,stream,203.50544450080935,low,0.27717651435302865,1.0965000000000007,76.703,NA
15,2024-07-11,DIC,10.38323,10.38323,11,7,2024,15,stream,48.210500049842786,low,0.2369956994459443,0.8025000000000002,76.528,NA
15,2024-07-11,DOC,131.518,131.518,11,7,2024,15,stream,48.210500049842786,low,0.2369956994459443,0.8025000000000002,76.528,NA
