Date,LowSpC,FullSpC,ID,day,NaCl_g,Reach_m,elapsed,time_group.x,time_group.y,mean_prior,SpC_cor,NaCl,tC,single_mass,total_mass,m_0,m_1,t_star,u_mean,Q
2021-03-30T14:00:10Z,54.2,54.4,15,2021-03-30,1200,27.4,0,prior,prior,54.1,0.10000000000000142,0.051000000000000725,0,0.2550000000000036,0.2550000000000036,5479.695000000001,4843832.100000001,883.9601656661548,0.030996871877536792,218.99029051799414
2021-04-06T16:27:10Z,83.2,82.8,6,2021-04-06,2000,50,0,prior,prior,83.9,-0.7000000000000028,-0.3570000000000015,-0,-1.7850000000000075,-1.7850000000000075,1452.9899999999996,112025.32499999995,77.09985959985958,0.6485096115543518,1376.4719647072593
2021-04-06T14:46:10Z,79.8,79.6,6a,2021-04-06,200,25.9,0,prior,prior,79.75,0.04999999999999716,0.02549999999999855,0,0.12749999999999276,0.12749999999999276,2494.4099999999994,756463.2374999993,303.2633919443875,0.0854043075688791,80.17928087202988
2021-04-06T13:04:10Z,131.6,130.5,7,2021-04-06,250,38.1,0,prior,prior,131.6,0,0,0,0,0,2261.8500000000017,1479239.6999999995,653.9954904171357,0.058257282440432136,110.52899175453713
2021-04-13T14:34:10Z,157.9,156.7,13,2021-04-13,100,20.1,0,prior,prior,157.85000000000002,0.04999999999998295,0.025499999999991304,0,0.1274999999999565,0.1274999999999565,6742.7099999999955,963001.1249999991,142.8210800998411,0.14073552717812252,14.830832113497403
2021-04-13T10:23:10Z,121,120.6,3,2021-04-13,400,30.5,0,prior,prior,121,0,0,0,0,0,1989.7649999999999,618325.2749999999,310.75291554530304,0.09814871711333491,201.02876470336952
2021-04-13T11:51:10Z,89.5,89.6,5a,2021-04-13,100,18,0,prior,prior,89.5,0,0,0,0,0,4307.205000000001,2660259.4500000007,617.6300988692203,0.0291436573977775,23.21691212747013
2021-04-16T12:24:10Z,152.3,151.3,9,2021-04-16,500,33.5,0,prior,prior,152.7,-0.39999999999997726,-0.2039999999999884,-0,-1.019999999999942,-1.019999999999942,1694.4750000000045,-315645.37499999837,-186.2791572610971,-0.17983761840324905,295.07664615883897
2021-06-24T12:55:10Z,105.8,104,3,2021-06-24,1400,41,0,prior,prior,105.8,0,0,0,0,0,3360.6450000000004,625929.3750000001,186.25275058805676,0.2201309772368488,416.58669689895834
2021-06-24T11:33:10Z,84,80.2,6a,2021-06-24,1200,39,0,prior,prior,84,0,0,0,0,0,12283.86,5612459.475,456.8970563813003,0.08535839628490147,97.68916285271892
2021-06-24T14:14:10Z,120.8,120.1,7,2021-06-24,600,35.1,0,prior,prior,120.8,0,0,0,0,0,4130.490000000002,1634483.7000000011,395.71181627361415,0.08870091454567577,145.2612159816389
