ID,buffer_radius,proportion,nearest_wetland,wetland_perc
3,1000,0.245348858,289.0576264,NA
5,1000,0.079817864,1880.396484,15.5119851557
7,1000,0.328481735,19.7182806,26.6303941674
9,1000,0.133705212,2410.681052,29.4653692406
6,1000,0.620182518,860.0941836,21.3757122373
13,1000,0.170036649,232.8821912,23.5994285746
6a,1000,0.281176023,131.2151002,29.3249435721
14,1000,0.083392972,986.4710063,18.239876613
15,1000,0.073482633,819.3335007,12.9677400242
3,2000,0.335538607,289.0576264,NA
5,2000,0.195645899,1880.396484,15.5119851557
7,2000,0.237783462,19.7182806,26.6303941674
9,2000,0.174906074,2410.681052,29.4653692406
6,2000,0.643348642,860.0941836,21.3757122373
13,2000,0.14858477,232.8821912,23.5994285746
6a,2000,0.413997086,131.2151002,29.3249435721
14,2000,0.095959114,986.4710063,18.239876613
15,2000,0.162429439,819.3335007,12.9677400242
3,250,0.22340328,289.0576264,NA
5,250,0.157990481,1880.396484,15.5119851557
7,250,0.613189568,19.7182806,26.6303941674
9,250,0.131763195,2410.681052,29.4653692406
6,250,0.214496092,860.0941836,21.3757122373
13,250,0.462857842,232.8821912,23.5994285746
6a,250,0.034023623,131.2151002,29.3249435721
14,250,0.158082203,986.4710063,18.239876613
15,250,0.145414429,819.3335007,12.9677400242
3,500,0.215892245,289.0576264,NA
5,500,0.116918496,1880.396484,15.5119851557
7,500,0.459572739,19.7182806,26.6303941674
9,500,0.189260406,2410.681052,29.4653692406
6,500,0.459647881,860.0941836,21.3757122373
13,500,0.271170726,232.8821912,23.5994285746
6a,500,0.10530599,131.2151002,29.3249435721
14,500,0.092288726,986.4710063,18.239876613
15,500,0.083841067,819.3335007,12.9677400242
