Date,ID,Q,Q_m3.s,depth,Water_press,u,width,K600,reach,A,bf
2024-04-18,13,5.9512582765551985,0.005951258276555198,0.07130000974287644,0.6405535714285712,0.1384270477363206,0.6029735371488004,35.27339644665188,237.3479361352326,143.1145245864288,3.387545942338266
2024-04-19,13,5.476348956198568,0.005476348956198568,0.06767788399213168,0.6354125000000002,0.13213238734609012,0.6123998284595107,77.42714047685588,103.21144158849917,63.2066691238557,3.1613909247497713
2024-04-20,13,4.915644418342079,0.004915644418342078,0.06348289454154644,0.6294583333333331,0.12486544781683954,0.6201281704187205,27.183324194194036,277.81231721378003,172.2792439935666,2.937437831707555
2024-04-21,13,4.607916054486483,0.004607916054486483,0.06113440499608277,0.6261250000000002,0.12078409881737397,0.6240352258095992,44.339713970043434,164.75122734012578,102.81056935560402,2.716220277915212
2024-04-22,13,4.99468032077145,0.00499468032077145,0.06412872916654913,0.6303749999999999,0.12600093096321013,0.6181321170265437,21.892537945489515,348.0882994758036,215.164557467148,2.4984409329544643
2024-04-23,13,4.462118588693897,0.004462118588693898,0.05991025482050946,0.6243874999999998,0.11862193438243335,0.6278775277574903,48.89663618001273,146.722865864179,92.12399028429458,2.284421449747924
2024-04-24,13,3.949317965878039,0.003949317965878039,0.055630132623901665,0.6183125000000002,0.11106678308098607,0.6391868215948523,32.47528492957067,206.8440370979323,132.21198263847506,2.074315045068459
2024-04-25,13,3.496848371233683,0.003496848371233683,0.05174044681422704,0.6127916666666668,0.10416657873586035,0.648811032147052,29.819108617801433,211.2737427095275,137.07673507293924,1.8685091609609037
2024-04-26,13,3.2185174814053448,0.0032185174814053446,0.04923636983637612,0.6092375000000002,0.09968981032331112,0.6557209772524462,62.79012779326837,96.02209678891975,62.96370314425943,1.6675302911134897
2024-04-27,13,3.3297372921761004,0.0033297372921761003,0.05028731890797116,0.6107291666666668,0.10158418428051755,0.651816561516694,38.633704228399345,159.02724286969695,103.65659063480605,1.471472010054044
2024-04-28,13,3.0441867753036407,0.0030441867753036407,0.04755426419943757,0.6068500000000002,0.09664607614085524,0.6623653455585744,32.050958341002854,182.37066807207466,120.79601057730781,1.2788618255161588
2024-04-29,13,2.839570612779439,0.0028395706127794388,0.045654923279543506,0.6041541666666667,0.0932324328948531,0.6671109025644315,26.311055069356417,214.3090623548545,142.96791201528401,1.0885989303827182
2024-04-30,13,2.4744998872866666,0.0024744998872866667,0.04202357131986984,0.599,0.08662714159054868,0.6797363519820254,32.99131614493533,158.80571421824536,107.94601685661017,0.8997875504431841
2024-05-01,13,2.3470105280478086,0.0023470105280478087,0.0406996103386145,0.5971208333333332,0.08420113056634267,0.6848679827975188,30.219085604604977,168.51881103498312,115.41313817696513,0.743456136729561
2024-05-02,13,2.2580792554533247,0.002258079255453325,0.0397543432965653,0.5957791666666666,0.0824621650983282,0.6888106668906938,21.56407942914227,231.27867626043442,159.30721923254671,0.7037967321238875
2024-05-03,13,2.0644857505371217,0.0020644857505371216,0.037628960257920493,0.5927625,0.07852954271825315,0.6986450764323948,20.97923554382467,226.38893269864525,158.1655131886933,0.6670197676302054
2024-05-04,13,1.9543404236111628,0.001954340423611163,0.03639600324655181,0.5910124999999998,0.07624039805592908,0.7043059621924636,14.227899550878286,324.0829229875996,228.2535349049274,0.6326151454719473
2024-05-05,13,2.2909374554112234,0.0022909374554112233,0.039883510221565985,0.5959625000000002,0.08262989949239292,0.6951565734725572,13.784578972065214,362.5396416841886,252.02181506114923,0.6003312586195186
2024-05-06,13,2.87218846930853,0.00287218846930853,0.045872158562498946,0.6044625,0.0935952165517079,0.6689753325261941,22.962380566351857,246.5179374886837,164.9144192051637,0.5699876418619759
2024-05-07,13,2.345263542516655,0.0023452635425166546,0.04063013418956145,0.5970222222222225,0.08405697064123772,0.6867041333971268,34.70936460780598,146.46668534055334,100.57927822833433,0.5414891691360062
2024-05-08,13,2.1539763334881235,0.0021539763334881236,0.03863671389680409,0.5941928571428567,0.08040204780313817,0.6933837111508867,34.70936460780598,140.0980947383921,97.14173685487482,0.5142019758678721
2024-05-09,13,1.407059147046714,0.001407059147046714,0.029905365265276426,0.58180000000000065,0.06406971021958947,0.7343624850379673,34.70936460780598,111.6394989613067,81.98385988561876,0.48765497190879054
2024-05-10,13,2.2852698183703066,0.0022852698183703068,0.039769021356224274,0.5957999999999997,0.0824054902248393,0.6973269222847925,34.70936460780598,143.58903152256,100.12849742548082,0.46169158776766644
2024-05-11,13,2.0577083810497125,0.0020577083810497127,0.0375496987357612,0.5926500000000002,0.07838088589111972,0.6991449125093929,34.70936460780598,136.5762822874841,95.48661293074123,0.43625764514764603
2024-05-12,13,1.5740430723465442,0.0015740430723465441,0.03189864576698863,0.5846291666666669,0.06781052629798573,0.7276914151233835,12.053694802460624,340.2426142119483,247.59162942117212,0.4112790833019311
2024-05-13,13,2.039282696745847,0.0020392826967458467,0.03588227115848168,0.5902833333333334,0.0748676087418721,0.7591079651824209,8.912604342124203,508.0437549894912,385.6600610737091,0.3870580640186094
2024-05-14,13,5.664199488799351,0.005664199488799351,0.06912514067452391,0.637466666666667,0.13465266807770312,0.6085377847034816,34.70936460780598,234.62813155352265,142.78008340469773,0.36353393190648353
2024-05-15,13,6.845847497930476,0.006845847497930477,0.0760448960470113,0.6472882352941176,0.14609635926801331,0.6161944130962393,34.70936460780598,254.5684113889624,156.8636328486637,0.34073737117279407
2024-05-16,13,4.640698283747877,0.004640698283747877,0.061275314368810375,0.6263249999999998,0.12099420201349395,0.6259407499652904,34.70936460780598,210.82867463757574,131.96625871683236,0.31878635880672246
2024-05-17,13,3.4988814129460475,0.0034988814129460473,0.051784747867016284,0.6128545454545453,0.10425369348134664,0.6480908756763255,27.231001984056352,231.54724109834638,150.06365424386456,0.29736383360432955
2024-05-18,13,3.213146157716435,0.003213146157716435,0.04921288494092138,0.6092041666666667,0.09965555059714472,0.6551642072203299,55.22048842709761,109.14730875791531,71.50941001261215,0.276630258941826
2024-05-19,13,3.3711665363611476,0.0033711665363611474,0.05059679420794258,0.6111684210526317,0.1021178427845054,0.6524625279452226,34.70936460780598,177.93719940980745,116.09735494241615,0.257062796389098
2024-05-20,13,3.049359079905303,0.003049359079905303,0.04768049551250604,0.6070291666666665,0.09689773989844715,0.6600155392351249,18.20498981061664,321.9103866589629,212.46585743610297,0.23846135108406125
2024-05-21,13,2.807512855237485,0.002807512855237485,0.04531732790738297,0.6036749999999999,0.09261258617610689,0.6689404337161571,18.803117695732812,297.887260111236,199.26883297732792,0.22061286855299972
2024-05-22,13,2.4200968519410146,0.0024200968519410147,0.04144232015736758,0.598175,0.085557022550345585,0.6825477240763208,21.244197321095847,243.5718632073967,166.24942088123754,0.20320606360017415
2024-05-23,13,2.048622655525542,0.0020486226555255418,0.03746456598973785,0.5925291666666664,0.07822879510561614,0.6989958932175216,13.55878353737709,348.9455757550147,243.91152440917887,0.18595733018794142
2024-05-24,13,1.7243077554655586,0.0017243077554655586,0.03373105473483678,0.5872300000000001,0.07126299539457884,0.7173329614491067,34.70936460780598,124.17357707823989,89.07379977926274,0.16884995132302247
2024-05-25,13,1.6092102219849247,0.0016092102219849246,0.032324309497103534,0.5852333333333329,0.06861116002323438,0.7255857821760014,34.70936460780598,119.55283552704356,86.74583767724876,0.15198952854859804
2024-05-26,13,1.4018897389923761,0.001401889738992376,0.029712541913122045,0.5815263157894737,0.06366068364759327,0.7411442634198638,34.70936460780598,110.92678274325274,82.21274868978331,0.13582468092267683
2024-05-27,13,1.086673796956571,0.0010866737969565709,0.02534594056201086,0.5753285714285713,0.055244038239782,0.7760779881006509,34.70936460780598,96.26103705714635,74.70607197179234,0.12021633597401
2024-05-28,13,0.9879428182633009,9.87942818263301e-4,0.02400555109410611,0.5734260869565218,0.052671984700363376,0.7813406958712793,34.70936460780598,91.77931289360306,71.71091220287569,0.10512424725790938
2024-05-29,13,0.9176027268413618,9.176027268413618e-4,0.022783570718656686,0.5716916666666668,0.050225709421596924,0.8018752822288034,7.147928452329119,424.9694056224607,340.77246207211755,0.09070834360689521
2024-05-30,13,0.8585160258276657,8.585160258276658e-4,0.021803076333425354,0.5703,0.048274553479890035,0.8156660115239484,9.726835205415968,300.1639210293263,244.83350826937996,0.07715286207745707
2024-06-20,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-06-21,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-06-22,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-06-23,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-06-24,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-06-25,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-06-26,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-06-27,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-06-28,13,0.3785109141113284,3.7851091411132844e-4,0.013002645509423419,0.5578090909090911,0.03038163386618696,0.9581545325518798,34.70936460780598,52.939062324804006,50.72380251555741,0.017789360549727948
2024-06-29,13,0.23087454323187181,2.308745432318718e-4,0.00903316442996493,0.532890909090909,0.021656018261786005,1.1802052018886058,34.70936460780598,37.734945576568094,44.534979062449096,0.014568389155946168
2024-06-30,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-07-01,13,NA,NA,NA,NA,NA,NA,34.70936460780598,NA,NA,NA
2024-07-02,13,1.3597733097752946,0.0013597733097752947,0.026644319782146413,0.5771714285714291,0.0570419653068084,0.8946793115230111,34.70936460780598,99.39386965844673,88.92563887562702,0.012149476175142422
2024-07-03,13,0.3589921213172982,3.589921213172982e-4,0.012411881080446534,0.5556833333333333,0.029065450575519902,0.9951080777750179,34.70936460780598,50.64565343302495,50.397898835397186,0.01041324706535852
2024-07-04,13,0.3862302852965319,3.8623028529653194e-4,0.013497251640967966,0.5585111111111112,0.031557351011256556,0.9067768822774457,34.70936460780598,54.98771327930225,49.86158721097179,0.009181824486817751
2024-07-05,13,0.5109136943568516,5.109136943568516e-4,0.016201928767493844,0.56235,0.03719402979258938,0.8478276782337457,34.70936460780598,64.80945264408281,54.947247762832625,0.008418803137987752
2024-07-06,13,0.36322766853909727,3.632276685390973e-4,0.012843588717480358,0.5575833333333332,0.030143297701759032,0.9382137001265585,34.70936460780598,52.523768890669544,49.278519555507295,0.007924822616651703
2024-07-07,13,0.2759234676953435,2.7592346769534347e-4,0.01086338503255511,0.5547727272727272,0.02597180155599704,0.9779606735519092,34.70936460780598,45.25506519221734,44.25767403701643,0.007292895563591037
2024-07-08,13,1.25954025138741,0.0012595402513874102,0.023057169750703058,0.5696249999999999,0.04926227475950379,1.1088979785936943,34.70936460780598,85.83799822093945,95.18558271372889,0.006655806448531353
2024-07-09,13,1.3151406244515969,0.0013151406244515968,0.028326006045951348,0.5795583333333332,0.060930856105757096,0.7619905222239549,34.70936460780598,106.17014223439362,80.90064212577717,0.00603001147843438
2024-07-10,13,1.540832307908307,0.0015408323079083071,0.031525823051645904,0.5840999999999997,0.06711889219568752,0.7281890812539009,34.70936460780598,116.95260474696939,85.16360980094625,0.0054674722848068215
2024-07-11,13,1.151412413009594,0.001151412413009594,0.026049572429723677,0.5763272727272732,0.05653058772434037,0.7818920675868055,34.70936460780598,98.50280995346122,77.01856573762197,0.004956028081753231
