Date,ID,Site,surface2WT,Distance_m,DistanceID,surface_elevation_m,WT.ID,WT_elevations,well_types,qL_m2.sec,stream.w,stream.depth
NA,NA,5GW0,NA,0,NA,0,0,NA,stream,NA,NA,NA
2024-04-18T00:00:00Z,5,5GW1,-1.34,4.2672,4,4.554000000000002,4,5.894000000000002,RW,6.298746797145639e-6,2.5901293262193525,0.147406816631815
2024-05-08T00:00:00Z,5,5GW1,-1.03,4.2672,4,4.554000000000002,4,5.584000000000002,RW,3.2775723380919713e-6,3.2999317545506135,0.090934675715505
2024-05-30T00:00:00Z,5,5GW1,-0.8300000000000001,4.2672,4,4.554000000000002,4,5.384000000000002,RW,3.209778864709591e-7,5.075972786086192,0.03865729843347802
2024-06-20T00:00:00Z,5,5GW1,-0.8500000000000001,4.2672,4,4.554000000000002,4,5.404000000000002,RW,NA,NA,NA
2024-07-11T00:00:00Z,5,5GW1,0.2,4.2672,4,4.554000000000002,4,4.354000000000002,RW,5.582451516296543e-7,1.7682198723874478,0.3167094279643104
2024-07-29T00:00:00Z,5,5GW1,0.04,4.2672,4,4.554000000000002,4,4.514000000000002,RW,2.5667055893192537e-6,1.4408277429669618,0.47694777291652474
2024-08-30T00:00:00Z,5,5GW1,0.056,4.2672,4,4.554000000000002,4,4.498000000000002,RW,3.354281527563948e-6,3.798367048492008,0.06910523957411556
2024-10-04T00:00:00Z,5,5GW1,0.065,4.2672,4,4.554000000000002,4,4.489000000000002,RW,6.266479080132848e-6,2.7590340352811196,0.13001805807807423
2024-11-01T00:00:00Z,5,5GW1,-0.792,4.2672,4,4.554000000000002,4,5.346000000000002,RW,3.731327954257712e-6,4.8447636126902,0.04217687132343951
2024-12-09T00:00:00Z,5,5GW1,-1.01,4.2672,4,4.554000000000002,4,5.564000000000002,RW,3.485996300937013e-6,5.027002492172216,0.03910915685467742
2025-01-10T00:00:00Z,5,5GW1,-0.56,4.2672,4,4.554000000000002,4,5.1140000000000025,RW,4.511593448978033e-6,4.696504891901518,0.04481011522629099
2025-01-30T00:00:00Z,5,5GW1,0.025000000000000022,4.2672,4,4.554000000000002,4,4.529000000000002,RW,5.9112568878031105e-6,2.369574329794122,0.1761141657131801
2025-03-12T00:00:00Z,5,5GW1,0.04,4.2672,4,4.554000000000002,4,4.514000000000002,RW,1.138535781196094e-5,1.7346006374903664,0.3289333160484501
2025-04-17T00:00:00Z,5,5GW1,NA,4.2672,4,4.554000000000002,4,NA,RW,1.016943918364715e-6,4.475636933409144,0.04940728351153666
2024-04-18T00:00:00Z,5,5GW2,-1.05,2.1336,3,4.082999999999998,3,5.132999999999998,RW,6.298746797145639e-6,2.5901293262193525,0.147406816631815
2024-05-08T00:00:00Z,5,5GW2,-0.29,2.1336,3,4.082999999999998,3,4.3729999999999984,RW,3.2775723380919713e-6,3.2999317545506135,0.090934675715505
2024-05-30T00:00:00Z,5,5GW2,-0.35000000000000003,2.1336,3,4.082999999999998,3,4.432999999999998,RW,3.209778864709591e-7,5.075972786086192,0.03865729843347802
2024-06-20T00:00:00Z,5,5GW2,-1.55,2.1336,3,4.082999999999998,3,5.632999999999998,RW,NA,NA,NA
