Site,Sample Date,Result(NPOC),NPOC,Vial,DF
7,6/1/2023,100,100,,1
5a,6/1/2023,0.6503,0.6503,,1
6,6/1/2023,15.12,15.12,,1
6a,6/1/2023,23.31,23.31,,1
,6/1/2023,77.26,77.26,,1
13,6/1/2023,93.49,93.49,,1
14,6/1/2023,21.94,21.94,,1
6,7/7/2023,55.7,55.7,,1
15,7/4/2023,72,72,,1
5,7/7/2023,56.18,56.18,,1
6a,7/7/2023,75.23,75.23,,1
13,7/7/2023,73.21,73.21,,1
14,7/7/2023,16.52,16.52,,1
13,9/28/2023,38.27,38.27,,1
6,9/28/2023,5.869,5.869,,1
7,9/28/2023,75.47,75.47,,1
5a,9/13/2023,69.41,69.41,,1
5,9/13/2023,67.66,67.66,,1
5a,10/31/2023,55.18,55.18,,1
5a,11/1/2023,14.63,14.63,,1
13,11/1/2023,60.79,60.79,,1
14,11/1/2023,4.455,4.455,,1
5,12/7/2023,17.41,17.41,,1
5a,12/7/2023,6.253,6.253,,1
7,12/7/2023,27.15,27.15,,1
15,12/7/2023,36.42,36.42,,1
3,2/8/2024,38.68,38.68,,1
6a,2/8/2024,43.72,43.72,,1
7,2/8/2024,83.91,83.91,,1
13,2/8/2024,64.28,64.28,,1
13,3/4/2023,70.7,70.7,,1
3,3/25/2024,34.15,34.15,,1
5,3/25/2024,34.22,34.22,,1
5a,3/25/2024,79.89,79.89,,1
6,3/25/2024,30.92,30.92,,1
6a,3/25/2024,45.44,45.44,,1
7,3/25/2024,60.99,60.99,,1
9,3/25/2024,66.34,66.34,,1
13,3/25/2024,67.32,67.32,,1
15,3/25/2024,81.4,81.4,,1
9GW1,3/25/2024,28.16,28.16,,1
,,38.33,38.33,,1
,,140.2,140.2,,1
