Date,Rep,,FDOM,CO2,CO2hi
8/2/2023 16:00,0,12.68,0.6148157,117.3777,206.9447
8/2/2023 17:00,1,12.61,0.6367798,13048.54,4423.219
8/2/2023 18:00,2,12.61,0.6261318,14707.26,4420.889
8/2/2023 19:00,3,12.58,0.6311581,15318.56,4425.399
8/2/2023 20:00,4,12.58,0.6291304,15545.04,4418.544
8/2/2023 21:00,5,12.57,0.6362994,15649.47,4418.945
8/2/2023 22:00,6,12.57,0.633544,15658.06,4411.995
8/2/2023 23:00,7,12.55,0.6433852,15583.65,4409.541
8/3/2023 0:00,8,12.56,0.6086673,15416.22,4398.093
8/3/2023 1:00,9,12.54,0.6149548,15363.27,4390.325
8/3/2023 2:00,10,12.55,0.6278032,15231.62,4399.729
8/3/2023 3:00,11,12.53,0.6140871,15089.95,4373.562
8/3/2023 4:00,12,12.54,0.6375513,15124.3,4378.877
8/3/2023 5:00,13,12.53,0.6186736,15125.73,4380.512
8/3/2023 6:00,14,12.54,0.6232984,15157.21,4365.384
8/3/2023 7:00,15,12.52,0.6333901,15138.61,4346.986
8/3/2023 8:00,16,12.53,0.6109603,15197.28,4353.119
8/3/2023 9:00,17,12.51,0.6232088,15307.46,4383.375
8/3/2023 10:00,18,12.54,0.643349,15350.39,4392.369
8/3/2023 11:00,19,12.53,0.6406503,15494.93,4411.585
8/3/2023 12:00,20,12.54,0.6511164,15605.11,4434.481
8/3/2023 13:00,21,12.53,0.6453448,15699.79,4456.209
8/3/2023 14:00,22,12.55,0.6474555,15795.8,4469.313
8/3/2023 15:00,23,12.54,0.6518173,15744.62,4452.64
8/3/2023 16:00,24,12.55,0.6523867,15759.95,4459.476
8/3/2023 17:00,25,12.55,0.638157,15790.45,4465.325
8/3/2023 18:00,26,12.56,0.6408769,15847.62,4483.705
8/3/2023 19:00,27,12.54,0.640079,15968.38,4494.093
8/3/2023 20:00,28,12.54,0.6349344,15984.28,4486.377
8/3/2023 21:00,29,12.53,0.6238892,16017.26,4474.145
8/3/2023 22:00,30,12.53,0.6327363,16083.07,4466.781
8/3/2023 23:00,31,12.52,0.6174151,16170.36,4454.107
8/4/2023 0:00,32,12.51,0.6384646,16220.45,4454.516
8/4/2023 1:00,33,12.5,0.6619743,16319.19,4467.19
8/4/2023 2:00,34,12.51,0.6215157,16370.7,4464.328
8/4/2023 3:00,35,12.5,0.6431119,16320.62,4436.935
8/4/2023 4:00,36,12.5,0.6362776,16326.34,4434.891
8/4/2023 5:00,37,12.49,0.6343641,16290.57,4437.752
8/4/2023 6:00,38,12.5,0.6414636,16214.72,4431.211
8/4/2023 7:00,39,12.48,0.6477118,16128.86,4423.034
8/4/2023 8:00,40,12.49,0.6529188,16065.9,4423.851
8/4/2023 9:00,41,12.48,0.6381825,16018.67,4427.122
8/4/2023 10:00,42,12.49,0.6425639,16074.48,4434.073
8/4/2023 11:00,43,12.49,0.643481,16055.88,4432.846
8/4/2023 12:00,44,12.5,0.6425505,16148.93,4457.796
8/4/2023 13:00,45,12.49,0.6403666,16070.62,4433.769
8/4/2023 14:00,46,12.5,0.6329542,16043.08,4434.503
8/4/2023 15:00,47,12.48,0.647773,15829.78,4445.93
8/4/2023 16:00,48,12.49,0.6395581,15633.73,4429.167
8/4/2023 17:00,49,12.48,0.6316304,15696.7,4439.388
8/4/2023 18:00,50,12.49,0.6340907,15875.57,4446.338
8/4/2023 19:00,51,12.47,0.6332706,15845.52,4429.167
8/4/2023 20:00,52,12.48,0.6493993,15907.06,4442.659
8/4/2023 21:00,53,12.47,0.6562336,15855.54,4433.664
8/4/2023 22:00,54,12.48,0.6327238,15848.38,4416.901
8/4/2023 23:00,55,12.46,0.631357,15859.83,4413.63
8/5/2023 0:00,56,12.47,0.6422917,15849.82,4417.31
8/5/2023 1:00,57,12.45,0.6321729,15856.97,4411.585
8/5/2023 2:00,58,12.46,0.6321574,15848.38,4411.585
8/5/2023 3:00,59,12.45,0.6509734,15779.7,4398.502
8/5/2023 4:00,60,12.46,0.6356152,15791.14,4391.143
8/5/2023 5:00,61,12.44,0.6287794,15775.4,4394.822
