Date,Rep,V,FDOM,CO2
4/3/2023 12:00,0,13.41,0.421412,
4/3/2023 13:00,1,13.46,0.4150553,
4/3/2023 14:00,2,13.62,0.3743119,
4/3/2023 15:00,3,13.35,0.3760769,
4/3/2023 16:00,4,13.26,0.404348,
4/3/2023 17:00,5,13.1,0.4081546,
4/3/2023 18:00,6,13.05,0.4075067,
4/3/2023 19:00,7,13.04,0.3599301,
4/3/2023 20:00,8,13.01,0.3826203,
4/3/2023 21:00,9,13,0.3828824,
4/3/2023 22:00,10,12.98,0.3701396,
4/3/2023 23:00,11,12.97,0.3877023,
4/4/2023 0:00,12,12.96,0.3647728,
4/4/2023 1:00,13,12.94,0.3931116,
4/4/2023 2:00,14,12.93,0.3595978,
4/4/2023 3:00,15,12.9,0.3746159,
4/4/2023 4:00,16,12.88,0.3791352,
4/4/2023 5:00,17,12.87,0.3682174,
4/4/2023 6:00,18,12.86,0.3639932,
4/4/2023 7:00,19,12.83,0.3709565,
4/4/2023 8:00,20,12.83,0.3870401,
4/4/2023 9:00,21,12.92,0.4398354,
4/4/2023 10:00,22,13.01,0.3614998,
4/4/2023 11:00,23,13.3,0.3837572,
4/4/2023 12:00,24,13.35,0.4990313,
4/4/2023 13:00,25,13.38,0.4068221,
4/4/2023 14:00,26,14.43,0.3609115,
4/4/2023 15:00,27,13.23,0.3917358,
4/4/2023 16:00,28,13.17,0.4280727,
4/4/2023 17:00,29,13.1,0.39891,
4/4/2023 18:00,30,13.05,0.4278076,
4/4/2023 19:00,31,13.04,0.386405,
4/4/2023 20:00,32,13.02,0.3837689,
4/4/2023 21:00,33,13,0.3981398,
4/4/2023 22:00,34,12.99,0.4038243,
4/4/2023 23:00,35,12.97,0.3666462,
4/5/2023 0:00,36,12.95,0.3947023,
4/5/2023 1:00,37,12.92,0.3613411,
4/5/2023 2:00,38,12.91,0.3789155,
4/5/2023 3:00,39,12.89,0.3746694,
4/5/2023 4:00,40,12.88,0.3766286,
4/5/2023 5:00,41,12.86,0.3692196,
4/5/2023 6:00,42,12.86,0.3815135,
4/5/2023 7:00,43,12.84,0.4025896,
4/5/2023 8:00,44,12.88,0.4027459,
4/5/2023 9:00,45,12.85,0.3613717,
4/5/2023 10:00,46,12.88,0.4099265,
4/5/2023 11:00,47,12.98,0.4082941,
4/5/2023 12:00,48,13.06,0.4413025,
4/5/2023 13:00,49,13.24,0.4213976,
4/5/2023 14:00,50,14.37,0.3410948,
4/5/2023 15:00,51,13.27,0.4163555,
4/5/2023 16:00,52,13.2,0.3719059,
4/5/2023 17:00,53,13.11,0.4208098,
4/5/2023 18:00,54,13.05,0.408774,
4/5/2023 19:00,55,13.04,0.4012398,
4/5/2023 20:00,56,13.02,0.4012463,
4/5/2023 21:00,57,13,0.4078796,
4/5/2023 22:00,58,12.99,0.3923811,
4/5/2023 23:00,59,12.98,0.3913123,
4/6/2023 0:00,60,12.96,0.3680798,
4/6/2023 1:00,61,12.95,0.3951853,
4/6/2023 2:00,62,12.93,0.3739338,
4/6/2023 3:00,63,12.91,0.408959,
4/6/2023 4:00,64,12.9,0.3663405,
4/6/2023 5:00,65,12.88,0.3833292,
4/6/2023 6:00,66,12.87,0.3951378,
4/6/2023 7:00,67,12.84,0.3880163,
4/6/2023 8:00,68,12.85,0.3892339,
4/6/2023 9:00,69,12.89,0.3981858,
4/6/2023 10:00,70,12.92,0.380508,
4/6/2023 11:00,71,13.1,0.4109001,
4/6/2023 12:00,72,13.12,0.4373326,
4/6/2023 13:00,73,13.31,0.4237251,
