"sample","a250","a254","a300","a365","a272","a340","a350","a400","a405","E2_E3","E4_E6","S325_375","S275_295","S350_400","S300_700","SR","E3_E4","site_date","site","Date"
"B1S1S3_12072023",2021.04279090963,1958.91655935764,1119.08989603279,436.34422838594,1632.53761118075,653.990965551068,563.068704950453,225.65217415668,205.215967372249,4.63176240095021,37.0528864772805,0.0152304427616602,0.0140843335218244,0.0179987356396068,0.01624107433552,0.782517939250764,0.333853406071325,"3_12072023","3",2023-12-07
"B1S2S5_12072023",458.325064790929,445.903494941375,260.934460149132,101.957592235447,373.97248190415,152.583035895176,131.285145112646,53.3362704405018,48.4890086979467,4.49525194487268,33.4437133349875,0.0152778447561928,0.0132332912531336,0.0177337628628379,0.0162530539724526,0.74622015392259,0.342188472676663,"5_12072023","5",2023-12-07
"B1S3S6_12072023",1177.69337593479,1138.55358741082,617.189575877427,226.308239650925,935.783227486511,349.27240678801,297.561054047584,110.235750358386,99.2427005750108,5.20393503016662,54.1264013753214,0.0163137410449104,0.0155993324032231,0.0194587470266441,0.0177661149860892,0.801661709351766,0.306768526883559,"6_12072023","6",2023-12-07
"B2S4S7_12072023",417.089094419577,400.672001461157,206.531212387333,72.7760384900797,318.842251865921,113.215409152511,96.0371465653439,35.296973043106,31.8919335412208,5.73113215658794,33.5385208842633,0.0167826674556234,0.0161090860267936,0.0196587734367493,0.0177304456512643,0.819434949928254,0.282563814640507,"7_12072023","7",2023-12-07
"B2S5S9_12072023",1665.33883535862,1611.16156955427,895.144102238541,332.083739708579,1338.04630705161,510.671850384089,436.359422812803,161.019749415915,145.034804888466,5.01481595220545,40.1797949714341,0.016046509020165,0.0148541844762768,0.0195195208483979,0.0175495650684002,0.760991245207539,0.316958807877578,"9_12072023","9",2023-12-07
"B2S6S13_12072023",102.598786252987,97.7373680558813,53.3337347330065,21.1071776810589,80.9661953610957,30.6012464424808,26.4708801354935,12.1534234995235,11.2686617777509,4.86084818175655,420.198069394474,0.0145238833909497,0.0152339416381793,0.0156296743456042,0.0147238184205329,0.974680681204583,0.313096690152169,"13_12072023","13",2023-12-07
"B2S7S14_12072023",584.980998733987,567.630298740014,322.366259177308,123.599145859341,471.9924517407,185.100932410725,159.130556131302,64.3400905483888,58.5058203231624,4.7328886835489,26.3475328509231,0.0154348972103111,0.0138020467769083,0.0178787436148633,0.016380382509821,0.77198079877571,0.32609417224838,"14_12072023","14",2023-12-07
"B2S8S15_12072023",748.79081795265,726.731521681226,407.251092601496,153.592861647366,599.59636063198,232.96806626456,199.595686872737,77.1583805764556,69.7258604884989,4.8751667878407,87.6389162764549,0.0157392835276567,0.0143241280513059,0.0186293808169751,0.0169783862416906,0.768899846539918,0.320569645480095,"15_12072023","15",2023-12-07
"B1S10S15_01152024",555.995483318189,542.083753135969,311.789015351652,120.207180046819,450.586274256931,181.607743779596,155.838282091936,61.0017278212851,55.0137610315162,4.62531009463524,-266.857784394681,0.0155232585715657,0.0136449761524545,0.0184799400301423,0.0168316993278088,0.73836690650502,0.335017868971335,"15_01152024","15",2024-01-15
"B1S11S5a_01152024",591.495854015411,575.963110268576,324.06771800385,125.63799882665,474.966431563823,189.019475766274,162.263597435042,64.9831507014916,59.0134040438354,4.70793756299423,235.230307908826,0.0153274172699771,0.014226705388105,0.0180112405997298,0.0162937988568579,0.789879259528542,0.328179830264013,"5a_01152024","5a",2024-01-15
"B1S1S3_01152024",829.301012473315,798.674688122461,469.774245614921,198.627814668944,674.297427772849,284.714171631365,248.575669173314,110.175747320036,100.803259045447,4.17515046347121,44.3258971913226,0.0138814591692807,0.0137870766449338,0.0159544632630395,0.0150298829550565,0.864151705866111,0.356483278943867,"3_01152024","3",2024-01-15
"B1S2S5_01152024",521.01419494405,504.067910367903,295.052799950225,121.800294103212,422.482822061654,176.598448998708,153.370361317615,67.3415954089125,61.452704876892,4.27761031925381,64.2157321884823,0.0143243605309757,0.0134234673258041,0.0161987565063044,0.0152781818496877,0.828672702165743,0.35034654134165,"5_01152024","5",2024-01-15
"B1S3S5a_01152024",579.244593575958,559.199807675711,324.687345847787,131.456268165082,465.028553334279,191.738267917598,166.018493525103,72.5904000265522,66.3103570447276,4.4063672403095,201.151917845981,0.0146140813295969,0.0134379761702298,0.0163740705888596,0.0151448943291651,0.820686346580952,0.342879710053102,"5a_01152024","5a",2024-01-15
"B1S4S6_01152024",617.963122556052,600.386684288316,326.133978968509,120.852579906753,491.113166363406,185.648889235117,158.292448290183,59.1279092437563,53.0080915735396,5.11336309934682,-619.965896660845,0.0161332478870025,0.0153023225825775,0.0193197202762187,0.0178207468832483,0.792057150093093,0.309215534077309,"6_01152024","6",2024-01-15
"B1S5S6a_01152024",655.726167403398,637.942312045419,363.393270481456,140.234692078639,528.593752174244,211.119153403178,181.28075473457,71.8089880681417,64.9228398441079,4.67591975768513,85.7242756064864,0.015396409267263,0.0138201758338054,0.0182367429637033,0.0166160408030523,0.75782039925176,0.330937687337702,"6a_01152024","6a",2024-01-15
"B1S6S7_01152024",818.540152904749,790.976454004678,442.237797332954,167.125140084817,651.871691846686,254.231811114924,217.688327381604,82.9887465907678,74.6529195753359,4.89776793897875,107.813237773259,0.0157816141877315,0.0143393154804441,0.0188936867212803,0.0173196489049474,0.758947456469332,0.321415144316572,"7_01152024","7",2024-01-15
"B1S7S9_01152024",979.239155908228,947.871848132936,534.328723051206,201.759414216043,789.632731633898,308.06812875181,263.670205226956,99.3596729056609,89.4562444901333,4.85349920207273,98.3628295863348,0.0157868868235091,0.0143080028002141,0.0191526874037396,0.0172782146306819,0.747049356500248,0.325010315855065,"9_01152024","9",2024-01-15
"B1S8S13_01152024",482.708541404548,467.590561019428,268.442028461083,105.696316748083,389.125217719892,157.238010209476,135.436497336358,56.0222488130984,50.9733551517934,4.56693815126063,127.557485259432,0.0150757974527193,0.0134366106177863,0.0174930301859162,0.0159645226711408,0.768112240988655,0.336272849192401,"13_01152024","13",2024-01-15
"B1S9S14_01152024",553.25495186068,539.119095396218,309.617769497692,121.180476451842,447.907549721,181.475575310454,156.155768195531,63.2082459344429,57.3070706854022,4.56554527643359,239.076853324545,0.0152184077041436,0.0136911165824387,0.017916228316638,0.0162049274354103,0.764174040454954,0.336615001880208,"14_01152024","14",2024-01-15
"B1S1S3_02082024",948.97452672871,917.590655884025,520.503862038139,200.001626712491,763.644787459715,302.359388841781,259.56639808193,101.687104566962,92.2921929393975,4.74483404123955,36.2880271343995,0.0155324075385264,0.0141432419016618,0.0184401383990295,0.0166557421921204,0.766981331463661,0.329514459310271,"3_02082024","3",2024-02-08
"B1S2S5_02082024",479.81078072618,464.599323971088,265.87227889777,107.231678294947,385.786330065468,157.217998195926,136.377841300175,56.6782244654585,51.7336057850054,4.4745245841106,41.6186070530628,0.0145914092189205,0.0137035462692617,0.0173411002416188,0.0157503914679899,0.790235110709592,0.338394806200168,"5_02082024","5",2024-02-08
"B1S3S5a_02082024",544.378882546697,529.302192020318,299.419285229704,115.850648282697,437.753518983159,173.882352115113,149.501411060586,60.5119338580905,54.9435176877798,4.69897139650278,51.0742639741199,0.0154313869439468,0.0141028117889717,0.0179062578361195,0.0162871715430166,0.787591238663184,0.328512435309239,"5a_02082024","5a",2024-02-08
"B1S4S6_02082024",516.37034113224,500.256258271412,273.296758458583,98.9430944845083,411.380429338819,154.107822021458,130.789826280857,47.3815649500213,42.3562119186937,5.21886185006159,-61.6144772809881,0.0166399231373081,0.015258286296155,0.019933960434138,0.0200400786258466,0.765441786972964,0.308057759345105,"6_02082024","6",2024-02-08
"B1S5S6a_02082024",697.400048715552,677.358834276626,379.137174236814,140.748480763709,559.237229965317,216.052202319195,184.293326103157,69.2129932766083,62.2767224406649,4.95493837611193,173.31997652054,0.0161366155912787,0.0143356072919939,0.0192218918402933,0.0178573636132399,0.745795856677509,0.318962699512031,"6a_02082024","6a",2024-02-08
"B2S10S15_02082024",526.877870985835,512.216529184426,292.439451287052,112.377648849751,425.124045781836,169.566090686357,145.613153447481,57.1951486122582,52.0669125703212,4.68845785953637,31.987484705177,0.0155279495270199,0.0137091379435961,0.0183899910728798,0.0167421312942489,0.745467351738593,0.331043769626778,"15_02082024","15",2024-02-08
"B2S6S7_02082024",691.618488877516,670.251402324193,363.683681763846,132.802516351734,545.094936669292,205.553953893202,174.887836362685,65.0772979321505,58.6869969884987,5.2078718677719,25.9923958166081,0.0163399926053705,0.0150603524981474,0.0193897421683951,0.0177062441012757,0.776717522458626,0.306681870683768,"7_02082024","7",2024-02-08
"B2S7S9_02082024",854.907852346661,827.853720397027,464.116163521324,169.896849719326,688.492830298858,264.07364073206,224.747679195661,81.9677118035804,73.7723986991112,5.03192292122537,40.6252330379353,0.0163383223218236,0.0145879093424532,0.0197741622114261,0.0179744697574073,0.737725785116896,0.318985871810075,"9_02082024","9",2024-02-08
"B2S8S13_02082024",405.99908509258,392.802812042939,225.278067269015,86.6005203815448,327.456366355034,130.291721252157,111.758157281814,45.9615431074082,42.2369285758099,4.68818297284852,29.6206237365845,0.0154383013699869,0.0133840444034022,0.0175089023399157,0.0163479400939426,0.764413676172612,0.331697526742538,"13_02082024","13",2024-02-08
"B2S9S14_02082024",508.800043372531,492.511875270964,282.094707899937,111.198299694493,409.427605458593,165.078226755884,142.5193916659,57.3717977648593,52.3192892142006,4.57560992182807,34.0274095056854,0.0150565490672363,0.0135662123674716,0.0179072553534607,0.0163138126279816,0.757581890674823,0.335176134920733,"14_02082024","14",2024-02-08
"B1S10S15_03042024",261.355284153772,255.291901227166,145.169656807344,44.6513454337297,217.613408257475,73.5191554026237,60.7313995729414,20.1835510123417,18.0174719857598,5.85324544232757,-26.469681351731,0.0191904117200838,0.0140296750439116,0.0218919013168978,0.0209053702124331,0.640861423629865,0.287980758689263,"15_03042024","15",2024-03-04
"B1S1S3_03042024",327.504285786932,317.354967011853,167.190381983017,52.2584125399064,258.934744240107,84.1835676871198,69.9894771611053,25.3248975653483,22.9762630522101,6.26701558408108,33.5308540755568,0.018562774226152,0.0153540343435407,0.0202989525124737,0.0186794875341865,0.756395401886163,0.265266267863316,"3_03042024","3",2024-03-04
"B1S2S5_03042024",646.151021679708,633.324104062013,375.905144369227,117.224235567505,551.107956988065,193.727898854169,160.175731182009,53.5980796033797,48.0925594908593,5.51209413779982,55.1505294594751,0.0190017920048012,0.0131732891482635,0.0217643807805212,0.019562927244162,0.605268272095912,0.305890613686796,"5_03042024","5",2024-03-04
"B1S3S5a_03042024",176.589839937272,171.076532350365,102.198642733349,44.9006302869035,143.662703986039,62.6888108668637,55.1679292585963,26.1539657808408,24.2719471670447,3.93290336480597,27.8800076827549,0.0130478317293727,0.0124162654950931,0.0147415618915549,0.0136778733570579,0.842262549004801,0.366437231370091,"5a_03042024","5a",2024-03-04
"B1S4S6_03042024",678.016525036942,653.445201926389,353.626301900494,105.357741403699,546.936570379526,175.310069900155,144.129010688844,49.0414120060205,44.2890237265428,6.43537452496244,100.866974477438,0.0196210648138213,0.0151315962413951,0.0216191336420155,0.0195964874111217,0.699916864938001,0.268285801752514,"6_03042024","6",2024-03-04
"B1S5S6a_03042024",762.796022045523,737.586677544322,419.396713835177,134.465791262579,626.839837241845,217.007366633807,180.45631643266,65.3865912296577,59.3833560969406,5.67278870620683,65.0057737805607,0.0184562599160662,0.0140408741453919,0.0203019002745166,0.0184443932710515,0.69160393635744,0.294212698304555,"6a_03042024","6a",2024-03-04
"B1S6S7_03042024",133.984219398458,128.132916293313,63.5465560878162,21.0220782220726,99.4270736060384,33.5205453087013,28.056170733272,9.09416923749635,8.04824957967774,6.37350018314452,-9.10286213950708,0.018211904982013,0.017164496970395,0.0217438823806067,0.0340477773038608,0.78939430732499,0.261607604653034,"7_03042024","7",2024-03-04
"B1S7S9_03042024",304.758790554775,295.650003880759,154.71004190826,47.7250891708631,243.015004191048,76.8222370599661,63.663295544435,23.1895683763603,21.0407691115524,6.38571442923222,-805.146099930004,0.0188441058013311,0.0157317243671788,0.0202342670427252,0.018921522861361,0.777479329197389,0.25984182665849,"9_03042024","9",2024-03-04
"B1S8S13_03042024",131.549950269573,127.204120093107,76.7215930709079,32.9643574526324,107.884482585402,46.5618333841736,40.7945248568146,18.1051787098703,16.6860752786617,3.99067236358547,146.761268300214,0.013640511701175,0.0121170656650259,0.0160265585705486,0.0147396094250708,0.756061609339693,0.366040292956648,"13_03042024","13",2024-03-04
"B1S9S14_03042024",122.293711208412,118.926054696767,88.8281899541473,57.0494075280994,106.592864041345,69.1074967813453,64.6570771752724,36.7702905446772,34.2771490870627,2.14364559611206,77.9228538033302,0.00735304063037887,0.006556565837148,0.0106741980986203,0.0120558603743485,0.614244346654524,0.581096354012185,"14_03042024","14",2024-03-04
"B1S1S3_03252024",1600.87153116986,1550.21698680825,883.972573441898,343.611592150898,1287.47166738719,516.65217548198,444.515141277258,175.929532961404,159.870688426833,4.65895670500788,35.6133244680204,0.0153256817478299,0.0138531177470868,0.0182438841209305,0.0164272341762379,0.75932940898225,0.333277328192434,"3_03252024","3",2024-03-25
"B1S2S5_03252024",646.230340776513,626.132383099893,363.852030228131,144.381181752061,523.837353883711,214.278193080491,185.023897994854,76.0583128582242,69.3728006238465,4.47586266391871,38.2419820807431,0.0149835444744194,0.0134722250299458,0.0175302452620195,0.0159656872078428,0.768513208376744,0.342225061127856,"5_03252024","5",2024-03-25
"B1S3S5a_03252024",880.187376454087,851.085970755855,479.462189374145,188.196926829939,701.182102472804,279.437143302367,241.214308275618,98.8141967872912,90.1267605900989,4.67694872217256,29.0122406955974,0.0150496839928817,0.0141570106399156,0.0175963580023277,0.0159130960270817,0.8045420897917,0.328330101663169,"5a_03252024","5a",2024-03-25
"B1S4S6_03252024",553.840283326606,535.840180523131,294.847564204378,110.407569972296,441.722292273312,168.734590805843,144.175840453503,54.5146180010632,49.1661604364876,5.01632527068189,7164.80319465512,0.0159553275532699,0.0150603371560593,0.0190982501147664,0.0175338077184044,0.788571574126309,0.31489723417365,"6_03252024","6",2024-03-25
