"Plot Title: bBradford_cond_6a"
"#","Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Temp, °F (LGR S/N: 10757734, SEN S/N: 10757734)","Coupler Detached (LGR S/N: 10757734)","Coupler Attached (LGR S/N: 10757734)","Host Connected (LGR S/N: 10757734)","End Of File (LGR S/N: 10757734)"
1,09/14/22 11:44:40 AM,5.9,90.90,,,,
2,09/14/22 11:44:45 AM,5.9,90.82,,,,
3,09/14/22 11:44:50 AM,5.9,90.82,,,,
4,09/14/22 11:44:55 AM,4.1,90.82,,,,
5,09/14/22 11:45:00 AM,5.9,90.81,,,,
6,09/14/22 11:45:05 AM,5.9,90.73,Logged,,,
7,09/14/22 11:45:10 AM,5.9,90.73,,,,
8,09/14/22 11:45:15 AM,5.9,91.17,,,,
9,09/14/22 11:45:20 AM,5.9,91.04,,,,
10,09/14/22 11:45:25 AM,5.9,91.02,,,,
11,09/14/22 11:45:30 AM,4.1,91.02,,,,
12,09/14/22 11:45:35 AM,5.9,91.08,,,,
13,09/14/22 11:45:40 AM,5.9,90.99,,,,
14,09/14/22 11:45:45 AM,5.9,90.86,,,,
15,09/14/22 11:45:50 AM,16.0,90.90,,,,
16,09/14/22 11:45:55 AM,5.9,90.91,,,,
17,09/14/22 11:46:00 AM,5.9,90.90,,,,
18,09/14/22 11:46:05 AM,5.9,90.90,,,,
19,09/14/22 11:46:10 AM,5.9,90.93,,,,
20,09/14/22 11:46:15 AM,5.9,90.84,,,,
21,09/14/22 11:46:20 AM,5.9,90.82,,,,
22,09/14/22 11:46:25 AM,5.9,90.81,,,,
23,09/14/22 11:46:30 AM,5.9,90.77,,,,
24,09/14/22 11:46:35 AM,5.9,90.75,,,,
25,09/14/22 11:46:40 AM,5.9,90.66,,,,
26,09/14/22 11:46:45 AM,5.9,90.66,,,,
27,09/14/22 11:46:50 AM,5.9,90.59,,,,
28,09/14/22 11:46:55 AM,5.9,90.55,,,,
29,09/14/22 11:47:00 AM,5.9,90.50,,,,
30,09/14/22 11:47:05 AM,4.1,90.46,,,,
31,09/14/22 11:47:10 AM,6.7,90.41,,,,
32,09/14/22 11:47:15 AM,5.9,90.41,,,,
33,09/14/22 11:47:20 AM,5.9,90.43,,,,
34,09/14/22 11:47:25 AM,5.9,90.46,,,,
35,09/14/22 11:47:30 AM,5.9,90.48,,,,
36,09/14/22 11:47:35 AM,5.9,90.50,,,,
37,09/14/22 11:47:40 AM,5.9,90.52,,,,
38,09/14/22 11:47:45 AM,5.9,90.52,,,,
39,09/14/22 11:47:50 AM,4.1,90.48,,,,
40,09/14/22 11:47:55 AM,4.1,90.50,,,,
41,09/14/22 11:48:00 AM,5.9,90.52,,,,
42,09/14/22 11:48:05 AM,5.9,90.50,,,,
43,09/14/22 11:48:10 AM,5.9,90.50,,,,
44,09/14/22 11:48:15 AM,5.9,90.50,,,,
45,09/14/22 11:48:20 AM,5.9,90.43,,,,
46,09/14/22 11:48:25 AM,5.9,90.43,,,,
47,09/14/22 11:48:30 AM,5.9,90.46,,,,
48,09/14/22 11:48:35 AM,5.9,90.43,,,,
49,09/14/22 11:48:40 AM,5.9,90.43,,,,
50,09/14/22 11:48:45 AM,4.1,90.43,,,,
51,09/14/22 11:48:50 AM,5.9,90.43,,,,
52,09/14/22 11:48:55 AM,5.9,90.43,,,,
53,09/14/22 11:49:00 AM,5.9,90.50,,,,
54,09/14/22 11:49:05 AM,5.9,90.43,,,,
55,09/14/22 11:49:10 AM,83.3,79.66,,,,
56,09/14/22 11:49:15 AM,83.3,78.98,,,,
57,09/14/22 11:49:20 AM,83.3,78.96,,,,
58,09/14/22 11:49:25 AM,83.3,78.91,,,,
59,09/14/22 11:49:30 AM,83.3,78.75,,,,
60,09/14/22 11:49:35 AM,83.3,78.82,,,,
61,09/14/22 11:49:40 AM,83.3,78.73,,,,
62,09/14/22 11:49:45 AM,83.3,78.35,,,,
63,09/14/22 11:49:50 AM,83.0,78.35,,,,
64,09/14/22 11:49:55 AM,83.3,78.46,,,,
65,09/14/22 11:50:00 AM,83.3,78.66,,,,
66,09/14/22 11:50:05 AM,83.3,78.62,,,,
67,09/14/22 11:50:10 AM,83.3,78.66,,,,
68,09/14/22 11:50:15 AM,83.3,78.55,,,,
69,09/14/22 11:50:20 AM,83.3,78.62,,,,
70,09/14/22 11:50:25 AM,83.3,78.78,,,,
71,09/14/22 11:50:30 AM,83.3,78.60,,,,
72,09/14/22 11:50:35 AM,83.0,78.42,,,,
73,09/14/22 11:50:40 AM,83.0,78.35,,,,
74,09/14/22 11:50:45 AM,83.0,78.31,,,,
75,09/14/22 11:50:50 AM,83.0,78.42,,,,
76,09/14/22 11:50:55 AM,83.0,78.22,,,,
77,09/14/22 11:51:00 AM,83.0,78.28,,,,
78,09/14/22 11:51:05 AM,83.0,78.21,,,,
79,09/14/22 11:51:10 AM,83.0,78.22,,,,
80,09/14/22 11:51:15 AM,83.0,78.17,,,,
81,09/14/22 11:51:20 AM,83.0,78.22,,,,
82,09/14/22 11:51:25 AM,83.0,78.13,,,,
83,09/14/22 11:51:30 AM,83.0,78.10,,,,
84,09/14/22 11:51:35 AM,83.0,78.12,,,,
85,09/14/22 11:51:40 AM,83.0,78.10,,,,
86,09/14/22 11:51:45 AM,82.6,78.10,,,,
87,09/14/22 11:51:50 AM,82.6,78.04,,,,
88,09/14/22 11:51:55 AM,83.0,77.95,,,,
89,09/14/22 11:52:00 AM,82.6,78.01,,,,
90,09/14/22 11:52:05 AM,82.6,78.01,,,,
91,09/14/22 11:52:10 AM,83.0,78.01,,,,
92,09/14/22 11:52:15 AM,82.6,77.99,,,,
93,09/14/22 11:52:20 AM,82.6,78.01,,,,
94,09/14/22 11:52:25 AM,82.6,77.95,,,,
95,09/14/22 11:52:30 AM,82.2,77.95,,,,
96,09/14/22 11:52:35 AM,82.2,77.95,,,,
97,09/14/22 11:52:40 AM,82.2,77.94,,,,
98,09/14/22 11:52:45 AM,82.2,77.94,,,,
99,09/14/22 11:52:50 AM,82.2,77.92,,,,
100,09/14/22 11:52:55 AM,82.2,77.94,,,,
101,09/14/22 11:53:00 AM,82.2,77.90,,,,
102,09/14/22 11:53:05 AM,82.2,77.92,,,,
103,09/14/22 11:53:10 AM,82.2,77.94,,,,
104,09/14/22 11:53:15 AM,82.2,77.92,,,,
105,09/14/22 11:53:20 AM,82.2,77.90,,,,
106,09/14/22 11:53:25 AM,82.2,77.94,,,,
107,09/14/22 11:53:30 AM,82.2,77.92,,,,
108,09/14/22 11:53:35 AM,82.2,77.92,,,,
109,09/14/22 11:53:40 AM,82.2,77.92,,,,
110,09/14/22 11:53:45 AM,82.2,77.92,,,,
111,09/14/22 11:53:50 AM,82.2,77.94,,,,
