"Plot Title: Bradford_cond"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20342062, SEN S/N: 20342062)","Full Range, μS/cm (LGR S/N: 20342062, SEN S/N: 20342062)","Temp, °F (LGR S/N: 20342062, SEN S/N: 20342062)","Coupler Detached (LGR S/N: 20342062)","Coupler Attached (LGR S/N: 20342062)","Host Connected (LGR S/N: 20342062)","Stopped (LGR S/N: 20342062)","End Of File (LGR S/N: 20342062)"
1,03/30/21 07:00:00 AM,1.1,5.7,72.97,Logged,,,,
2,03/30/21 07:00:05 AM,1.0,5.7,72.97,,,,,
3,03/30/21 07:00:10 AM,1.1,5.7,72.99,,,,,
4,03/30/21 07:00:15 AM,1.0,5.7,72.97,,,,,
5,03/30/21 07:00:20 AM,1.1,5.7,72.99,,,,,
6,03/30/21 07:00:25 AM,1.0,5.7,72.99,,,,,
7,03/30/21 07:00:30 AM,0.4,5.7,72.97,,,,,
8,03/30/21 07:00:35 AM,1.1,5.7,72.97,,,,,
9,03/30/21 07:00:40 AM,1.0,5.7,72.99,,,,,
10,03/30/21 07:00:45 AM,1.1,5.7,72.99,,,,,
11,03/30/21 07:00:50 AM,1.1,5.7,72.99,,,,,
12,03/30/21 07:00:55 AM,0.4,5.7,72.97,,,,,
13,03/30/21 07:01:00 AM,1.1,5.7,72.97,,,,,
14,03/30/21 07:01:05 AM,1.1,5.7,72.97,,,,,
15,03/30/21 07:01:10 AM,1.0,5.7,72.97,,,,,
16,03/30/21 07:01:15 AM,0.6,5.7,72.99,,,,,
17,03/30/21 07:01:20 AM,0.6,3.9,72.99,,,,,
18,03/30/21 07:01:25 AM,1.0,5.7,72.97,,,,,
19,03/30/21 07:01:30 AM,1.0,5.7,72.97,,,,,
20,03/30/21 07:01:35 AM,1.0,5.7,72.97,,,,,
21,03/30/21 07:01:40 AM,0.6,5.7,72.97,,,,,
22,03/30/21 07:01:45 AM,1.1,5.7,72.97,,,,,
23,03/30/21 07:01:50 AM,1.1,5.7,72.99,,,,,
24,03/30/21 07:01:55 AM,1.1,5.7,72.97,,,,,
25,03/30/21 07:02:00 AM,1.1,5.7,72.97,,,,,
26,03/30/21 07:02:05 AM,1.0,5.7,72.97,,,,,
27,03/30/21 07:02:10 AM,1.1,3.9,72.97,,,,,
28,03/30/21 07:02:15 AM,1.0,5.7,72.97,,,,,
29,03/30/21 07:02:20 AM,1.1,5.7,72.97,,,,,
30,03/30/21 07:02:25 AM,1.0,5.7,72.97,,,,,
31,03/30/21 07:02:30 AM,1.0,5.7,72.97,,,,,
32,03/30/21 07:02:35 AM,1.0,2.5,72.97,,,,,
33,03/30/21 07:02:40 AM,0.6,5.7,72.97,,,,,
34,03/30/21 07:02:45 AM,1.0,5.7,72.97,,,,,
35,03/30/21 07:02:50 AM,1.1,5.7,72.97,,,,,
36,03/30/21 07:02:55 AM,1.0,5.7,72.97,,,,,
37,03/30/21 07:03:00 AM,1.0,5.7,72.97,,,,,
38,03/30/21 07:03:05 AM,1.0,2.5,72.97,,,,,
39,03/30/21 07:03:10 AM,1.1,5.7,72.97,,,,,
40,03/30/21 07:03:15 AM,0.4,5.7,72.97,,,,,
41,03/30/21 07:03:20 AM,1.0,5.7,72.97,,,,,
42,03/30/21 07:03:25 AM,1.1,5.7,72.97,,,,,
43,03/30/21 07:03:30 AM,0.4,2.5,72.97,,,,,
44,03/30/21 07:03:35 AM,1.1,5.7,72.97,,,,,
45,03/30/21 07:03:40 AM,0.4,5.7,72.97,,,,,
46,03/30/21 07:03:45 AM,1.0,5.7,72.97,,,,,
47,03/30/21 07:03:50 AM,1.0,5.7,72.97,,,,,
48,03/30/21 07:03:55 AM,1.0,5.7,72.97,,,,,
49,03/30/21 07:04:00 AM,1.1,5.7,72.97,,,,,
50,03/30/21 07:04:05 AM,1.0,5.7,72.97,,,,,
51,03/30/21 07:04:10 AM,1.1,5.7,72.97,,,,,
52,03/30/21 07:04:15 AM,0.4,5.7,72.97,,,,,
53,03/30/21 07:04:20 AM,1.0,2.5,72.97,,,,,
54,03/30/21 07:04:25 AM,1.0,5.7,72.97,,,,,
55,03/30/21 07:04:30 AM,1.0,5.7,72.97,,,,,
56,03/30/21 07:04:35 AM,1.0,2.5,72.97,,,,,
57,03/30/21 07:04:40 AM,1.0,5.7,72.97,,,,,
58,03/30/21 07:04:45 AM,1.1,5.7,72.97,,,,,
59,03/30/21 07:04:50 AM,1.1,2.5,72.97,,,,,
60,03/30/21 07:04:55 AM,0.4,5.7,72.97,,,,,
61,03/30/21 07:05:00 AM,1.0,5.7,72.97,,,,,
62,03/30/21 07:05:05 AM,1.0,5.7,72.97,,,,,
63,03/30/21 07:05:10 AM,1.1,5.7,72.97,,,,,
64,03/30/21 07:05:15 AM,1.0,5.7,72.97,,,,,
65,03/30/21 07:05:20 AM,1.1,5.7,72.97,,,,,
66,03/30/21 07:05:25 AM,1.1,5.7,72.97,,,,,
67,03/30/21 07:05:30 AM,1.0,5.7,72.97,,,,,
68,03/30/21 07:05:35 AM,1.0,2.5,72.97,,,,,
69,03/30/21 07:05:40 AM,1.0,5.7,72.97,,,,,
70,03/30/21 07:05:45 AM,1.0,5.7,72.97,,,,,
71,03/30/21 07:05:50 AM,0.4,5.7,72.97,,,,,
72,03/30/21 07:05:55 AM,1.1,5.7,72.97,,,,,
73,03/30/21 07:06:00 AM,1.0,3.9,72.97,,,,,
74,03/30/21 07:06:05 AM,1.1,5.7,72.97,,,,,
75,03/30/21 07:06:10 AM,1.1,5.7,72.97,,,,,
76,03/30/21 07:06:15 AM,1.1,5.7,72.97,,,,,
77,03/30/21 07:06:20 AM,1.0,5.7,72.97,,,,,
78,03/30/21 07:06:25 AM,1.1,5.7,72.97,,,,,
79,03/30/21 07:06:30 AM,1.0,5.7,72.97,,,,,
80,03/30/21 07:06:35 AM,1.0,5.7,72.95,,,,,
81,03/30/21 07:06:40 AM,1.0,5.7,72.97,,,,,
82,03/30/21 07:06:45 AM,1.1,5.7,72.97,,,,,
83,03/30/21 07:06:50 AM,1.0,5.7,72.97,,,,,
84,03/30/21 07:06:55 AM,2.5,5.7,72.97,,,,,
85,03/30/21 07:07:00 AM,1.1,5.7,72.95,,,,,
86,03/30/21 07:07:05 AM,1.0,5.7,72.97,,,,,
87,03/30/21 07:07:10 AM,1.0,5.7,72.95,,,,,
88,03/30/21 07:07:15 AM,1.0,5.7,72.97,,,,,
89,03/30/21 07:07:20 AM,1.0,5.7,72.95,,,,,
90,03/30/21 07:07:25 AM,1.0,2.5,72.95,,,,,
91,03/30/21 07:07:30 AM,1.1,5.7,72.97,,,,,
92,03/30/21 07:07:35 AM,1.0,5.7,72.95,,,,,
93,03/30/21 07:07:40 AM,1.0,5.7,72.97,,,,,
94,03/30/21 07:07:45 AM,1.1,5.7,72.95,,,,,
95,03/30/21 07:07:50 AM,1.0,5.7,72.97,,,,,
96,03/30/21 07:07:55 AM,1.1,5.7,72.95,,,,,
97,03/30/21 07:08:00 AM,1.0,5.7,72.95,,,,,
98,03/30/21 07:08:05 AM,1.1,5.7,72.95,,,,,
99,03/30/21 07:08:10 AM,1.0,5.7,72.95,,,,,
100,03/30/21 07:08:15 AM,1.1,5.7,72.95,,,,,
101,03/30/21 07:08:20 AM,0.6,5.7,72.95,,,,,
102,03/30/21 07:08:25 AM,1.0,2.5,72.95,,,,,
103,03/30/21 07:08:30 AM,1.0,5.7,72.95,,,,,
104,03/30/21 07:08:35 AM,2.5,5.7,72.95,,,,,
105,03/30/21 07:08:40 AM,1.0,5.7,72.95,,,,,
106,03/30/21 07:08:45 AM,0.4,5.7,72.95,,,,,
107,03/30/21 07:08:50 AM,1.1,5.7,72.95,,,,,
108,03/30/21 07:08:55 AM,1.1,2.5,72.95,,,,,
109,03/30/21 07:09:00 AM,1.1,2.5,72.95,,,,,
110,03/30/21 07:09:05 AM,1.0,5.7,72.95,,,,,
111,03/30/21 07:09:10 AM,1.0,5.7,72.95,,,,,
112,03/30/21 07:09:15 AM,1.0,5.7,72.95,,,,,
113,03/30/21 07:09:20 AM,1.0,5.7,72.95,,,,,
114,03/30/21 07:09:25 AM,1.1,2.5,72.95,,,,,
115,03/30/21 07:09:30 AM,1.0,5.7,72.95,,,,,
116,03/30/21 07:09:35 AM,1.0,5.7,72.95,,,,,
117,03/30/21 07:09:40 AM,1.0,3.9,72.95,,,,,
118,03/30/21 07:09:45 AM,1.0,2.5,72.95,,,,,
119,03/30/21 07:09:50 AM,1.1,5.7,72.95,,,,,
120,03/30/21 07:09:55 AM,1.0,5.7,72.95,,,,,
121,03/30/21 07:10:00 AM,0.4,5.7,72.95,,,,,
122,03/30/21 07:10:05 AM,1.1,5.7,72.95,,,,,
123,03/30/21 07:10:10 AM,1.1,5.7,72.95,,,,,
124,03/30/21 07:10:15 AM,1.0,5.7,72.95,,,,,
125,03/30/21 07:10:20 AM,1.1,5.7,72.95,,,,,
126,03/30/21 07:10:25 AM,1.0,5.7,72.95,,,,,
127,03/30/21 07:10:30 AM,1.1,5.7,72.95,,,,,
128,03/30/21 07:10:35 AM,1.1,5.7,72.95,,,,,
129,03/30/21 07:10:40 AM,1.0,5.7,72.95,,,,,
130,03/30/21 07:10:45 AM,1.1,5.7,72.95,,,,,
131,03/30/21 07:10:50 AM,1.1,5.7,72.95,,,,,
132,03/30/21 07:10:55 AM,1.0,5.7,72.95,,,,,
133,03/30/21 07:11:00 AM,1.0,2.5,72.95,,,,,
134,03/30/21 07:11:05 AM,1.1,3.9,72.95,,,,,
135,03/30/21 07:11:10 AM,1.0,3.9,72.95,,,,,
136,03/30/21 07:11:15 AM,2.3,5.7,72.95,,,,,
137,03/30/21 07:11:20 AM,1.0,5.7,72.95,,,,,
138,03/30/21 07:11:25 AM,1.0,5.7,72.95,,,,,
139,03/30/21 07:11:30 AM,1.1,5.7,72.95,,,,,
140,03/30/21 07:11:35 AM,1.1,5.7,72.95,,,,,
141,03/30/21 07:11:40 AM,1.1,5.7,72.95,,,,,
142,03/30/21 07:11:45 AM,0.4,5.7,72.95,,,,,
143,03/30/21 07:11:50 AM,1.1,5.7,72.95,,,,,
144,03/30/21 07:11:55 AM,1.0,5.7,72.95,,,,,
145,03/30/21 07:12:00 AM,1.1,5.7,72.95,,,,,
