"Plot Title: BBrad_cond_13"
"#","Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 10757734, SEN S/N: 10757734)","Temp, °F (LGR S/N: 10757734, SEN S/N: 10757734)","Coupler Detached (LGR S/N: 10757734)","Coupler Attached (LGR S/N: 10757734)","Host Connected (LGR S/N: 10757734)","End Of File (LGR S/N: 10757734)"
1,09/13/22 10:20:54 AM,6.0,87.03,,,,
2,09/13/22 10:20:59 AM,6.0,87.03,,,,
3,09/13/22 10:21:04 AM,6.0,87.06,,,,
4,09/13/22 10:21:07 AM,,,Logged,,,
5,09/13/22 10:21:09 AM,4.1,87.08,,,,
6,09/13/22 10:21:14 AM,6.0,87.10,,,,
7,09/13/22 10:21:19 AM,16.0,87.10,,,,
8,09/13/22 10:21:24 AM,4.1,87.08,,,,
9,09/13/22 10:21:29 AM,6.0,87.10,,,,
10,09/13/22 10:21:34 AM,6.0,87.08,,,,
11,09/13/22 10:21:39 AM,6.0,87.03,,,,
12,09/13/22 10:21:44 AM,6.0,87.06,,,,
13,09/13/22 10:21:49 AM,4.1,87.08,,,,
14,09/13/22 10:21:54 AM,6.0,87.06,,,,
15,09/13/22 10:21:59 AM,6.0,87.03,,,,
16,09/13/22 10:22:04 AM,6.0,87.01,,,,
17,09/13/22 10:22:09 AM,6.0,87.03,,,,
18,09/13/22 10:22:14 AM,6.0,87.06,,,,
19,09/13/22 10:22:19 AM,6.0,87.08,,,,
20,09/13/22 10:22:24 AM,6.0,87.10,,,,
21,09/13/22 10:22:29 AM,6.0,87.12,,,,
22,09/13/22 10:22:34 AM,6.0,87.12,,,,
23,09/13/22 10:22:39 AM,4.1,87.15,,,,
24,09/13/22 10:22:44 AM,6.0,87.15,,,,
25,09/13/22 10:22:49 AM,6.0,87.15,,,,
26,09/13/22 10:22:54 AM,6.0,87.17,,,,
27,09/13/22 10:22:59 AM,6.0,87.17,,,,
28,09/13/22 10:23:04 AM,5.9,87.19,,,,
29,09/13/22 10:23:09 AM,5.9,87.19,,,,
30,09/13/22 10:23:14 AM,5.9,87.21,,,,
31,09/13/22 10:23:19 AM,5.9,87.21,,,,
32,09/13/22 10:23:24 AM,5.9,87.24,,,,
33,09/13/22 10:23:29 AM,5.9,87.24,,,,
34,09/13/22 10:23:34 AM,4.1,87.24,,,,
35,09/13/22 10:23:39 AM,5.9,87.26,,,,
36,09/13/22 10:23:44 AM,5.9,87.28,,,,
37,09/13/22 10:23:49 AM,5.9,87.28,,,,
38,09/13/22 10:23:54 AM,5.9,87.28,,,,
39,09/13/22 10:23:59 AM,5.9,87.28,,,,
40,09/13/22 10:24:04 AM,4.1,87.28,,,,
41,09/13/22 10:24:09 AM,5.9,87.35,,,,
42,09/13/22 10:24:14 AM,5.9,87.40,,,,
43,09/13/22 10:24:19 AM,5.9,87.40,,,,
44,09/13/22 10:24:24 AM,5.9,87.42,,,,
45,09/13/22 10:24:29 AM,4.1,87.42,,,,
46,09/13/22 10:24:34 AM,5.9,87.44,,,,
47,09/13/22 10:24:39 AM,5.9,87.44,,,,
48,09/13/22 10:24:44 AM,5.9,87.49,,,,
49,09/13/22 10:24:49 AM,5.9,87.49,,,,
50,09/13/22 10:24:54 AM,5.9,87.51,,,,
51,09/13/22 10:24:59 AM,4.1,87.53,,,,
52,09/13/22 10:25:04 AM,5.9,87.55,,,,
53,09/13/22 10:25:09 AM,5.9,87.55,,,,
54,09/13/22 10:25:14 AM,5.9,87.58,,,,
55,09/13/22 10:25:19 AM,5.9,87.60,,,,
56,09/13/22 10:25:24 AM,5.9,87.60,,,,
57,09/13/22 10:25:29 AM,5.9,87.60,,,,
58,09/13/22 10:25:34 AM,5.9,87.62,,,,
59,09/13/22 10:25:39 AM,5.9,87.62,,,,
60,09/13/22 10:25:44 AM,4.1,87.62,,,,
61,09/13/22 10:25:49 AM,5.9,87.64,,,,
62,09/13/22 10:25:54 AM,5.9,87.64,,,,
63,09/13/22 10:25:59 AM,5.9,87.67,,,,
64,09/13/22 10:26:04 AM,5.9,87.67,,,,
65,09/13/22 10:26:09 AM,5.9,87.67,,,,
66,09/13/22 10:26:14 AM,5.9,87.69,,,,
67,09/13/22 10:26:19 AM,5.9,87.69,,,,
68,09/13/22 10:26:24 AM,5.9,87.69,,,,
69,09/13/22 10:26:29 AM,5.9,87.69,,,,
70,09/13/22 10:26:34 AM,5.9,87.71,,,,
71,09/13/22 10:26:39 AM,5.9,87.71,,,,
72,09/13/22 10:26:44 AM,5.9,87.71,,,,
73,09/13/22 10:26:49 AM,5.9,87.71,,,,
74,09/13/22 10:26:54 AM,5.9,87.71,,,,
75,09/13/22 10:26:59 AM,5.9,87.71,,,,
76,09/13/22 10:27:04 AM,4.1,87.71,,,,
77,09/13/22 10:27:09 AM,5.9,87.71,,,,
78,09/13/22 10:27:14 AM,5.9,87.71,,,,
79,09/13/22 10:27:19 AM,5.9,87.71,,,,
80,09/13/22 10:27:24 AM,5.9,87.69,,,,
81,09/13/22 10:27:29 AM,5.9,87.67,,,,
82,09/13/22 10:27:34 AM,5.9,87.67,,,,
83,09/13/22 10:27:39 AM,5.9,87.64,,,,
84,09/13/22 10:27:44 AM,16.0,87.64,,,,
85,09/13/22 10:27:49 AM,4.1,87.62,,,,
86,09/13/22 10:27:54 AM,5.9,87.62,,,,
87,09/13/22 10:27:59 AM,5.9,87.62,,,,
