"Plot Title: Bradford_cond_9-20-21"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10778441, SEN S/N: 10778441)","Full Range, μS/cm (LGR S/N: 10778441, SEN S/N: 10778441)","Temp, °F (LGR S/N: 10778441, SEN S/N: 10778441)","Coupler Detached (LGR S/N: 10778441)","Coupler Attached (LGR S/N: 10778441)","Host Connected (LGR S/N: 10778441)","End Of File (LGR S/N: 10778441)"
1,09/20/21 10:00:00 AM,3.6,2.7,81.57,Logged,,,
2,09/20/21 10:00:05 AM,2.3,6.5,81.57,,,,
3,09/20/21 10:00:10 AM,3.6,2.7,81.57,,,,
4,09/20/21 10:00:15 AM,3.5,6.5,81.57,,,,
5,09/20/21 10:00:20 AM,2.5,6.5,81.57,,,,
6,09/20/21 10:00:25 AM,3.6,6.5,81.57,,,,
7,09/20/21 10:00:30 AM,3.6,2.7,81.57,,,,
8,09/20/21 10:00:35 AM,2.3,2.7,81.57,,,,
9,09/20/21 10:00:40 AM,2.3,6.5,81.57,,,,
10,09/20/21 10:00:45 AM,3.6,6.5,81.57,,,,
11,09/20/21 10:00:50 AM,3.6,6.5,81.59,,,,
12,09/20/21 10:00:55 AM,3.6,2.7,81.57,,,,
13,09/20/21 10:01:00 AM,3.6,6.5,81.59,,,,
14,09/20/21 10:01:05 AM,3.6,6.5,81.59,,,,
15,09/20/21 10:01:10 AM,3.8,6.5,81.59,,,,
16,09/20/21 10:01:15 AM,3.6,2.7,81.59,,,,
17,09/20/21 10:01:20 AM,3.5,2.7,81.59,,,,
18,09/20/21 10:01:25 AM,3.6,2.7,81.59,,,,
19,09/20/21 10:01:30 AM,2.3,6.5,81.59,,,,
20,09/20/21 10:01:35 AM,2.3,6.5,81.59,,,,
21,09/20/21 10:01:40 AM,2.2,6.5,81.59,,,,
22,09/20/21 10:01:45 AM,2.3,2.7,81.59,,,,
23,09/20/21 10:01:50 AM,2.3,6.5,81.59,,,,
24,09/20/21 10:01:55 AM,3.6,6.5,81.63,,,,
25,09/20/21 10:02:00 AM,2.3,6.5,81.63,,,,
26,09/20/21 10:02:05 AM,3.6,6.5,81.63,,,,
27,09/20/21 10:02:10 AM,2.3,6.5,81.63,,,,
28,09/20/21 10:02:15 AM,3.6,6.5,81.63,,,,
29,09/20/21 10:02:20 AM,2.3,6.5,81.63,,,,
30,09/20/21 10:02:25 AM,3.6,2.7,81.63,,,,
31,09/20/21 10:02:30 AM,3.6,6.5,81.63,,,,
32,09/20/21 10:02:35 AM,3.6,2.7,81.63,,,,
33,09/20/21 10:02:40 AM,3.6,2.7,81.63,,,,
34,09/20/21 10:02:45 AM,3.6,6.5,81.63,,,,
35,09/20/21 10:02:50 AM,3.6,2.7,81.64,,,,
36,09/20/21 10:02:55 AM,3.6,2.7,81.63,,,,
37,09/20/21 10:03:00 AM,3.6,6.5,81.64,,,,
38,09/20/21 10:03:05 AM,3.6,2.7,81.64,,,,
39,09/20/21 10:03:10 AM,2.3,6.5,81.64,,,,
40,09/20/21 10:03:15 AM,3.6,2.7,81.64,,,,
41,09/20/21 10:03:20 AM,2.2,2.7,81.64,,,,
42,09/20/21 10:03:25 AM,3.6,2.7,81.64,,,,
43,09/20/21 10:03:30 AM,3.6,2.7,81.64,,,,
44,09/20/21 10:03:35 AM,2.3,2.7,81.64,,,,
45,09/20/21 10:03:40 AM,3.6,6.5,81.64,,,,
46,09/20/21 10:03:45 AM,3.6,2.7,81.64,,,,
47,09/20/21 10:03:50 AM,3.6,2.7,81.66,,,,
48,09/20/21 10:03:55 AM,2.3,6.5,81.66,,,,
49,09/20/21 10:04:00 AM,3.6,2.7,81.66,,,,
50,09/20/21 10:04:05 AM,3.6,6.5,81.66,,,,
51,09/20/21 10:04:10 AM,3.6,6.5,81.66,,,,
52,09/20/21 10:04:15 AM,2.2,2.7,81.66,,,,
53,09/20/21 10:04:20 AM,2.2,2.7,81.66,,,,
54,09/20/21 10:04:25 AM,3.6,6.5,81.66,,,,
55,09/20/21 10:04:30 AM,2.3,2.7,81.66,,,,
56,09/20/21 10:04:35 AM,3.6,6.5,81.66,,,,
57,09/20/21 10:04:40 AM,2.3,2.7,81.66,,,,
58,09/20/21 10:04:45 AM,3.6,2.7,81.66,,,,
59,09/20/21 10:04:50 AM,3.6,6.5,81.66,,,,
60,09/20/21 10:04:55 AM,3.6,4.2,81.66,,,,
61,09/20/21 10:05:00 AM,3.6,2.7,81.66,,,,
62,09/20/21 10:05:05 AM,3.6,6.5,81.70,,,,
63,09/20/21 10:05:10 AM,2.3,2.7,81.70,,,,
64,09/20/21 10:05:15 AM,3.6,6.5,81.70,,,,
65,09/20/21 10:05:20 AM,3.6,6.5,81.70,,,,
66,09/20/21 10:05:25 AM,3.5,6.5,81.70,,,,
67,09/20/21 10:05:30 AM,3.6,6.5,81.70,,,,
68,09/20/21 10:05:35 AM,3.6,6.5,81.70,,,,
69,09/20/21 10:05:40 AM,3.6,2.7,81.70,,,,
70,09/20/21 10:05:45 AM,3.6,2.7,81.70,,,,
71,09/20/21 10:05:50 AM,3.6,6.5,81.72,,,,
72,09/20/21 10:05:55 AM,2.3,2.7,81.72,,,,
