"Plot Title: Bradford_cond_2021-11-17"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778444, SEN S/N: 10778444)","Full Range, μS/cm (LGR S/N: 10778444, SEN S/N: 10778444)","Temp, °F (LGR S/N: 10778444, SEN S/N: 10778444)","Coupler Detached (LGR S/N: 10778444)","Coupler Attached (LGR S/N: 10778444)","Host Connected (LGR S/N: 10778444)","Stopped (LGR S/N: 10778444)","End Of File (LGR S/N: 10778444)"
1,01/28/22 09:39:10 AM,3.7,5.6,69.30,,,,,
2,01/28/22 09:39:15 AM,3.7,5.6,69.21,,,,,
3,01/28/22 09:39:18 AM,,,,Logged,,,,
4,01/28/22 09:39:20 AM,2.4,5.6,69.19,,,,,
5,01/28/22 09:39:25 AM,2.4,5.6,69.08,,,,,
6,01/28/22 09:39:30 AM,3.9,5.6,69.03,,,,,
7,01/28/22 09:39:35 AM,3.7,5.6,68.94,,,,,
8,01/28/22 09:39:40 AM,3.7,5.6,68.79,,,,,
9,01/28/22 09:39:45 AM,3.9,5.6,68.61,,,,,
10,01/28/22 09:39:50 AM,3.7,5.6,68.43,,,,,
11,01/28/22 09:39:55 AM,2.4,5.6,68.31,,,,,
12,01/28/22 09:40:00 AM,3.7,5.6,68.22,,,,,
13,01/28/22 09:40:05 AM,2.4,5.6,68.13,,,,,
14,01/28/22 09:40:10 AM,3.9,5.6,67.96,,,,,
15,01/28/22 09:40:15 AM,3.9,5.6,68.05,,,,,
16,01/28/22 09:40:20 AM,2.4,5.6,68.04,,,,,
17,01/28/22 09:40:25 AM,3.9,1.7,68.04,,,,,
18,01/28/22 09:40:30 AM,2.5,1.7,67.98,,,,,
19,01/28/22 09:40:35 AM,3.7,5.6,67.96,,,,,
20,01/28/22 09:40:40 AM,2.4,5.6,67.89,,,,,
21,01/28/22 09:40:45 AM,3.7,5.6,67.87,,,,,
22,01/28/22 09:40:50 AM,2.4,5.6,67.86,,,,,
23,01/28/22 09:40:55 AM,2.4,5.6,67.77,,,,,
24,01/28/22 09:41:00 AM,2.5,5.6,67.68,,,,,
25,01/28/22 09:41:05 AM,2.5,5.6,67.60,,,,,
26,01/28/22 09:41:10 AM,3.9,5.6,67.53,,,,,
27,01/28/22 09:41:15 AM,3.9,5.6,67.51,,,,,
