"Plot Title: Bradford_streams_9-13-21"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10778441, SEN S/N: 10778441)","Full Range, μS/cm (LGR S/N: 10778441, SEN S/N: 10778441)","Temp, °F (LGR S/N: 10778441, SEN S/N: 10778441)","Coupler Detached (LGR S/N: 10778441)","Coupler Attached (LGR S/N: 10778441)","Host Connected (LGR S/N: 10778441)","End Of File (LGR S/N: 10778441)"
1,09/13/21 09:50:00 AM,19.5,15.5,74.62,Logged,,,
2,09/13/21 09:50:01 AM,19.5,15.2,74.66,,,,
3,09/13/21 09:50:02 AM,21.9,17.8,74.79,,,,
4,09/13/21 09:50:03 AM,19.0,14.8,74.57,,,,
5,09/13/21 09:50:04 AM,18.8,14.8,74.73,,,,
6,09/13/21 09:50:05 AM,17.5,13.3,74.80,,,,
7,09/13/21 09:50:06 AM,16.1,11.4,74.82,,,,
8,09/13/21 09:50:07 AM,16.4,12.1,74.88,,,,
9,09/13/21 09:50:08 AM,14.8,10.2,74.91,,,,
10,09/13/21 09:50:09 AM,15.5,11.0,74.91,,,,
11,09/13/21 09:50:10 AM,16.5,12.1,74.91,,,,
12,09/13/21 09:50:11 AM,16.3,12.1,74.97,,,,
13,09/13/21 09:50:12 AM,16.0,11.0,74.98,,,,
14,09/13/21 09:50:13 AM,16.4,12.1,74.98,,,,
15,09/13/21 09:50:14 AM,15.2,11.4,74.98,,,,
16,09/13/21 09:50:15 AM,16.0,11.4,74.95,,,,
17,09/13/21 09:50:16 AM,16.0,11.4,74.95,,,,
18,09/13/21 09:50:17 AM,14.3,9.5,74.95,,,,
19,09/13/21 09:50:18 AM,13.8,9.1,74.95,,,,
20,09/13/21 09:50:19 AM,13.6,9.1,74.91,,,,
21,09/13/21 09:50:20 AM,11.7,7.6,74.89,,,,
22,09/13/21 09:50:21 AM,11.4,7.6,74.95,,,,
23,09/13/21 09:50:22 AM,17.7,13.6,74.91,,,,
24,09/13/21 09:50:23 AM,34.4,30.6,74.86,,,,
25,09/13/21 09:50:24 AM,28.1,23.5,74.75,,,,
26,09/13/21 09:50:25 AM,24.4,19.7,74.73,,,,
27,09/13/21 09:50:26 AM,23.5,19.7,74.75,,,,
28,09/13/21 09:50:27 AM,23.1,18.9,74.80,,,,
29,09/13/21 09:50:28 AM,21.1,17.0,74.86,,,,
30,09/13/21 09:50:29 AM,20.8,16.7,74.88,,,,
31,09/13/21 09:50:30 AM,21.0,17.0,74.86,,,,
32,09/13/21 09:50:31 AM,19.9,16.3,74.88,,,,
33,09/13/21 09:50:32 AM,22.8,18.2,74.80,,,,
34,09/13/21 09:50:33 AM,17.9,14.0,74.75,,,,
35,09/13/21 09:50:34 AM,19.3,15.2,74.79,,,,
36,09/13/21 09:50:35 AM,19.3,15.2,74.73,,,,
37,09/13/21 09:50:36 AM,18.9,15.2,74.75,,,,
38,09/13/21 09:50:37 AM,19.3,15.5,74.79,,,,
39,09/13/21 09:50:38 AM,19.4,15.5,74.79,,,,
40,09/13/21 09:50:39 AM,17.1,14.0,74.80,,,,
41,09/13/21 09:50:40 AM,17.0,13.6,74.80,,,,
42,09/13/21 09:50:41 AM,17.0,12.9,74.71,,,,
43,09/13/21 09:50:42 AM,18.0,14.0,74.75,,,,
44,09/13/21 09:50:43 AM,16.0,12.9,74.79,,,,
45,09/13/21 09:50:44 AM,17.6,12.9,74.75,,,,
46,09/13/21 09:50:45 AM,16.7,13.3,74.70,,,,
47,09/13/21 09:50:46 AM,16.5,12.9,74.73,,,,
48,09/13/21 09:50:47 AM,30.1,26.1,74.64,,,,
49,09/13/21 09:50:48 AM,20.4,17.0,74.73,,,,
50,09/13/21 09:50:49 AM,20.1,16.3,74.80,,,,
51,09/13/21 09:50:50 AM,20.4,16.3,74.80,,,,
52,09/13/21 09:50:51 AM,23.1,17.4,74.82,,,,
53,09/13/21 09:50:52 AM,18.5,14.8,74.82,,,,
54,09/13/21 09:50:53 AM,20.3,16.7,74.82,,,,
55,09/13/21 09:50:54 AM,19.2,14.8,74.86,,,,
56,09/13/21 09:50:55 AM,18.9,15.2,74.88,,,,
57,09/13/21 09:50:56 AM,18.5,14.8,74.89,,,,
58,09/13/21 09:50:57 AM,20.7,17.0,74.88,,,,
59,09/13/21 09:50:58 AM,18.7,15.2,74.88,,,,
60,09/13/21 09:50:59 AM,18.1,15.2,74.86,,,,
61,09/13/21 09:51:00 AM,16.7,12.9,74.86,,,,
62,09/13/21 09:51:01 AM,14.7,11.4,74.86,,,,
63,09/13/21 09:51:02 AM,15.7,12.5,74.88,,,,
64,09/13/21 09:51:03 AM,15.2,11.8,74.88,,,,
65,09/13/21 09:51:04 AM,16.5,13.3,74.88,,,,
66,09/13/21 09:51:05 AM,15.7,12.5,74.86,,,,
67,09/13/21 09:51:06 AM,16.3,12.9,74.82,,,,
68,09/13/21 09:51:07 AM,17.7,13.6,74.82,,,,
69,09/13/21 09:51:08 AM,16.4,12.9,74.86,,,,
70,09/13/21 09:51:09 AM,14.7,11.8,74.82,,,,
71,09/13/21 09:51:10 AM,14.5,11.8,74.79,,,,
