"Plot Title: Bradford_DG_2023-03-14"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342071, SEN S/N: 20342071)","Temp, °F (LGR S/N: 20342071, SEN S/N: 20342071)","Coupler Detached (LGR S/N: 20342071)","Coupler Attached (LGR S/N: 20342071)","Host Connected (LGR S/N: 20342071)","Stopped (LGR S/N: 20342071)","End Of File (LGR S/N: 20342071)"
1,03/14/23 09:31:14 AM,-1.1,61.74,,,,,
2,03/14/23 09:31:19 AM,-1.1,61.74,,,,,
3,03/14/23 09:31:24 AM,-1.1,61.70,,,,,
4,03/14/23 09:31:26 AM,,,Logged,,,,
5,03/14/23 09:31:29 AM,-4.9,61.88,,,,,
6,03/14/23 09:31:34 AM,-1.1,61.79,,,,,
7,03/14/23 09:31:39 AM,-3.7,61.75,,,,,
8,03/14/23 09:31:44 AM,-1.1,61.75,,,,,
9,03/14/23 09:31:49 AM,-1.1,61.79,,,,,
10,03/14/23 09:31:54 AM,-1.1,61.81,,,,,
11,03/14/23 09:31:59 AM,-3.7,61.81,,,,,
12,03/14/23 09:32:04 AM,-1.1,61.81,,,,,
13,03/14/23 09:32:09 AM,-3.7,61.84,,,,,
14,03/14/23 09:32:14 AM,-1.1,61.86,,,,,
15,03/14/23 09:32:19 AM,-1.1,61.93,,,,,
16,03/14/23 09:32:24 AM,-1.1,61.97,,,,,
17,03/14/23 09:32:29 AM,-3.7,62.01,,,,,
18,03/14/23 09:32:34 AM,-1.1,62.04,,,,,
19,03/14/23 09:32:39 AM,-1.1,62.10,,,,,
20,03/14/23 09:32:44 AM,-1.1,62.13,,,,,
21,03/14/23 09:32:49 AM,-1.1,62.19,,,,,
22,03/14/23 09:32:54 AM,-3.7,62.20,,,,,
23,03/14/23 09:32:59 AM,-1.1,62.20,,,,,
24,03/14/23 09:33:04 AM,-1.1,62.28,,,,,
25,03/14/23 09:33:09 AM,-3.7,62.29,,,,,
26,03/14/23 09:33:14 AM,-3.7,62.29,,,,,
27,03/14/23 09:33:19 AM,-1.1,62.33,,,,,
28,03/14/23 09:33:24 AM,-1.1,62.31,,,,,
29,03/14/23 09:33:29 AM,-3.7,62.35,,,,,
30,03/14/23 09:33:34 AM,-1.1,62.38,,,,,
31,03/14/23 09:33:39 AM,-3.7,62.38,,,,,
32,03/14/23 09:33:44 AM,-1.1,62.40,,,,,
33,03/14/23 09:33:49 AM,-3.7,62.42,,,,,
34,03/14/23 09:33:54 AM,-3.7,62.44,,,,,
35,03/14/23 09:33:59 AM,-3.7,62.44,,,,,
36,03/14/23 09:34:04 AM,-1.1,62.46,,,,,
37,03/14/23 09:34:09 AM,-3.7,62.47,,,,,
38,03/14/23 09:34:14 AM,-1.1,62.49,,,,,
39,03/14/23 09:34:19 AM,-3.7,62.47,,,,,
40,03/14/23 09:34:24 AM,-3.7,62.42,,,,,
41,03/14/23 09:34:29 AM,-1.1,62.42,,,,,
42,03/14/23 09:34:34 AM,-1.1,62.44,,,,,
43,03/14/23 09:34:39 AM,-1.1,62.44,,,,,
44,03/14/23 09:34:44 AM,-1.1,62.42,,,,,
45,03/14/23 09:34:49 AM,-1.1,62.42,,,,,
46,03/14/23 09:34:54 AM,-1.1,62.44,,,,,
47,03/14/23 09:34:59 AM,-3.7,62.40,,,,,
48,03/14/23 09:35:04 AM,-1.1,62.40,,,,,
49,03/14/23 09:35:09 AM,-1.1,62.38,,,,,
50,03/14/23 09:35:14 AM,-1.1,62.38,,,,,
51,03/14/23 09:35:19 AM,-3.7,62.35,,,,,
52,03/14/23 09:35:24 AM,-3.7,62.35,,,,,
53,03/14/23 09:35:29 AM,-3.7,62.35,,,,,
54,03/14/23 09:35:34 AM,-1.1,62.31,,,,,
55,03/14/23 09:35:39 AM,-1.1,62.31,,,,,
56,03/14/23 09:35:44 AM,-1.1,62.29,,,,,
57,03/14/23 09:35:49 AM,-1.1,62.29,,,,,
58,03/14/23 09:35:54 AM,-1.1,62.26,,,,,
59,03/14/23 09:35:59 AM,-3.7,62.24,,,,,
60,03/14/23 09:36:04 AM,-3.7,62.24,,,,,
61,03/14/23 09:36:09 AM,12.6,62.24,,,,,
62,03/14/23 09:36:14 AM,-1.1,62.20,,,,,
