"Plot Title: gBradford_cond"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342068, SEN S/N: 20342068)","Temp, °F (LGR S/N: 20342068, SEN S/N: 20342068)","Coupler Detached (LGR S/N: 20342068)","Coupler Attached (LGR S/N: 20342068)","Host Connected (LGR S/N: 20342068)","End Of File (LGR S/N: 20342068)"
1,11/14/22 11:00:00 AM,1.9,77.97,Logged,,,
2,11/14/22 11:00:05 AM,1.1,77.97,,,,
3,11/14/22 11:00:10 AM,1.9,77.97,,,,
4,11/14/22 11:00:15 AM,15.8,77.95,,,,
5,11/14/22 11:00:20 AM,1.9,77.95,,,,
6,11/14/22 11:00:25 AM,1.9,77.94,,,,
7,11/14/22 11:00:30 AM,1.9,77.94,,,,
8,11/14/22 11:00:35 AM,1.9,77.90,,,,
9,11/14/22 11:00:40 AM,1.9,77.90,,,,
10,11/14/22 11:00:45 AM,1.9,77.90,,,,
11,11/14/22 11:00:50 AM,15.8,77.88,,,,
12,11/14/22 11:00:55 AM,1.9,77.88,,,,
13,11/14/22 11:01:00 AM,1.9,77.86,,,,
14,11/14/22 11:01:05 AM,15.8,77.86,,,,
15,11/14/22 11:01:10 AM,1.9,77.86,,,,
16,11/14/22 11:01:15 AM,15.8,77.83,,,,
17,11/14/22 11:01:20 AM,15.8,77.83,,,,
18,11/14/22 11:01:25 AM,1.9,77.81,,,,
19,11/14/22 11:01:30 AM,1.9,77.81,,,,
20,11/14/22 11:01:35 AM,1.9,77.81,,,,
21,11/14/22 11:01:40 AM,15.8,77.79,,,,
22,11/14/22 11:01:45 AM,1.9,77.79,,,,
23,11/14/22 11:01:50 AM,1.9,77.76,,,,
24,11/14/22 11:01:55 AM,15.8,77.74,,,,
25,11/14/22 11:02:00 AM,1.9,77.74,,,,
26,11/14/22 11:02:05 AM,15.8,77.74,,,,
27,11/14/22 11:02:10 AM,15.8,77.72,,,,
28,11/14/22 11:02:15 AM,-1.7,77.72,,,,
29,11/14/22 11:02:20 AM,1.9,77.72,,,,
30,11/14/22 11:02:25 AM,-1.7,77.68,,,,
31,11/14/22 11:02:30 AM,1.9,77.68,,,,
32,11/14/22 11:02:35 AM,15.8,77.68,,,,
33,11/14/22 11:02:40 AM,15.8,77.67,,,,
34,11/14/22 11:02:45 AM,1.9,77.67,,,,
35,11/14/22 11:02:50 AM,-1.7,77.65,,,,
36,11/14/22 11:02:55 AM,-1.7,77.65,,,,
37,11/14/22 11:03:00 AM,1.9,77.65,,,,
38,11/14/22 11:03:05 AM,1.1,77.61,,,,
39,11/14/22 11:03:10 AM,1.9,77.61,,,,
40,11/14/22 11:03:15 AM,1.9,77.59,,,,
41,11/14/22 11:03:20 AM,1.1,77.59,,,,
42,11/14/22 11:03:25 AM,15.8,77.61,,,,
43,11/14/22 11:03:30 AM,1.9,77.59,,,,
44,11/14/22 11:03:35 AM,1.1,77.59,,,,
45,11/14/22 11:03:40 AM,15.8,77.59,,,,
46,11/14/22 11:03:45 AM,15.8,77.59,,,,
47,11/14/22 11:03:50 AM,-1.7,77.58,,,,
48,11/14/22 11:03:55 AM,1.9,77.58,,,,
49,11/14/22 11:04:00 AM,1.9,77.58,,,,
50,11/14/22 11:04:05 AM,15.8,77.54,,,,
51,11/14/22 11:04:10 AM,1.9,77.54,,,,
52,11/14/22 11:04:15 AM,1.9,77.54,,,,
53,11/14/22 11:04:20 AM,15.8,77.54,,,,
54,11/14/22 11:04:25 AM,-1.7,77.54,,,,
55,11/14/22 11:04:30 AM,15.8,77.54,,,,
56,11/14/22 11:04:35 AM,15.8,77.52,,,,
57,11/14/22 11:04:40 AM,15.8,77.52,,,,
58,11/14/22 11:04:45 AM,1.1,77.52,,,,
59,11/14/22 11:04:50 AM,1.9,77.52,,,,
60,11/14/22 11:04:55 AM,1.9,77.50,,,,
61,11/14/22 11:05:00 AM,15.8,77.50,,,,
62,11/14/22 11:05:05 AM,1.9,77.50,,,,
63,11/14/22 11:05:10 AM,1.9,77.47,,,,
64,11/14/22 11:05:15 AM,-1.7,77.47,,,,
65,11/14/22 11:05:20 AM,1.9,77.47,,,,
66,11/14/22 11:05:25 AM,-1.7,77.45,,,,
67,11/14/22 11:05:30 AM,15.8,77.45,,,,
68,11/14/22 11:05:35 AM,1.9,77.45,,,,
69,11/14/22 11:05:40 AM,15.8,77.45,,,,
70,11/14/22 11:05:45 AM,15.9,77.43,,,,
71,11/14/22 11:05:50 AM,15.9,77.43,,,,
72,11/14/22 11:05:55 AM,1.9,77.43,,,,
73,11/14/22 11:06:00 AM,1.9,77.40,,,,
74,11/14/22 11:06:05 AM,15.9,77.40,,,,
75,11/14/22 11:06:10 AM,1.9,77.40,,,,
76,11/14/22 11:06:15 AM,1.9,77.40,,,,
77,11/14/22 11:06:20 AM,15.9,77.38,,,,
78,11/14/22 11:06:25 AM,1.9,77.38,,,,
79,11/14/22 11:06:30 AM,15.9,77.38,,,,
80,11/14/22 11:06:35 AM,15.9,77.38,,,,
81,11/14/22 11:06:40 AM,-1.7,77.36,,,,
82,11/14/22 11:06:45 AM,1.9,77.36,,,,
83,11/14/22 11:06:50 AM,1.9,77.36,,,,
84,11/14/22 11:06:55 AM,1.9,77.32,,,,
85,11/14/22 11:07:00 AM,1.1,77.32,,,,
86,11/14/22 11:07:05 AM,15.9,77.32,,,,
87,11/14/22 11:07:10 AM,15.9,77.31,,,,
88,11/14/22 11:07:15 AM,1.9,77.31,,,,
89,11/14/22 11:07:20 AM,1.9,77.31,,,,
90,11/14/22 11:07:25 AM,-1.7,77.31,,,,
91,11/14/22 11:07:30 AM,1.9,77.31,,,,
92,11/14/22 11:07:35 AM,1.9,77.31,,,,
93,11/14/22 11:07:40 AM,15.9,77.29,,,,
94,11/14/22 11:07:45 AM,1.9,77.29,,,,
95,11/14/22 11:07:50 AM,15.9,77.29,,,,
96,11/14/22 11:07:55 AM,15.9,77.25,,,,
97,11/14/22 11:08:00 AM,15.9,77.25,,,,
98,11/14/22 11:08:05 AM,1.9,77.25,,,,
99,11/14/22 11:08:10 AM,15.9,77.25,,,,
100,11/14/22 11:08:15 AM,1.9,77.25,,,,
101,11/14/22 11:08:20 AM,1.9,77.29,,,,
102,11/14/22 11:08:25 AM,15.9,77.29,,,,
103,11/14/22 11:08:30 AM,15.9,77.25,,,,
104,11/14/22 11:08:35 AM,1.9,77.25,,,,
105,11/14/22 11:08:40 AM,15.9,77.23,,,,
106,11/14/22 11:08:45 AM,15.9,77.23,,,,
107,11/14/22 11:08:50 AM,1.9,77.23,,,,
108,11/14/22 11:08:55 AM,1.9,77.23,,,,
109,11/14/22 11:09:00 AM,1.9,77.23,,,,
110,11/14/22 11:09:05 AM,1.9,77.23,,,,
111,11/14/22 11:09:10 AM,15.9,77.22,,,,
112,11/14/22 11:09:15 AM,1.9,77.23,,,,
113,11/14/22 11:09:20 AM,1.9,77.23,,,,
114,11/14/22 11:09:25 AM,15.9,77.23,,,,
