"Plot Title: Brad_DG_09.28.23-2"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Stopped (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
37,09/28/23 10:06:44 AM,0.3,-0.8,74.93,,,,,
38,09/28/23 10:06:49 AM,0.3,-0.8,74.95,,,,,
39,09/28/23 10:06:54 AM,1.8,-0.8,74.97,,,,,
40,09/28/23 10:06:59 AM,0.3,-0.8,74.98,,,,,
41,09/28/23 10:07:04 AM,0.4,-0.8,75.02,,,,,
42,09/28/23 10:07:09 AM,0.3,-0.8,75.04,,,,,
43,09/28/23 10:07:14 AM,-0.3,-0.8,75.02,,,,,
44,09/28/23 10:07:19 AM,0.4,-0.8,75.06,,,,,
45,09/28/23 10:07:24 AM,0.3,-0.8,75.04,,,,,
46,09/28/23 10:07:29 AM,0.3,-0.8,75.04,,,,,
47,09/28/23 10:07:34 AM,0.3,-4.8,75.06,,,,,
48,09/28/23 10:07:39 AM,0.3,-0.8,75.07,,,,,
49,09/28/23 10:07:44 AM,0.4,-0.8,75.07,,,,,
50,09/28/23 10:07:49 AM,-0.3,-0.8,75.09,,,,,
51,09/28/23 10:07:54 AM,0.3,-0.8,75.11,,,,,
52,09/28/23 10:07:59 AM,0.4,-0.8,75.11,,,,,
53,09/28/23 10:08:04 AM,0.4,-4.4,75.11,,,,,
54,09/28/23 10:08:09 AM,0.3,-0.8,75.11,,,,,
55,09/28/23 10:08:14 AM,0.3,-0.8,75.15,,,,,
56,09/28/23 10:08:19 AM,0.3,-0.8,75.16,,,,,
57,09/28/23 10:08:24 AM,0.3,-0.8,75.16,,,,,
58,09/28/23 10:08:29 AM,1.6,-4.4,75.16,,,,,
59,09/28/23 10:08:34 AM,1.8,-0.8,75.16,,,,,
60,09/28/23 10:08:39 AM,0.3,-4.4,75.18,,,,,
61,09/28/23 10:08:44 AM,0.4,-0.8,75.20,,,,,
62,09/28/23 10:08:49 AM,1.6,-0.8,75.20,,,,,
63,09/28/23 10:08:54 AM,0.4,-4.4,75.22,,,,,
64,09/28/23 10:08:59 AM,0.4,-0.8,75.22,,,,,
65,09/28/23 10:09:04 AM,0.3,-3.4,75.24,,,,,
66,09/28/23 10:09:09 AM,0.3,-4.4,75.24,,,,,
67,09/28/23 10:09:14 AM,0.3,-0.8,75.22,,,,,
68,09/28/23 10:09:19 AM,0.3,-0.8,75.24,,,,,
69,09/28/23 10:09:24 AM,0.3,-0.8,75.22,,,,,
70,09/28/23 10:09:29 AM,0.3,-0.8,75.24,,,,,
71,09/28/23 10:09:34 AM,0.4,-0.8,75.24,,,,,
72,09/28/23 10:09:39 AM,0.3,-0.8,75.22,,,,,
73,09/28/23 10:09:44 AM,0.4,-0.8,75.24,,,,,
74,09/28/23 10:09:49 AM,0.4,-3.4,75.24,,,,,
75,09/28/23 10:09:54 AM,0.3,-4.4,75.24,,,,,
76,09/28/23 10:09:59 AM,0.3,-0.8,75.25,,,,,
77,09/28/23 10:10:04 AM,0.4,-0.8,75.25,,,,,
78,09/28/23 10:10:09 AM,0.3,-0.8,75.25,,,,,
79,09/28/23 10:10:14 AM,1.8,-0.8,75.29,,,,,
80,09/28/23 10:10:19 AM,0.3,-4.4,75.25,,,,,
81,09/28/23 10:10:24 AM,0.3,-0.8,75.29,,,,,
82,09/28/23 10:10:29 AM,0.4,-4.4,75.34,,,,,
83,09/28/23 10:10:34 AM,0.4,-0.8,75.34,,,,,
84,09/28/23 10:10:39 AM,0.4,-0.8,75.31,,,,,
85,09/28/23 10:10:44 AM,0.4,-0.8,75.31,,,,,
86,09/28/23 10:10:49 AM,0.3,-0.8,75.25,,,,,
87,09/28/23 10:10:54 AM,0.3,-0.8,75.22,,,,,
88,09/28/23 10:10:59 AM,25.7,53.7,77.59,,,,,
89,09/28/23 10:11:04 AM,0.3,-0.9,78.85,,,,,
90,09/28/23 10:11:09 AM,0.4,-0.8,77.59,,,,,
91,09/28/23 10:11:14 AM,0.4,-0.8,77.00,,,,,
92,09/28/23 10:11:19 AM,0.4,-4.5,76.69,,,,,
93,09/28/23 10:11:24 AM,0.3,-0.8,76.46,,,,,
94,09/28/23 10:11:29 AM,0.4,-0.8,76.24,,,,,
95,09/28/23 10:11:34 AM,1.8,-0.8,76.15,,,,,
96,09/28/23 10:11:39 AM,0.4,-0.8,76.05,,,,,
97,09/28/23 10:11:44 AM,0.3,-0.8,75.99,,,,,
98,09/28/23 10:11:49 AM,0.3,-0.8,75.94,,,,,
99,09/28/23 10:11:54 AM,-0.3,-0.8,75.87,,,,,
100,09/28/23 10:11:59 AM,0.3,-0.8,75.87,,,,,
101,09/28/23 10:12:04 AM,1.8,-0.8,75.87,,,,,
102,09/28/23 10:12:09 AM,0.3,-0.8,75.81,,,,,
103,09/28/23 10:12:14 AM,0.4,-0.8,75.81,,,,,
104,09/28/23 10:12:19 AM,0.4,-0.8,75.81,,,,,
105,09/28/23 10:12:24 AM,0.4,-0.8,75.79,,,,,
106,09/28/23 10:12:29 AM,0.4,-0.8,75.79,,,,,
107,09/28/23 10:12:34 AM,1.6,-0.8,75.79,,,,,
108,09/28/23 10:12:39 AM,0.4,-0.8,75.79,,,,,
109,09/28/23 10:12:44 AM,0.4,-0.8,75.79,,,,,
110,09/28/23 10:12:49 AM,1.6,-0.8,75.81,,,,,
111,09/28/23 10:12:54 AM,1.6,-0.8,75.81,,,,,
112,09/28/23 10:12:59 AM,0.4,-0.8,75.79,,,,,
113,09/28/23 10:13:04 AM,0.4,-0.8,75.79,,,,,
114,09/28/23 10:13:09 AM,0.4,-0.8,75.79,,,,,
115,09/28/23 10:13:14 AM,1.6,-0.8,75.79,,,,,
116,09/28/23 10:13:19 AM,1.6,-3.4,75.78,,,,,
117,09/28/23 10:13:24 AM,0.4,-0.8,75.74,,,,,
118,09/28/23 10:13:29 AM,0.4,-0.8,75.76,,,,,
119,09/28/23 10:13:34 AM,0.4,-0.8,75.78,,,,,
120,09/28/23 10:13:39 AM,0.4,-3.4,75.81,,,,,
121,09/28/23 10:13:44 AM,0.4,-0.8,75.85,,,,,
122,09/28/23 10:13:49 AM,0.4,-3.4,75.79,,,,,
123,09/28/23 10:13:54 AM,0.4,-0.8,75.74,,,,,
124,09/28/23 10:13:59 AM,0.4,-0.8,75.74,,,,,
125,09/28/23 10:14:04 AM,0.3,-0.8,75.76,,,,,
126,09/28/23 10:14:09 AM,-0.0,-0.8,75.76,,,,,
127,09/28/23 10:14:14 AM,0.4,-0.8,75.78,,,,,
128,09/28/23 10:14:19 AM,0.3,-3.4,75.78,,,,,
129,09/28/23 10:14:24 AM,103.8,101.0,73.71,,,,,
130,09/28/23 10:14:29 AM,103.4,100.6,73.56,,,,,
131,09/28/23 10:14:34 AM,103.1,100.6,73.62,,,,,
132,09/28/23 10:14:39 AM,103.8,101.4,73.58,,,,,
133,09/28/23 10:14:44 AM,103.3,100.6,73.62,,,,,
134,09/28/23 10:14:49 AM,103.6,100.6,73.51,,,,,
135,09/28/23 10:14:54 AM,103.7,101.0,73.47,,,,,
136,09/28/23 10:14:59 AM,103.6,100.6,73.51,,,,,
137,09/28/23 10:15:04 AM,103.8,101.0,73.47,,,,,
138,09/28/23 10:15:09 AM,103.4,101.0,73.51,,,,,
139,09/28/23 10:15:14 AM,103.5,100.6,73.49,,,,,
140,09/28/23 10:15:19 AM,103.4,100.6,73.49,,,,,
141,09/28/23 10:15:24 AM,103.8,101.4,73.47,,,,,
142,09/28/23 10:15:29 AM,103.7,101.0,73.53,,,,,
143,09/28/23 10:15:34 AM,103.8,101.4,73.47,,,,,
144,09/28/23 10:15:39 AM,103.7,101.0,73.44,,,,,
145,09/28/23 10:15:44 AM,103.8,101.4,73.40,,,,,
146,09/28/23 10:15:49 AM,103.6,101.0,73.44,,,,,
147,09/28/23 10:15:54 AM,103.8,101.4,73.40,,,,,
148,09/28/23 10:15:59 AM,103.7,100.6,73.42,,,,,
149,09/28/23 10:16:04 AM,103.6,101.0,73.42,,,,,
150,09/28/23 10:16:09 AM,103.8,101.0,73.40,,,,,
151,09/28/23 10:16:14 AM,103.6,101.0,73.42,,,,,
152,09/28/23 10:16:19 AM,103.6,101.4,73.42,,,,,
153,09/28/23 10:16:24 AM,103.8,101.0,73.40,,,,,
154,09/28/23 10:16:29 AM,103.5,101.0,73.42,,,,,
155,09/28/23 10:16:34 AM,103.7,101.0,73.42,,,,,
156,09/28/23 10:16:39 AM,103.6,101.0,73.42,,,,,
157,09/28/23 10:16:44 AM,103.8,101.0,73.40,,,,,
158,09/28/23 10:16:49 AM,103.6,101.4,73.40,,,,,
159,09/28/23 10:16:54 AM,103.8,101.4,73.38,,,,,
160,09/28/23 10:16:59 AM,103.6,101.0,73.40,,,,,
161,09/28/23 10:17:04 AM,103.6,101.0,73.40,,,,,
