"Plot Title: bBrad_DG_22-2-2_13"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778437, SEN S/N: 10778437)","Full Range, μS/cm (LGR S/N: 10778437, SEN S/N: 10778437)","Temp, °F (LGR S/N: 10778437, SEN S/N: 10778437)","Coupler Detached (LGR S/N: 10778437)","Coupler Attached (LGR S/N: 10778437)","Host Connected (LGR S/N: 10778437)","End Of File (LGR S/N: 10778437)"
1,02/02/23 10:22:14 AM,3.1,2.8,75.11,,,,
2,02/02/23 10:22:19 AM,2.9,2.8,75.20,,,,
3,02/02/23 10:22:24 AM,3.1,2.8,75.15,,,,
4,02/02/23 10:22:29 AM,2.9,2.8,75.09,,,,
5,02/02/23 10:22:34 AM,2.8,0.5,75.43,,,,
6,02/02/23 10:22:36 AM,,,,Logged,,,
7,02/02/23 10:22:39 AM,3.1,2.8,75.78,,,,
8,02/02/23 10:22:44 AM,2.9,2.8,75.54,,,,
9,02/02/23 10:22:49 AM,1.7,2.8,75.47,,,,
10,02/02/23 10:22:54 AM,2.9,2.8,75.38,,,,
11,02/02/23 10:22:59 AM,2.9,2.8,75.36,,,,
12,02/02/23 10:23:04 AM,1.7,-1.0,75.34,,,,
13,02/02/23 10:23:09 AM,1.7,2.8,75.34,,,,
14,02/02/23 10:23:14 AM,2.9,0.5,75.31,,,,
15,02/02/23 10:23:19 AM,1.7,0.5,75.34,,,,
16,02/02/23 10:23:24 AM,1.6,-1.0,75.34,,,,
17,02/02/23 10:23:29 AM,1.7,2.8,75.36,,,,
18,02/02/23 10:23:34 AM,2.9,2.8,75.36,,,,
19,02/02/23 10:23:39 AM,1.6,2.8,75.38,,,,
20,02/02/23 10:23:44 AM,1.7,2.8,75.40,,,,
21,02/02/23 10:23:49 AM,2.9,2.8,75.43,,,,
22,02/02/23 10:23:54 AM,2.9,2.8,75.43,,,,
23,02/02/23 10:23:59 AM,3.1,0.5,75.45,,,,
24,02/02/23 10:24:04 AM,1.7,2.8,75.45,,,,
25,02/02/23 10:24:09 AM,2.9,2.8,75.40,,,,
26,02/02/23 10:24:14 AM,1.6,2.8,75.38,,,,
27,02/02/23 10:24:19 AM,2.9,2.8,75.43,,,,
28,02/02/23 10:24:24 AM,1.7,2.8,75.43,,,,
29,02/02/23 10:24:29 AM,2.9,2.8,75.47,,,,
30,02/02/23 10:24:34 AM,1.6,2.8,75.63,,,,
31,02/02/23 10:24:39 AM,1.7,2.8,75.74,,,,
32,02/02/23 10:24:44 AM,1.7,2.8,75.85,,,,
33,02/02/23 10:24:49 AM,2.9,2.8,76.23,,,,
34,02/02/23 10:24:54 AM,2.9,2.8,76.46,,,,
35,02/02/23 10:24:59 AM,2.9,2.8,76.66,,,,
