"Plot Title: Bradford_cond_2021-11-17"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778444, SEN S/N: 10778444)","Full Range, μS/cm (LGR S/N: 10778444, SEN S/N: 10778444)","Temp, °F (LGR S/N: 10778444, SEN S/N: 10778444)","Coupler Detached (LGR S/N: 10778444)","Coupler Attached (LGR S/N: 10778444)","Host Connected (LGR S/N: 10778444)","End Of File (LGR S/N: 10778444)"
1,11/17/21 09:16:44 AM,2.3,12.8,66.96,,,,
2,11/17/21 09:16:49 AM,2.8,5.6,66.96,,,,
3,11/17/21 09:16:54 AM,2.5,12.8,67.05,,,,
4,11/17/21 09:16:59 AM,2.3,12.8,67.08,,,,
5,11/17/21 09:17:04 AM,2.5,12.8,67.03,,,,
6,11/17/21 09:17:06 AM,,,,Logged,,,
7,11/17/21 09:17:09 AM,2.5,28.9,67.10,,,,
8,11/17/21 09:17:14 AM,2.3,12.8,67.10,,,,
9,11/17/21 09:17:19 AM,2.3,28.9,67.10,,,,
10,11/17/21 09:17:24 AM,2.3,12.8,67.12,,,,
11,11/17/21 09:17:29 AM,2.3,12.8,67.17,,,,
12,11/17/21 09:17:34 AM,2.3,12.8,67.19,,,,
13,11/17/21 09:17:39 AM,2.0,12.8,67.23,,,,
14,11/17/21 09:17:44 AM,2.3,12.8,67.26,,,,
15,11/17/21 09:17:49 AM,2.3,12.8,67.26,,,,
16,11/17/21 09:17:54 AM,2.0,12.8,67.30,,,,
17,11/17/21 09:17:59 AM,2.3,12.8,67.33,,,,
18,11/17/21 09:18:04 AM,2.3,28.9,67.35,,,,
19,11/17/21 09:18:09 AM,2.0,28.9,67.39,,,,
20,11/17/21 09:18:14 AM,2.3,12.8,67.51,,,,
21,11/17/21 09:18:19 AM,2.3,12.8,67.77,,,,
22,11/17/21 09:18:24 AM,2.3,12.8,67.89,,,,
23,11/17/21 09:18:29 AM,3.2,28.9,67.87,,,,
24,11/17/21 09:18:34 AM,2.5,5.6,67.87,,,,
25,11/17/21 09:18:39 AM,2.3,28.9,67.89,,,,
26,11/17/21 09:18:44 AM,2.5,5.6,67.89,,,,
27,11/17/21 09:18:49 AM,2.5,28.9,67.95,,,,
28,11/17/21 09:18:54 AM,2.5,12.8,67.98,,,,
29,11/17/21 09:18:59 AM,2.3,28.9,68.02,,,,
30,11/17/21 09:19:04 AM,2.5,5.6,68.05,,,,
31,11/17/21 09:19:09 AM,2.5,28.9,68.11,,,,
32,11/17/21 09:19:14 AM,2.5,28.9,68.13,,,,
33,11/17/21 09:19:19 AM,2.5,28.9,68.20,,,,
34,11/17/21 09:19:24 AM,2.5,12.8,68.23,,,,
35,11/17/21 09:19:29 AM,2.5,28.9,68.29,,,,
36,11/17/21 09:19:34 AM,2.5,12.8,68.32,,,,
37,11/17/21 09:19:39 AM,2.5,28.9,68.38,,,,
38,11/17/21 09:19:44 AM,2.5,28.9,68.43,,,,
39,11/17/21 09:19:49 AM,2.5,28.9,68.47,,,,
40,11/17/21 09:19:54 AM,2.5,12.8,68.54,,,,
41,11/17/21 09:19:59 AM,2.5,28.9,68.58,,,,
42,11/17/21 09:20:04 AM,2.5,28.9,68.63,,,,
43,11/17/21 09:20:09 AM,2.5,28.9,68.68,,,,
44,11/17/21 09:20:14 AM,2.5,28.9,68.72,,,,
45,11/17/21 09:20:19 AM,3.0,28.9,68.77,,,,
46,11/17/21 09:20:24 AM,3.2,28.9,68.81,,,,
47,11/17/21 09:20:29 AM,3.2,12.8,68.86,,,,
48,11/17/21 09:20:34 AM,2.5,28.9,68.90,,,,
49,11/17/21 09:20:39 AM,2.1,28.9,68.94,,,,
50,11/17/21 09:20:44 AM,2.5,12.8,68.99,,,,
51,11/17/21 09:20:49 AM,2.5,28.9,69.04,,,,
52,11/17/21 09:20:54 AM,2.5,12.8,69.08,,,,
53,11/17/21 09:20:59 AM,2.1,28.9,69.12,,,,
54,11/17/21 09:21:04 AM,2.5,28.9,69.15,,,,
55,11/17/21 09:21:09 AM,2.5,28.9,69.21,,,,
56,11/17/21 09:21:14 AM,2.5,12.8,69.24,,,,
57,11/17/21 09:21:19 AM,2.5,28.9,69.30,,,,
58,11/17/21 09:21:24 AM,2.5,28.9,69.33,,,,
59,11/17/21 09:21:29 AM,2.5,28.9,69.37,,,,
60,11/17/21 09:21:34 AM,3.0,28.9,69.40,,,,
61,11/17/21 09:21:39 AM,2.5,28.9,69.46,,,,
62,11/17/21 09:21:44 AM,2.5,12.8,69.49,,,,
63,11/17/21 09:21:49 AM,2.5,28.9,69.53,,,,
64,11/17/21 09:21:54 AM,2.5,28.9,69.57,,,,
65,11/17/21 09:21:59 AM,3.2,28.9,69.62,,,,
66,11/17/21 09:22:04 AM,2.5,28.9,69.64,,,,
67,11/17/21 09:22:09 AM,3.2,28.9,69.66,,,,
68,11/17/21 09:22:14 AM,2.5,28.9,69.71,,,,
69,11/17/21 09:22:19 AM,2.5,12.8,69.75,,,,
70,11/17/21 09:22:24 AM,2.5,28.9,69.78,,,,
71,11/17/21 09:22:29 AM,2.5,12.8,69.82,,,,
72,11/17/21 09:22:34 AM,3.0,16.2,69.84,,,,
73,11/17/21 09:22:39 AM,2.5,5.6,69.87,,,,
74,11/17/21 09:22:44 AM,2.5,28.9,69.91,,,,
75,11/17/21 09:22:49 AM,2.5,28.9,69.96,,,,
76,11/17/21 09:22:54 AM,3.2,28.9,69.98,,,,
77,11/17/21 09:22:59 AM,3.0,16.2,70.03,,,,
78,11/17/21 09:23:04 AM,3.2,28.9,70.05,,,,
79,11/17/21 09:23:09 AM,3.2,28.9,70.07,,,,
