"Plot Title: Bradford_cond_2021-11-10_site15mixed"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778444, SEN S/N: 10778444)","Full Range, μS/cm (LGR S/N: 10778444, SEN S/N: 10778444)","Temp, °F (LGR S/N: 10778444, SEN S/N: 10778444)","Coupler Detached (LGR S/N: 10778444)","Coupler Attached (LGR S/N: 10778444)","Host Connected (LGR S/N: 10778444)","End Of File (LGR S/N: 10778444)"
1,11/10/21 11:39:26 AM,3.7,5.5,79.39,,,,
2,11/10/21 11:39:31 AM,3.7,16.2,79.52,,,,
3,11/10/21 11:39:36 AM,3.7,5.5,79.65,,,,
4,11/10/21 11:39:41 AM,3.7,5.5,79.77,,,,
5,11/10/21 11:39:46 AM,2.5,5.5,79.90,,,,
6,11/10/21 11:39:51 AM,2.5,5.5,80.01,,,,
7,11/10/21 11:39:56 AM,2.5,5.5,80.02,,,,
8,11/10/21 11:40:01 AM,3.7,5.5,80.06,,,,
9,11/10/21 11:40:05 AM,,,,Logged,,,
10,11/10/21 11:40:06 AM,2.4,1.7,80.10,,,,
11,11/10/21 11:40:11 AM,3.6,5.5,80.10,,,,
12,11/10/21 11:40:16 AM,2.5,5.5,80.06,,,,
13,11/10/21 11:40:21 AM,2.5,5.5,80.02,,,,
14,11/10/21 11:40:26 AM,2.5,5.5,80.02,,,,
15,11/10/21 11:40:31 AM,2.5,5.5,80.01,,,,
16,11/10/21 11:40:36 AM,2.4,5.5,80.01,,,,
17,11/10/21 11:40:41 AM,3.8,5.5,80.01,,,,
18,11/10/21 11:40:46 AM,3.7,5.5,80.01,,,,
19,11/10/21 11:40:51 AM,2.5,5.5,79.99,,,,
20,11/10/21 11:40:56 AM,2.5,1.7,79.99,,,,
21,11/10/21 11:41:01 AM,2.4,5.5,79.99,,,,
22,11/10/21 11:41:06 AM,2.5,5.5,80.01,,,,
23,11/10/21 11:41:11 AM,2.5,5.5,80.01,,,,
24,11/10/21 11:41:16 AM,2.5,5.5,80.02,,,,
25,11/10/21 11:41:21 AM,2.5,5.5,80.02,,,,
26,11/10/21 11:41:26 AM,3.7,5.5,80.06,,,,
27,11/10/21 11:41:31 AM,3.7,5.5,80.06,,,,
28,11/10/21 11:41:36 AM,3.7,5.5,80.10,,,,
29,11/10/21 11:41:41 AM,3.7,5.5,80.10,,,,
30,11/10/21 11:41:46 AM,3.7,5.5,80.10,,,,
31,11/10/21 11:41:51 AM,3.7,3.2,80.15,,,,
32,11/10/21 11:41:56 AM,2.5,5.5,80.15,,,,
33,11/10/21 11:42:01 AM,3.7,5.5,80.17,,,,
34,11/10/21 11:42:06 AM,2.5,5.5,80.20,,,,
35,11/10/21 11:42:11 AM,2.5,5.5,80.24,,,,
36,11/10/21 11:42:16 AM,3.8,5.5,80.20,,,,
37,11/10/21 11:42:21 AM,2.5,5.5,80.06,,,,
38,11/10/21 11:42:26 AM,3.7,5.5,80.02,,,,
39,11/10/21 11:42:31 AM,3.7,5.5,79.99,,,,
40,11/10/21 11:42:36 AM,2.5,5.5,79.92,,,,
41,11/10/21 11:42:41 AM,3.7,5.5,79.93,,,,
42,11/10/21 11:42:46 AM,3.8,5.5,79.90,,,,
43,11/10/21 11:42:51 AM,3.7,3.2,79.75,,,,
44,11/10/21 11:42:56 AM,3.7,5.5,79.65,,,,
45,11/10/21 11:43:01 AM,2.4,5.5,79.59,,,,
46,11/10/21 11:43:06 AM,2.4,5.5,79.56,,,,
47,11/10/21 11:43:11 AM,3.8,5.5,79.43,,,,
48,11/10/21 11:43:16 AM,2.5,5.5,79.41,,,,
49,11/10/21 11:43:21 AM,3.7,5.5,79.41,,,,
50,11/10/21 11:43:26 AM,3.7,5.5,79.39,,,,
51,11/10/21 11:43:31 AM,2.5,5.5,79.30,,,,
52,11/10/21 11:43:36 AM,3.8,5.5,79.25,,,,
53,11/10/21 11:43:41 AM,3.7,5.5,79.23,,,,
54,11/10/21 11:43:46 AM,3.8,5.5,79.20,,,,
55,11/10/21 11:43:51 AM,3.8,5.5,79.27,,,,
56,11/10/21 11:43:56 AM,3.7,5.5,79.27,,,,
57,11/10/21 11:44:01 AM,2.5,5.5,79.32,,,,
58,11/10/21 11:44:06 AM,3.7,5.5,79.34,,,,
59,11/10/21 11:44:11 AM,3.7,5.5,79.23,,,,
60,11/10/21 11:44:16 AM,2.5,5.5,79.09,,,,
61,11/10/21 11:44:21 AM,2.5,5.5,79.02,,,,
62,11/10/21 11:44:26 AM,2.4,1.7,79.05,,,,
63,11/10/21 11:44:31 AM,2.4,1.7,79.07,,,,
64,11/10/21 11:44:36 AM,2.4,5.5,79.07,,,,
65,11/10/21 11:44:41 AM,3.7,5.5,79.09,,,,
66,11/10/21 11:44:46 AM,2.4,5.5,79.09,,,,
67,11/10/21 11:44:51 AM,3.7,5.5,79.11,,,,
68,11/10/21 11:44:56 AM,3.8,5.5,79.14,,,,
69,11/10/21 11:45:01 AM,2.4,3.2,79.18,,,,
70,11/10/21 11:45:06 AM,3.7,5.5,79.23,,,,
71,11/10/21 11:45:11 AM,2.4,5.5,79.25,,,,
72,11/10/21 11:45:16 AM,2.4,5.5,79.27,,,,
73,11/10/21 11:45:21 AM,3.7,5.5,79.30,,,,
74,11/10/21 11:45:26 AM,2.4,5.5,79.32,,,,
75,11/10/21 11:45:31 AM,2.5,5.5,79.34,,,,
