Plot Title: Bradford_streams_6-24-21,,,,,,,,
#,"Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20342068, SEN S/N: 20342068)","Full Range, μS/cm (LGR S/N: 20342068, SEN S/N: 20342068)","Temp, °F (LGR S/N: 20342068, SEN S/N: 20342068)",Coupler Detached (LGR S/N: 20342068),Coupler Attached (LGR S/N: 20342068),Host Connected (LGR S/N: 20342068),End Of File (LGR S/N: 20342068)
1,6/24/2021 11:00:00,1.8,0.4,84.06,Logged,,,
2,6/24/2021 11:00:05,1.8,0.4,84.13,,,,
3,6/24/2021 11:00:10,0.8,0.4,84.2,,,,
4,6/24/2021 11:00:15,0.8,0.4,84.25,,,,
5,6/24/2021 11:00:20,1.8,-1.4,84.29,,,,
6,6/24/2021 11:00:25,1.8,0.4,84.34,,,,
7,6/24/2021 11:00:30,1.8,0.4,84.4,,,,
8,6/24/2021 11:00:35,1.8,0.4,84.47,,,,
9,6/24/2021 11:00:40,0.8,0.4,84.54,,,,
10,6/24/2021 11:00:45,0.8,0.4,84.6,,,,
11,6/24/2021 11:00:50,1.8,0.4,84.67,,,,
12,6/24/2021 11:00:55,1,0.4,84.76,,,,
13,6/24/2021 11:01:00,1.8,0.4,84.79,,,,
14,6/24/2021 11:01:05,1.8,0.4,84.85,,,,
15,6/24/2021 11:01:10,1.8,0.4,84.88,,,,
16,6/24/2021 11:01:15,1.8,0.4,84.94,,,,
17,6/24/2021 11:01:20,0.7,0.4,85.03,,,,
18,6/24/2021 11:01:25,1.8,0.4,85.06,,,,
19,6/24/2021 11:01:30,1.9,0.4,85.14,,,,
20,6/24/2021 11:01:35,0.8,0.4,85.21,,,,
21,6/24/2021 11:01:40,1.8,0.4,85.24,,,,
22,6/24/2021 11:01:45,1.8,0.4,85.28,,,,
23,6/24/2021 11:01:50,1.8,0.4,85.33,,,,
24,6/24/2021 11:01:55,0.8,0.4,85.41,,,,
25,6/24/2021 11:02:00,1.8,10.3,85.44,,,,
26,6/24/2021 11:02:05,1.8,10.3,85.44,,,,
27,6/24/2021 11:02:10,1.8,0.4,85.48,,,,
28,6/24/2021 11:02:15,1.8,0.4,85.55,,,,
29,6/24/2021 11:02:20,0.8,0.4,85.62,,,,
30,6/24/2021 11:02:25,1.8,0.4,85.69,,,,
31,6/24/2021 11:02:30,0.8,0.4,85.75,,,,
32,6/24/2021 11:02:35,1.9,-1.4,85.84,,,,
33,6/24/2021 11:02:40,0.8,0.4,85.87,,,,
34,6/24/2021 11:02:45,1.8,0.4,86,,,,
35,6/24/2021 11:02:50,0.8,0.4,86.18,,,,
36,6/24/2021 11:02:55,0.8,0.4,86.2,,,,
37,6/24/2021 11:03:00,1.9,0.4,86.23,,,,
38,6/24/2021 11:03:05,1.8,0.4,86.23,,,,
39,6/24/2021 11:03:10,1.8,0.4,86.25,,,,
40,6/24/2021 11:03:15,1.8,0.4,86.29,,,,
41,6/24/2021 11:03:20,0.8,0.4,86.32,,,,
42,6/24/2021 11:03:25,1.8,0.4,86.45,,,,
43,6/24/2021 11:03:30,1.8,0.4,86.41,,,,
44,6/24/2021 11:03:35,1.8,0.4,86.43,,,,
45,6/24/2021 11:03:40,0.8,0.4,86.49,,,,
46,6/24/2021 11:03:45,1.8,-1.4,86.63,,,,
47,6/24/2021 11:03:50,1.8,0.4,86.83,,,,
48,6/24/2021 11:03:55,0.8,0.4,86.94,,,,
49,6/24/2021 11:04:00,1.8,0.4,86.95,,,,
50,6/24/2021 11:04:05,1.8,0.4,86.95,,,,
51,6/24/2021 11:04:10,0.7,0.4,86.97,,,,
52,6/24/2021 11:04:15,1.8,0.4,86.94,,,,
53,6/24/2021 11:04:20,0.8,0.4,86.92,,,,
54,6/24/2021 11:04:25,0.8,0.4,86.88,,,,
55,6/24/2021 11:04:30,0.8,0.4,86.92,,,,
56,6/24/2021 11:04:35,1.8,0.4,86.95,,,,
57,6/24/2021 11:04:40,1.8,0.4,87.06,,,,
58,6/24/2021 11:04:45,1.8,0.4,87.17,,,,
59,6/24/2021 11:04:50,1.8,0.4,87.3,,,,
60,6/24/2021 11:04:55,0.8,0.4,87.44,,,,
61,6/24/2021 11:05:00,1.8,0.4,87.58,,,,
62,6/24/2021 11:05:05,0.8,0.4,87.62,,,,
63,6/24/2021 11:05:10,1.8,0.4,87.69,,,,
64,6/24/2021 11:05:15,1.8,0.4,87.8,,,,
65,6/24/2021 11:05:20,0.8,0.4,88.21,,,,
66,6/24/2021 11:05:25,1.8,0.4,88.38,,,,
67,6/24/2021 11:05:30,1.8,0.4,88.45,,,,
68,6/24/2021 11:05:35,0.8,10.2,88.48,,,,
