"Plot Title: bBrad_DG_2023-02-09_7"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778437, SEN S/N: 10778437)","Full Range, μS/cm (LGR S/N: 10778437, SEN S/N: 10778437)","Temp, °F (LGR S/N: 10778437, SEN S/N: 10778437)","Coupler Detached (LGR S/N: 10778437)","Coupler Attached (LGR S/N: 10778437)","Host Connected (LGR S/N: 10778437)","Stopped (LGR S/N: 10778437)","End Of File (LGR S/N: 10778437)"
1,02/09/23 10:39:40 AM,3.0,2.8,88.86,,,,,
2,02/09/23 10:39:44 AM,,,,Logged,,,,
3,02/09/23 10:39:45 AM,1.7,2.8,89.17,,,,,
4,02/09/23 10:39:50 AM,1.7,2.8,89.10,,,,,
5,02/09/23 10:39:55 AM,1.7,2.8,89.10,,,,,
6,02/09/23 10:40:00 AM,2.8,2.8,88.99,,,,,
7,02/09/23 10:40:05 AM,2.8,2.8,88.93,,,,,
8,02/09/23 10:40:10 AM,2.8,2.8,88.83,,,,,
9,02/09/23 10:40:15 AM,1.7,2.8,88.75,,,,,
10,02/09/23 10:40:20 AM,2.8,0.5,88.65,,,,,
11,02/09/23 10:40:25 AM,2.8,2.8,88.52,,,,,
12,02/09/23 10:40:30 AM,1.7,2.8,88.45,,,,,
13,02/09/23 10:40:35 AM,2.8,2.8,88.41,,,,,
14,02/09/23 10:40:40 AM,1.7,2.8,88.65,,,,,
15,02/09/23 10:40:45 AM,2.8,2.8,89.60,,,,,
16,02/09/23 10:40:50 AM,2.8,2.8,89.69,,,,,
17,02/09/23 10:40:55 AM,2.8,2.8,89.76,,,,,
18,02/09/23 10:41:00 AM,2.8,2.8,89.91,,,,,
19,02/09/23 10:41:05 AM,3.0,2.8,89.51,,,,,
20,02/09/23 10:41:10 AM,2.8,2.8,89.56,,,,,
21,02/09/23 10:41:15 AM,2.8,2.8,89.31,,,,,
22,02/09/23 10:41:20 AM,1.6,2.8,89.06,,,,,
23,02/09/23 10:41:25 AM,2.8,2.8,89.01,,,,,
24,02/09/23 10:41:30 AM,1.6,0.5,88.90,,,,,
25,02/09/23 10:41:35 AM,3.0,2.8,88.74,,,,,
26,02/09/23 10:41:40 AM,2.8,2.8,88.70,,,,,
27,02/09/23 10:41:45 AM,1.7,2.8,88.66,,,,,
28,02/09/23 10:41:50 AM,2.8,2.8,88.61,,,,,
29,02/09/23 10:41:55 AM,2.8,2.8,88.52,,,,,
30,02/09/23 10:42:00 AM,2.8,2.8,88.43,,,,,
31,02/09/23 10:42:05 AM,1.7,2.8,88.65,,,,,
32,02/09/23 10:42:10 AM,1.6,2.8,88.75,,,,,
33,02/09/23 10:42:15 AM,2.8,0.5,88.65,,,,,
34,02/09/23 10:42:20 AM,2.8,2.8,88.41,,,,,
