Plot Title: Brad_DG_08.04.23_13_1,,,,,,,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)",Coupler Detached (LGR S/N: 20342070),Coupler Attached (LGR S/N: 20342070),Host Connected (LGR S/N: 20342070),Stopped (LGR S/N: 20342070),End Of File (LGR S/N: 20342070)
1,8/4/2023 9:00:29,0.3,-4.5,81.09,,,,,
2,8/4/2023 9:00:34,0.3,-4.5,81.18,Logged,,,,
3,8/4/2023 9:00:39,0.4,-0.9,81.36,,,,,
4,8/4/2023 9:00:44,0.4,-0.9,81.5,,,,,
5,8/4/2023 9:00:49,0.4,-0.9,81.9,,,,,
6,8/4/2023 9:00:54,0.4,-0.9,82.17,,,,,
7,8/4/2023 9:00:59,0.3,-0.9,82.31,,,,,
8,8/4/2023 9:01:04,1.6,-0.9,82.53,,,,,
9,8/4/2023 9:01:09,0.4,-0.9,82.74,,,,,
10,8/4/2023 9:01:14,1.8,-0.9,82.89,,,,,
11,8/4/2023 9:01:19,0.4,-0.9,82.92,,,,,
12,8/4/2023 9:01:24,0.3,-0.9,82.92,,,,,
13,8/4/2023 9:01:29,1.6,-0.9,82.94,,,,,
14,8/4/2023 9:01:34,0.4,-0.9,82.85,,,,,
15,8/4/2023 9:01:39,1.8,-3.4,82.81,,,,,
16,8/4/2023 9:01:44,0.4,-0.9,82.81,,,,,
17,8/4/2023 9:01:49,0.3,-0.9,82.81,,,,,
18,8/4/2023 9:01:54,0.3,-0.9,82.8,,,,,
19,8/4/2023 9:01:59,0.4,-0.9,82.81,,,,,
20,8/4/2023 9:02:04,0.4,-0.9,82.81,,,,,
21,8/4/2023 9:02:09,0.4,-0.9,82.85,,,,,
22,8/4/2023 9:02:14,0.4,-0.9,82.89,,,,,
23,8/4/2023 9:02:19,0.4,-0.9,82.9,,,,,
24,8/4/2023 9:02:24,0.4,-0.9,82.9,,,,,
25,8/4/2023 9:02:29,0.4,-0.9,82.94,,,,,
26,8/4/2023 9:02:34,0.4,-0.9,82.99,,,,,
27,8/4/2023 9:02:39,0.3,-0.9,83.01,,,,,
28,8/4/2023 9:02:44,0.4,-0.9,83.05,,,,,
29,8/4/2023 9:02:49,0.4,-0.9,83.08,,,,,
30,8/4/2023 9:02:54,0.3,-4.5,83.14,,,,,
31,8/4/2023 9:02:59,0.4,-0.9,83.16,,,,,
32,8/4/2023 9:03:04,0.3,-0.9,83.19,,,,,
33,8/4/2023 9:03:09,0.4,-0.9,83.23,,,,,
34,8/4/2023 9:03:14,0.4,-0.9,83.26,,,,,
35,8/4/2023 9:03:19,1.6,-0.9,83.3,,,,,
36,8/4/2023 9:03:24,0.3,-0.9,83.34,,,,,
37,8/4/2023 9:03:29,0.4,-0.9,83.37,,,,,
38,8/4/2023 9:03:34,0.3,-0.9,83.43,,,,,
39,8/4/2023 9:03:39,1.6,-0.9,83.46,,,,,
40,8/4/2023 9:03:44,0.3,-0.9,83.48,,,,,
41,8/4/2023 9:03:49,0.4,-0.9,83.5,,,,,
42,8/4/2023 9:03:54,0.3,-0.9,83.55,,,,,
43,8/4/2023 9:03:59,0.4,-0.9,83.59,,,,,
44,8/4/2023 9:04:04,0.4,-0.9,83.61,,,,,
45,8/4/2023 9:04:09,1.6,-0.9,83.62,,,,,
46,8/4/2023 9:04:14,1.8,-0.9,83.64,,,,,
47,8/4/2023 9:04:19,1.6,-0.9,83.7,,,,,
48,8/4/2023 9:04:24,0.3,-0.9,83.71,,,,,
49,8/4/2023 9:04:29,0.4,-0.9,83.73,,,,,
50,8/4/2023 9:04:34,0.3,-3.4,83.75,,,,,
51,8/4/2023 9:04:39,0.3,-0.9,83.77,,,,,
52,8/4/2023 9:04:44,0.3,-0.9,83.79,,,,,
53,8/4/2023 9:04:49,1.6,-4.5,83.79,,,,,
54,8/4/2023 9:04:54,0.4,-0.9,83.82,,,,,
55,8/4/2023 9:04:59,0.4,-3.4,83.84,,,,,
56,8/4/2023 9:05:04,0.3,-0.9,83.86,,,,,
57,8/4/2023 9:05:09,0.3,-0.9,83.88,,,,,
58,8/4/2023 9:05:14,0.4,-0.9,83.88,,,,,
59,8/4/2023 9:05:19,1.6,-0.9,83.89,,,,,
60,8/4/2023 9:05:24,0.4,-0.9,83.91,,,,,
61,8/4/2023 9:05:29,0.3,-0.9,83.93,,,,,
62,8/4/2023 9:05:34,0.4,-0.9,83.97,,,,,
63,8/4/2023 9:05:39,1.6,-0.9,83.98,,,,,
64,8/4/2023 9:05:44,0.4,-0.9,83.98,,,,,
65,8/4/2023 9:05:49,0.4,-0.9,84,,,,,
66,8/4/2023 9:05:54,0.4,-0.9,84.02,,,,,
67,8/4/2023 9:05:59,0.3,-0.9,84.04,,,,,
68,8/4/2023 9:06:04,0.4,-0.9,84.06,,,,,
69,8/4/2023 9:06:09,0.3,-0.9,84.06,,,,,
70,8/4/2023 9:06:14,0.4,-0.9,84.07,,,,,
71,8/4/2023 9:06:19,0.3,-0.9,84.11,,,,,
72,8/4/2023 9:06:24,0.4,-0.9,84.11,,,,,
73,8/4/2023 9:06:29,0.3,-0.9,84.13,,,,,
74,8/4/2023 9:06:34,0.3,-0.9,84.15,,,,,
75,8/4/2023 9:06:39,0.4,-0.9,84.15,,,,,
76,8/4/2023 9:06:44,0.3,-0.9,84.16,,,,,
77,8/4/2023 9:06:49,0.4,-0.9,84.18,,,,,
78,8/4/2023 9:06:54,0.4,-0.9,84.18,,,,,
79,8/4/2023 9:06:59,0.4,-0.9,84.2,,,,,
80,8/4/2023 9:07:04,0.4,-0.9,84.22,,,,,
81,8/4/2023 9:07:09,0.4,-0.9,84.22,,,,,
82,8/4/2023 9:07:14,0.4,-0.9,84.25,,,,,
83,8/4/2023 9:07:19,0.3,-0.9,84.27,,,,,
84,8/4/2023 9:07:24,0.3,-0.9,84.27,,,,,
85,8/4/2023 9:07:29,0.4,-0.9,84.29,,,,,
86,8/4/2023 9:07:34,0.3,-0.9,84.31,,,,,
87,8/4/2023 9:07:39,0.4,-0.9,84.31,,,,,
88,8/4/2023 9:07:44,0.3,-0.9,84.33,,,,,
89,8/4/2023 9:07:49,0.3,-0.9,84.33,,,,,
90,8/4/2023 9:07:54,0.4,-0.9,84.34,,,,,
91,8/4/2023 9:07:59,1.8,-3.4,84.38,,,,,
92,8/4/2023 9:08:04,0.4,-0.9,84.45,,,,,
93,8/4/2023 9:08:09,0.3,-0.9,84.49,,,,,
94,8/4/2023 9:08:14,0.3,-0.9,84.54,,,,,
95,8/4/2023 9:08:19,0.3,-4.5,84.58,,,,,
96,8/4/2023 9:08:24,0.3,-0.9,84.6,,,,,
97,8/4/2023 9:08:29,0.4,-0.9,84.63,,,,,
