"TOA5","Matts Wetlands","CR1000X","22890","CR1000X.Std.04.02","CPU:Testing CO2 sensors_15min.CR1X","34981","Test"
"TIMESTAMP","RECORD","BattV_Min","Eosense","Vaisala","K30"
"TS","RN","Volts","ppm","ppm","ppm"
"","","Min","Smp","Smp","Smp"
"2024-06-13 15:45:00",0,12.74,139.0476,113.6526,85.65637
"2024-06-13 16:00:00",1,12.65,532.3298,417.5833,79.86391
"2024-06-13 16:15:00",2,12.69,547.3062,407.4283,76.94373
"2024-06-13 16:30:00",3,12.65,547.3135,386.125,88.2021
"2024-06-13 16:45:00",4,12.69,577.8002,407.2842,76.92243
"2024-06-13 17:00:00",5,12.69,623.0808,414.9059,92.05933
"2024-06-13 17:15:00",6,12.69,653.0234,374.4692,76.3707
"2024-06-13 17:30:00",7,12.69,698.3018,392.1988,93.19745
"2024-06-13 17:45:00",8,12.69,698.7567,407.4724,76.81543
"2024-06-13 18:00:00",9,12.69,744.3014,376.1678,76.59083
"2024-06-13 18:15:00",10,12.69,728.8087,394.9726,76.60622
"2024-06-13 18:30:00",11,12.69,728.8181,382.5338,76.51302
"2024-06-13 18:45:00",12,12.69,728.8118,373.6284,76.62263
"2024-06-13 19:00:00",13,12.69,759.4201,379.04,66.85773
"2024-06-13 19:15:00",14,12.69,744.2447,407.2988,67.04565
"2024-06-13 19:30:00",15,12.69,698.3505,396.8298,67.10912
"2024-06-13 19:45:00",16,12.68,667.9263,371.2484,66.50293
"2024-06-13 20:00:00",17,12.69,652.9312,372.5566,66.84219
"2024-06-13 20:15:00",18,12.68,653.2091,373.1433,66.69511
"2024-06-13 20:30:00",19,12.68,607.9583,407.1385,67.07284
"2024-06-13 20:45:00",20,12.68,607.5611,381.5719,66.49216
"2024-06-13 21:00:00",21,12.68,638.0818,401.437,66.82178
"2024-06-13 21:15:00",22,12.68,638.2534,407.0754,66.97043
"2024-06-13 21:30:00",23,12.67,623.1353,392.1901,66.74321
"2024-06-13 21:45:00",24,12.68,607.7675,405.2532,66.74113
"2024-06-13 22:00:00",25,12.68,592.5071,380.6783,66.64201
"2024-06-13 22:15:00",26,12.67,577.4749,391.2659,66.60493
"2024-06-13 22:30:00",27,12.67,562.3962,392.4718,66.72791
"2024-06-13 22:45:00",28,12.66,562.7661,393.6974,66.75513
"2024-06-13 23:00:00",29,12.67,562.5001,426.233,66.56596
"2024-06-13 23:15:00",30,12.67,562.3633,414.0487,66.70888
"2024-06-13 23:30:00",31,12.67,577.4287,401.8304,66.43863
"2024-06-13 23:45:00",32,12.67,577.5134,425.7025,66.722
"2024-06-14 00:00:00",33,12.66,622.8035,419.6316,66.50232
"2024-06-14 00:15:00",34,12.66,698.4458,402.5911,66.60336
"2024-06-14 00:30:00",35,12.66,728.8205,403.4366,66.73564
"2024-06-14 00:45:00",36,12.66,744.4618,433.5979,67.00954
"2024-06-14 01:00:00",37,12.65,728.5454,436.2333,66.73096
"2024-06-14 01:15:00",38,12.65,728.5908,436.4297,66.70052
"2024-06-14 01:30:00",39,12.65,728.5248,423.917,66.4324
"2024-06-14 01:45:00",40,12.65,744.0473,411.9315,66.44021
"2024-06-14 02:00:00",41,12.65,744.0765,444.5765,66.81068
"2024-06-14 02:15:00",42,12.65,759.3644,439.3579,66.76597
"2024-06-14 02:30:00",43,12.65,774.6167,435.1773,66.68806
"2024-06-14 02:45:00",44,12.65,774.6724,450.2177,66.70864
"2024-06-14 03:00:00",45,12.65,789.6807,477.546,66.70712
"2024-06-14 03:15:00",46,12.64,834.5552,477.4227,66.69951
"2024-06-14 03:30:00",47,12.64,834.9613,489.1239,67.01123
"2024-06-14 03:45:00",48,12.64,850.197,487.8592,66.57888
"2024-06-14 04:00:00",49,12.64,865.0212,475.5819,66.43957
"2024-06-14 04:15:00",50,12.63,865.254,463.4519,66.42168
"2024-06-14 04:30:00",51,12.64,880.4684,487.6328,66.69904
"2024-06-14 04:45:00",52,12.63,895.3909,453.6168,66.41798
"2024-06-14 05:00:00",53,12.63,895.338,487.4421,66.55577
"2024-06-14 05:15:00",54,12.63,910.6669,487.4517,66.71391
"2024-06-14 05:30:00",55,12.64,925.9811,482.9678,66.67946
"2024-06-14 05:45:00",56,12.6,940.7792,478.2073,66.71635
"2024-06-14 06:00:00",57,12.63,955.7277,473.6309,66.6007
"2024-06-14 06:15:00",58,12.6,970.877,499.5286,67.23249
"2024-06-14 06:30:00",59,12.63,986.6017,473.9483,66.47572
"2024-06-14 06:45:00",60,12.59,1001.513,510.144,69.48903
"2024-06-14 07:00:00",61,12.62,1016.558,493.3044,66.66169
"2024-06-14 07:15:00",62,12.59,1031.542,494.9429,77.51184
"2024-06-14 07:30:00",63,12.62,1047.244,476.9869,66.7132
"2024-06-14 07:45:00",64,12.62,1061.726,512.3905,80.54454
"2024-06-14 08:00:00",65,12.62,1077.323,499.6305,66.88289
"2024-06-14 08:15:00",66,12.62,1107.306,512.7953,82.61302
"2024-06-14 08:30:00",67,12.62,1122.755,482.9587,66.87572
"2024-06-14 08:45:00",68,12.62,1167.773,488.1113,81.67912
"2024-06-14 09:00:00",69,12.62,1183.022,496.4463,76.52004
"2024-06-14 09:15:00",70,12.62,1183.312,485.7374,76.52303
"2024-06-14 09:30:00",71,12.62,1198.419,487.3503,76.55854
"2024-06-14 09:45:00",72,12.61,1213.2,491.0475,76.32227
"2024-06-14 10:00:00",73,12.62,1213.443,510.2941,76.8404
"2024-06-14 10:15:00",74,12.62,1228.898,500.3083,76.86628
"2024-06-14 10:30:00",75,12.62,1244.122,484.8805,76.2976
"2024-06-14 10:45:00",76,12.63,1259.123,510.3801,76.88184
"2024-06-14 11:00:00",77,12.62,1258.752,484.2552,76.469
"2024-06-14 11:15:00",78,12.62,1304.137,518.5863,76.61813
"2024-06-14 11:30:00",79,12.62,1349.985,530.9394,76.48062
"2024-06-14 11:45:00",80,12.62,1350.023,501.6985,76.64857
"2024-06-14 12:00:00",81,12.62,1364.815,504.701,76.3115
"2024-06-14 12:15:00",82,12.62,1380.152,514.395,76.67915
"2024-06-14 12:30:00",83,12.62,1380.086,506.5575,76.62164
"2024-06-14 12:45:00",84,12.62,1379.715,529.066,76.37128
"2024-06-14 13:00:00",85,12.62,1394.997,549.9905,76.63695
"2024-06-14 13:15:00",86,12.62,1410.341,562.1378,76.88206
"2024-06-14 13:30:00",87,12.62,1425.603,572.407,76.91395
"2024-06-14 13:45:00",88,12.62,1409.979,566.0805,76.39491
"2024-06-14 14:00:00",89,12.63,1410.248,548.034,76.66458
"2024-06-14 14:15:00",90,12.62,1455.58,561.9207,76.79201
"2024-06-14 14:30:00",91,12.62,1486.216,562.0303,86.62289
"2024-06-14 14:45:00",92,12.63,1485.806,570.7623,86.42693
"2024-06-14 15:00:00",93,12.62,1516.071,581.0164,86.29105
"2024-06-14 15:15:00",94,12.62,1515.928,571.0425,86.61604
"2024-06-14 15:30:00",95,12.62,1516.348,561.9905,86.72577
"2024-06-14 15:45:00",96,12.62,1531.32,560.1843,86.36484
"2024-06-14 16:00:00",97,12.62,1531.457,530.8164,86.45461
"2024-06-14 16:15:00",98,12.62,1531.622,541.8002,86.40399
"2024-06-14 16:30:00",99,12.62,1531.232,580.4141,86.47124
"2024-06-14 16:45:00",100,12.61,1531.437,582.9505,86.73338
"2024-06-14 17:00:00",101,12.62,1531.052,570.1563,86.40208
"2024-06-14 17:15:00",102,12.61,1531.268,547.3588,86.43971
"2024-06-14 17:30:00",103,12.62,1546.579,561.2252,86.73092
"2024-06-14 17:45:00",104,12.61,1546.319,527.0143,86.13641
"2024-06-14 18:00:00",105,12.61,1576.801,548.6089,86.48643
"2024-06-14 18:15:00",106,12.61,1591.886,517.126,86.40894
"2024-06-14 18:30:00",107,12.6,1607.331,506.1648,86.26636
"2024-06-14 18:45:00",108,12.61,1607.167,539.5814,96.32126
"2024-06-14 19:00:00",109,12.6,1622.027,515.3066,95.99462
"2024-06-14 19:15:00",110,12.61,1622.26,541.618,96.47484
"2024-06-14 19:30:00",111,12.61,1637.01,538.0128,96.48746
"2024-06-14 19:45:00",112,12.6,1637.112,517.2509,95.94254
"2024-06-14 20:00:00",113,12.6,1652.441,520.5515,96.21225
"2024-06-14 20:15:00",114,12.59,1652.688,530.4956,96.16
"2024-06-14 20:30:00",115,12.58,1652.469,509.2931,96.53206
"2024-06-14 20:45:00",116,12.6,1667.163,528.1802,96.26186
"2024-06-14 21:00:00",117,12.56,1682.24,504.4094,96.20457
"2024-06-14 21:15:00",118,12.59,1682.705,505.3578,95.94713
"2024-06-14 21:30:00",119,12.56,1697.745,505.4208,102.5564
"2024-06-14 21:45:00",120,12.6,1697.457,518.7065,96.26979
"2024-06-14 22:00:00",121,12.54,1697.898,518.2299,107.5222
"2024-06-14 22:15:00",122,12.59,1713.067,525.2808,96.17422
"2024-06-14 22:30:00",123,12.59,1713.407,530.9669,111.3181
"2024-06-14 22:45:00",124,12.58,1713.269,495.7162,96.21484
"2024-06-14 23:00:00",125,12.59,1742.994,525.0512,122.138
"2024-06-14 23:15:00",126,12.58,1773.705,495.5182,105.7696
"2024-06-14 23:30:00",127,12.59,1788.712,519.7996,106.3018
"2024-06-14 23:45:00",128,12.57,1803.973,485.5519,106.0164
"2024-06-15 00:00:00",129,12.58,1803.799,498.1952,106.0008
"2024-06-15 00:15:00",130,12.58,1788.746,510.2297,106.2757
"2024-06-15 00:30:00",131,12.57,1803.846,474.598,105.7705
"2024-06-15 00:45:00",132,12.58,1788.356,496.5354,106.0813
"2024-06-15 01:00:00",133,12.58,1773.813,499.9708,106.3004
"2024-06-15 01:15:00",134,12.57,1773.46,483.8102,105.8387
"2024-06-15 01:30:00",135,12.57,1773.855,499.9741,106.3312
"2024-06-15 01:45:00",136,12.57,1758.252,498.2401,105.9429
"2024-06-15 02:00:00",137,12.57,1758.42,498.1234,105.8838
"2024-06-15 02:15:00",138,12.57,1743.639,475.3368,105.9689
"2024-06-15 02:30:00",139,12.57,1743.116,508.1007,106.0755
"2024-06-15 02:45:00",140,12.57,1743.41,486.5126,105.9944
"2024-06-15 03:00:00",141,12.56,1758.229,496.6138,105.9682
"2024-06-15 03:15:00",142,12.56,1758.611,520.0117,106.0844
"2024-06-15 03:30:00",143,12.56,1758.502,520.2941,106.253
"2024-06-15 03:45:00",144,12.56,1758.336,508.4349,105.9712
"2024-06-15 04:00:00",145,12.56,1743.46,507.0868,105.7208
"2024-06-15 04:15:00",146,12.56,1743.725,501.8743,106.0037
"2024-06-15 04:30:00",147,12.55,1743.255,524.5657,105.7485
"2024-06-15 04:45:00",148,12.55,1743.2,494.2737,105.6892
"2024-06-15 05:00:00",149,12.54,1743.645,520.6141,115.9367
"2024-06-15 05:15:00",150,12.55,1743.601,485.8391,115.7723
"2024-06-15 05:30:00",151,12.54,1743.265,494.2751,115.5065
"2024-06-15 05:45:00",152,12.55,1743.121,519.1307,116.0567
"2024-06-15 06:00:00",153,12.55,1743.583,520.6349,115.9269
"2024-06-15 06:15:00",154,12.55,1743.195,496.6781,115.9965
"2024-06-15 06:30:00",155,12.54,1758.404,494.3687,115.4991
"2024-06-15 06:45:00",156,12.53,1743.678,487.4442,115.5228
"2024-06-15 07:00:00",157,12.55,1743.75,485.7644,115.8371
"2024-06-15 07:15:00",158,12.54,1743.401,484.2783,115.677
"2024-06-15 07:30:00",159,12.54,1758.313,504.2415,115.5472
"2024-06-15 07:45:00",160,12.54,1758.466,508.83,116.0281
"2024-06-15 08:00:00",161,12.54,1758.309,484.3246,115.7191
"2024-06-15 08:15:00",162,12.54,1758.383,492.6004,115.8503
"2024-06-15 08:30:00",163,12.54,1758.782,490.2298,116.0135
"2024-06-15 08:45:00",164,12.54,1788.462,498.9919,116.0718
"2024-06-15 09:00:00",165,12.54,1804.054,499.3435,115.882
"2024-06-15 09:15:00",166,12.54,1804.001,475.8272,115.8264
"2024-06-15 09:30:00",167,12.54,1818.573,498.9462,116.0414
"2024-06-15 09:45:00",168,12.54,1818.624,463.9221,115.7786
"2024-06-15 10:00:00",169,12.54,1818.786,482.9111,115.9244
"2024-06-15 10:15:00",170,12.53,1834.075,488.5869,116.0988
"2024-06-15 10:30:00",171,12.54,1834.602,464.9897,115.9281
"2024-06-15 10:45:00",172,12.54,1834.073,498.5202,115.8377
"2024-06-15 11:00:00",173,12.54,1834.448,490.0155,116.0936
"2024-06-15 11:15:00",174,12.54,1834.496,465.1757,115.8402
"2024-06-15 11:30:00",175,12.54,1849.438,510.6564,116.1702
"2024-06-15 11:45:00",176,12.53,1864.201,474.0013,115.6253
"2024-06-15 12:00:00",177,12.53,1864.715,500.6418,116.0719
"2024-06-15 12:15:00",178,12.52,1879.369,499.7456,116.3058
"2024-06-15 12:30:00",179,12.54,1894.513,486.9206,115.8853
"2024-06-15 12:45:00",180,12.5,1894.61,479.4492,116.3834
"2024-06-15 13:00:00",181,12.54,1895.004,475.8322,116.1009
"2024-06-15 13:15:00",182,12.5,1909.996,486.6968,126.4013
"2024-06-15 13:30:00",183,12.54,1909.953,478.7053,115.6763
"2024-06-15 13:45:00",184,12.53,1909.948,489.9447,128.953
"2024-06-15 14:00:00",185,12.54,1925.124,500.463,115.9194
"2024-06-15 14:15:00",186,12.53,1924.905,504.9942,131.6455
"2024-06-15 14:30:00",187,12.54,1939.692,499.6841,115.8611
"2024-06-15 14:45:00",188,12.54,1939.917,485.1932,115.6882
"2024-06-15 15:00:00",189,12.54,1955.596,500.8152,116.1933
"2024-06-15 15:15:00",190,12.54,1970.683,476.2,116.134
"2024-06-15 15:30:00",191,12.53,1970.617,488.0632,116.1763
"2024-06-15 15:45:00",192,12.54,1970.142,487.4333,116.0438
"2024-06-15 16:00:00",193,12.53,1985.317,509.4432,115.9259
"2024-06-15 16:15:00",194,12.54,1985.102,474.5111,116.0008
"2024-06-15 16:30:00",195,12.54,2000.774,500.567,116.0121
"2024-06-15 16:45:00",196,12.53,2000.302,496.2153,115.7264
"2024-06-15 17:00:00",197,12.53,2015.693,476.0597,115.9374
"2024-06-15 17:15:00",198,12.53,2030.57,499.0971,115.9146
"2024-06-15 17:30:00",199,12.53,2046.112,475.8831,115.6394
"2024-06-15 17:45:00",200,12.54,2076.082,487.0432,116.1581
"2024-06-15 18:00:00",201,12.53,2091.716,486.7002,115.8416
"2024-06-15 18:15:00",202,12.53,2106.19,504.4338,115.8566
"2024-06-15 18:30:00",203,12.53,2106.284,508.6557,115.8509
"2024-06-15 18:45:00",204,12.53,2121.722,508.9805,115.8514
"2024-06-15 19:00:00",205,12.52,2136.712,485.8225,125.8671
"2024-06-15 19:15:00",206,12.52,2136.752,484.3221,125.4483
"2024-06-15 19:30:00",207,12.52,2136.913,486.8708,125.4024
"2024-06-15 19:45:00",208,12.52,2167.261,499.5497,125.7238
"2024-06-15 20:00:00",209,12.51,2181.725,475.5,125.682
"2024-06-15 20:15:00",210,12.52,2182.033,499.2345,125.6857
"2024-06-15 20:30:00",211,12.51,2197.164,474.4223,125.4738
"2024-06-15 20:45:00",212,12.51,2212.677,511.1447,125.9331
"2024-06-15 21:00:00",213,12.51,2227.398,474.7573,125.3714
"2024-06-15 21:15:00",214,12.51,2242.422,481.6726,125.9153
"2024-06-15 21:30:00",215,12.5,2257.889,509.305,125.6576
"2024-06-15 21:45:00",216,12.5,2272.59,484.6466,125.5729
"2024-06-15 22:00:00",217,12.5,2288.216,511.1563,125.9589
"2024-06-15 22:15:00",218,12.5,2302.795,494.6422,135.2037
"2024-06-15 22:30:00",219,12.49,2318.646,521.1316,135.5279
"2024-06-15 22:45:00",220,12.5,2333.289,485.331,135.4736
"2024-06-15 23:00:00",221,12.49,2348.899,521.0256,135.5221
"2024-06-15 23:15:00",222,12.5,2363.453,494.8223,135.203
"2024-06-15 23:30:00",223,12.5,2379.243,521.1518,135.6287
"2024-06-15 23:45:00",224,12.5,2378.796,529.1664,135.7516
"2024-06-16 00:00:00",225,12.49,2379.162,508.1926,135.196
"2024-06-16 00:15:00",226,12.49,2363.471,530.4129,135.7215
"2024-06-16 00:30:00",227,12.49,2318.311,504.7928,135.1522
"2024-06-16 00:45:00",228,12.49,2303.368,534.9427,135.5285
"2024-06-16 01:00:00",229,12.49,2303.412,523.9047,135.5004
"2024-06-16 01:15:00",230,12.48,2272.797,504.9793,135.1428
"2024-06-16 01:30:00",231,12.49,2257.855,530.7994,135.7586
"2024-06-16 01:45:00",232,12.48,2257.732,504.3853,135.2062
"2024-06-16 02:00:00",233,12.47,2243.01,515.7364,135.1905
"2024-06-16 02:15:00",234,12.48,2227.838,516.7709,135.5018
"2024-06-16 02:30:00",235,12.45,2227.861,530.9246,135.7023
"2024-06-16 02:45:00",236,12.47,2227.728,518.1119,135.1432
"2024-06-16 03:00:00",237,12.45,2212.593,539.1087,135.9186
"2024-06-16 03:15:00",238,12.47,2212.463,508.0879,135.1687
"2024-06-16 03:30:00",239,12.44,2197.69,530.7755,136.1391
"2024-06-16 03:45:00",240,12.46,2197.442,539.7785,135.4334
"2024-06-16 04:00:00",241,12.43,2197.822,527.903,146.0427
"2024-06-16 04:15:00",242,12.47,2181.641,539.7446,135.4138
"2024-06-16 04:30:00",243,12.47,2181.77,554.2523,148.2755
"2024-06-16 04:45:00",244,12.47,2182.211,541.1586,135.7269
"2024-06-16 05:00:00",245,12.46,2166.921,549.4303,150.4016
"2024-06-16 05:15:00",246,12.46,2167.463,551.3809,135.6863
